Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,168,1037760,369,369,0,22,1037092,1
1,156,18293,404,404,1,95,17649,0
0,23,7200,136,136,0,45,6637,0
0,99,55025,359,359,0,83,54438,0
0,95,1464254,88,88,0,28,1463646,0
0,124,487260,204,204,0,23,486679,1
0,60,2016292,330,330,0,27,2015537,0
0,89,9057,388,388,0,90,8128,0
0,130,4555,133,133,0,64,3962,0
0,56,683253,98,98,0,28,682675,0
0,116,807166,154,154,0,22,806492,1
1,36,112468,401,401,1,94,111971,0
0,139,4870,341,341,0,78,4217,0
0,130,2682,266,266,0,76,1954,0
0,142,163066,8,8,0,8,162521,1
0,160,1955674,333,333,0,28,1955171,0
0,95,756041,99,99,0,28,755460,1
0,74,1368555,310,310,0,28,1367977,1
0,27,1487064,92,92,0,28,1486369,1
0,61,36247,72,72,0,15,35642,1
0,168,1187163,347,347,0,22,1186465,0
0,106,120884,34,34,0,14,120498,0
0,56,1921473,108,108,0,28,1920904,1
0,20,438865,352,352,0,17,438233,0
0,25,308712,370,370,0,16,308044,0
0,167,1033564,300,300,0,18,1032920,0
0,74,1604078,116,116,0,28,1603452,0
0,75,85370,61,61,0,58,84681,0
0,41,17407,263,263,0,74,16820,0
0,113,497483,126,126,0,17,496893,0
1,40,1738968,27,27,1,27,1738420,0
0,88,6677,379,379,0,86,6162,1
0,157,278070,224,224,0,3,277438,1
0,56,1731530,337,337,0,28,1730895,0
0,112,477620,209,209,0,6,476973,0
0,79,565167,382,382,0,20,564760,0
0,41,10321,127,127,0,61,9749,0
0,95,1686468,112,112,0,28,1685914,0
0,41,7629,232,232,0,70,6979,0
0,103,1645,356,356,0,83,1004,0
0,150,376974,55,55,0,3,376393,1
1,117,807869,24,24,1,27,807330,1
0,128,426818,139,139,0,4,426186,1
0,41,39701,52,52,0,57,39237,1
0,5,265007,261,261,0,23,264339,0
0,126,782,46,46,0,54,129,1
0,56,1132814,318,318,0,28,1132212,1
0,65,30799,73,73,0,15,30158,1
0,97,159847,67,67,0,14,159101,1
0,122,717564,272,272,0,27,716974,1
0,56,1637787,114,114,0,28,1637185,1
0,150,487905,171,171,0,3,487330,0
1,137,356421,430,430,1,13,355831,1
0,95,1932015,107,107,0,28,1931470,0
0,69,2027,39,39,0,52,1341,0
0,56,1743790,336,336,0,28,1743146,0
0,63,515441,210,210,0,6,514617,0
0,152,1118634,320,320,0,28,1117975,1
1,9,347837,17,17,1,3,347313,0
0,157,250738,324,324,0,3,250097,0
0,166,1579,3,3,0,34,1004,1
0,114,570400,76,76,0,7,569783,0
1,112,544317,148,148,1,22,543658,0
0,130,52129,267,267,0,76,51491,0
1,30,19103,380,380,1,86,18480,1
0,37,4829,260,260,0,73,4128,0
0,6,599763,235,235,0,10,598996,1
0,133,430625,12,12,0,16,430509,0
0,33,1148872,410,410,0,27,1148204,0
0,81,339516,227,227,0,3,338926,0
0,13,1413348,213,213,0,26,1412725,1
0,169,1081012,406,406,0,27,1080440,1
0,19,15668,345,345,0,79,15015,0
0,150,6518,305,305,0,1,5874,1
0,30,26110,307,307,0,14,25487,1
1,145,504309,428,428,1,4,503911,1
0,168,610947,367,367,0,22,610288,1
0,149,1995197,219,219,0,27,1994529,0
0,143,216763,323,323,0,3,216122,0
1,108,588625,159,159,1,4,587969,1
0,62,416038,383,383,0,31,415541,0
1,78,463493,101,101,1,0,462885,1
0,153,14001,394,394,0,92,13402,1
0,80,276224,138,138,0,22,275592,0
0,91,602338,321,321,0,6,601643,1
0,86,1845,389,389,0,91,1489,1
0,24,314714,123,123,0,12,314181,0
0,26,1473130,87,87,0,28,1472456,0
0,47,1134002,408,408,0,27,1133424,1
0,110,444695,31,31,0,3,444042,0
0,149,42175,386,386,0,88,41594,0
0,41,9261,129,129,0,62,8539,0
0,157,382637,57,57,0,3,382086,0
0,120,35038,304,304,0,1,34388,1
0,22,410050,250,250,0,16,409331,0
1,104,13194,350,350,1,81,12661,1
0,53,641578,83,83,0,11,640880,1
0,96,320021,423,423,0,4,319437,1
0,158,70385,301,301,0,15,69732,0
0,147,2893,384,384,0,87,2228,0
0,52,36160,19,19,0,14,35462,1
1,63,628319,186,186,1,13,627354,1
0,67,1066542,405,405,0,27,1065931,1
0,98,288480,176,176,0,17,287506,0
0,133,331967,155,155,0,16,331098,0
0,163,467996,365,365,0,22,467418,0
0,123,1344856,201,201,0,21,1344239,0
0,97,340144,413,413,0,14,339536,0
0,20,218124,168,168,0,17,217234,0
0,41,17055,48,48,0,56,16375,0
0,66,1049,287,287,0,48,204,1
0,57,789660,153,153,0,22,789061,1
1,117,874302,277,277,1,27,873739,1
0,71,281,10,10,0,36,3,1
0,51,16035,343,343,0,78,15472,0
0,30,301818,281,281,0,14,301183,1
0,71,6125,11,11,0,36,5631,1
0,114,578960,77,77,0,7,578253,0
0,122,1670681,28,28,0,27,1670067,0
0,117,538452,147,147,0,22,537880,1
0,45,278450,246,246,0,16,277617,0
0,133,473006,256,256,0,16,472107,0
0,126,16573,167,167,0,66,15977,0
0,0,1236,125,125,0,44,691,0
0,160,2152710,106,106,0,28,2152117,1
0,131,750998,203,203,0,16,750414,0
0,41,497850,297,297,0,10,497083,1
0,53,653543,84,84,0,11,652923,1
0,17,729959,96,96,0,28,729363,0
0,97,350824,414,414,0,14,350453,1
0,6,584282,134,134,0,10,583626,1
0,46,425782,143,143,0,14,425384,0
0,38,1183104,326,326,0,26,1182499,0
0,48,160801,403,403,0,94,160181,0
1,101,10872,104,104,1,60,10210,0
0,44,412598,283,283,0,30,411981,1
0,41,514088,296,296,0,10,513441,1
