Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1,674303,17,17,1,14,673725,0
1,8,905931,43,43,1,8,905182,0
1,21,570089,27,27,1,8,569511,0
1,0,435780,39,39,1,9,435106,0
1,29,1661430,19,19,1,12,1660327,1
1,25,9043,56,56,1,18,8369,0
1,5,605502,69,69,1,5,604933,1
1,29,1573901,40,40,1,12,1573260,1
1,33,37689,22,22,1,24,37021,0
1,7,4852,24,24,1,25,4175,1
1,29,509037,87,87,1,2,508240,0
1,0,1091842,82,82,1,9,1091081,0
1,20,670988,34,34,1,13,670362,1
0,3,1346554,53,53,0,14,1345826,1
1,21,1064488,68,68,1,8,1063814,0
1,39,1507852,61,61,1,12,1507205,1
0,24,226568,60,60,0,1,225903,0
1,39,1732531,57,57,1,12,1731896,0
1,33,2154696,63,63,1,13,2154196,0
1,26,1153891,11,11,1,11,1153361,0
1,0,1164151,81,81,1,9,1163459,0
1,15,430900,26,26,1,6,430274,0
1,0,23414,76,76,1,36,22770,1
1,0,1142124,80,80,1,9,1141357,0
1,1,1170502,54,54,1,14,1169873,0
0,31,487905,31,31,0,1,487330,0
1,29,1565614,1,1,1,12,1565111,1
1,38,743660,16,16,1,14,742947,1
1,13,40393,25,25,1,16,39713,0
1,34,947466,44,44,1,8,947014,1
1,8,458055,70,70,1,8,457426,1
1,8,17347,20,20,1,23,16595,0
1,18,16318,35,35,1,28,15653,0
1,21,829209,74,74,1,8,828511,0
0,12,388745,86,86,0,2,388080,1
1,23,28212,65,65,1,34,27637,0
1,39,1702393,4,4,1,12,1701380,1
1,28,547641,33,33,1,3,547144,1
1,37,10697,78,78,1,19,10023,0
1,34,738855,28,28,1,8,738181,0
1,0,590414,58,58,1,0,589821,1
1,4,136301,84,84,1,7,135930,0
1,0,179239,37,37,1,10,178622,1
1,11,17274,13,13,1,21,16765,1
0,24,430064,8,8,0,1,429414,1
1,27,18257,77,77,1,37,17595,1
1,9,7133,46,46,1,30,6462,0
1,17,17466,30,30,1,26,16792,0
1,12,624606,15,15,1,13,623983,0
0,17,1721960,42,42,0,12,1721430,0
1,36,7796,51,51,1,32,7137,0
1,39,1654501,41,41,1,12,1653854,1
1,14,1832,12,12,1,21,1149,1
1,12,2105453,23,23,1,13,2104848,1
1,2,11162,79,79,1,38,10509,0
1,23,20358,64,64,1,34,19783,1
1,39,1548861,62,62,1,12,1548016,1
1,12,974933,47,47,1,13,974307,0
1,39,1690792,3,3,1,12,1690151,1
1,22,9429,45,45,1,29,8836,0
1,12,840636,5,5,1,13,840031,1
1,35,755,55,55,1,18,93,0
1,0,478865,38,38,1,9,478194,1
1,19,4297,75,75,1,35,3704,1
1,12,989314,48,48,1,13,988862,0
1,38,381646,9,9,1,14,381053,0
1,24,5579,85,85,1,39,4953,1
1,0,1192387,83,83,1,9,1191707,0
1,21,1154177,67,67,1,8,1153497,1
1,16,25270,49,49,1,31,24593,0
1,11,468982,18,18,1,0,468374,0
0,40,1728460,2,2,0,12,1728161,0
1,21,490761,72,72,1,8,490084,0
1,0,524975,59,59,1,0,524382,1
1,34,587573,73,73,1,8,586902,0
1,16,4340,21,21,1,23,3579,0
1,6,5600,52,52,1,33,4947,1
1,12,2529,29,29,1,17,1873,1
1,10,3403,14,14,1,22,2810,0
1,4,71817,10,10,1,20,71311,0
1,30,1266,0,0,1,40,595,0
1,34,475933,71,71,1,8,475256,0
1,33,1682099,7,7,1,13,1681482,0
1,32,7594,6,6,1,15,6935,1
1,23,472195,50,50,1,4,471323,1
1,6,4574,32,32,1,27,3870,0
1,39,1728056,36,36,1,12,1727928,0
1,23,68829,66,66,1,34,68515,1
