Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,124,5471,135,110,3207
0,124,5583,96,99,3223
0,42,457048,87,9,454787
0,140,478833,231,6,476677
1,139,2336,146,113,3
0,51,552888,218,15,550654
0,98,835809,94,28,833647
0,124,4603,48,87,2336
0,11,1069200,208,45,1067095
0,96,2907,35,71,667
0,80,6046,151,114,3683
1,31,76342,177,33,73994
0,111,1167843,142,41,1165567
1,31,1026,3,69,22
0,91,692573,68,19,690150
1,90,27924,6,17,26149
0,0,754574,173,26,752403
0,52,1157625,115,42,1155433
1,38,12933,111,39,10912
1,26,96434,222,5,94266
1,25,35613,194,120,33460
0,67,604953,79,20,602554
0,54,2152,9,59,38
0,112,763015,82,37,760970
1,50,4215,70,19,1969
0,88,480713,37,4,478230
1,68,114439,8,3,112868
1,39,3201,58,73,2560
1,128,61722,220,51,61057
0,22,45278,99,18,42840
1,7,13918,120,104,11750
0,70,562476,171,10,560179
1,32,56175,83,5,53914
1,124,1518,57,93,1
0,117,1009290,44,38,1006993
1,57,50723,119,104,48507
0,72,487264,92,17,485114
1,1,35005,175,118,32786
0,22,371476,170,18,369323
0,134,477337,10,9,476408
0,106,1835184,66,46,1832923
1,38,53359,113,39,52601
0,5,1287,18,68,1
1,12,441740,90,29,439797
1,7,81519,11,5,79698
1,114,71686,212,49,69566
0,119,707127,47,23,704929
1,60,65232,217,50,62692
0,113,777368,224,31,775140
1,56,3230,126,22,921
1,124,1669,46,86,2
1,102,5540,43,84,3963
1,12,372955,230,29,370655
1,131,2191081,86,52,2188577
1,66,11060,139,31,8994
1,123,4184,235,35,1923
1,95,43304,155,55,40902
1,51,113111,165,15,111105
1,87,59089,40,55,56687
0,75,1189025,188,50,1186812
0,45,805063,178,38,803291
0,24,1835456,204,47,1833030
1,124,7454,51,89,5259
0,97,611448,109,10,610807
0,43,2776,152,115,509
0,16,1204656,196,44,1202680
1,16,4025,162,16,1761
1,43,2650,23,34,386
1,20,560447,97,52,558669
1,9,335828,153,29,333633
0,65,480279,203,44,478171
1,66,7012,5,31,5501
1,2,12909,140,111,10807
1,124,11646,122,105,9286
0,40,1116077,149,40,1113876
1,100,76316,28,50,74154
0,127,496899,100,1,495853
1,61,15153,205,30,12949
0,98,1027491,75,37,1024990
1,92,170211,121,48,168412
0,66,799420,225,31,796943
0,120,377705,95,57,375522
1,108,5046,157,116,2860
0,13,914046,62,33,913312
0,126,244454,156,19,243822
0,134,394758,19,9,393970
0,36,574603,168,21,572120
0,101,5117,216,81,2943
0,122,252998,129,28,250869
0,103,1108,159,75,1
1,111,92964,91,41,90784
1,124,3133,50,89,824
0,69,470842,187,51,468923
0,4,4059,29,70,1852
1,46,4593,1,17,2230
0,10,689616,81,52,687517
0,9,598394,167,21,596190
0,85,185005,117,58,182789
0,32,507624,191,3,505363
0,70,459000,172,10,456733
0,58,123424,232,8,121439
1,121,53099,223,38,50910
1,11,4883,41,82,2628
1,124,4516,52,90,3179
1,130,17178,105,102,14941
1,60,81116,2,13,80040
0,22,703891,71,23,701787
1,87,79561,116,55,77369
1,138,3704,21,66,1446
1,79,299939,227,11,297915
1,115,115059,158,22,112891
0,117,827,12,61,3
1,134,28523,80,37,26538
0,21,547726,132,7,545198
1,25,45480,195,120,43330
0,134,1039862,76,37,1037046
0,20,1937904,24,52,1935421
0,28,52834,182,0,50840
0,124,28514,107,103,26043
0,124,1138,4,106,2
1,104,62927,147,24,60651
0,136,16106,72,96,14127
0,124,7548,53,91,5362
1,53,828692,193,47,827244
0,22,711734,31,23,710958
0,31,482055,110,10,479794
1,94,89110,206,16,86993
1,46,71096,136,40,68619
1,93,798,163,77,1
0,111,2326647,16,52,2325364
1,125,9859,207,80,7598
1,81,120751,185,3,119534
1,135,70436,209,122,69252
0,89,7125,108,103,5011
1,59,1699,84,8,101
0,117,1333,15,63,3
0,134,468090,39,2,465892
0,77,811009,210,32,808763
0,42,619207,202,9,617003
0,41,194620,123,53,192110
1,37,52112,102,43,49749
0,62,14957,63,74,12933
1,86,1621,64,94,2
0,112,813661,180,37,811541
0,85,560608,179,16,558551
0,19,961848,150,36,959689
0,70,915393,61,33,914149
