Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Host_Taxon
0,12245091,117,117,13,21,11,12243976,4
1,21664027,170,170,13,39,12,21662360,4
0,14417657,126,126,13,20,11,14416290,4
0,24261916,182,182,13,23,18,24259394,4
0,16932900,143,143,13,20,12,16931788,4
0,22507853,175,175,13,24,5,22506750,4
0,5694837,86,86,13,39,8,5693386,4
0,4347332,75,75,13,33,18,4345470,4
1,19098062,156,156,13,20,12,19092804,4
1,189059,56,56,13,39,8,186996,4
1,7321944,29,29,1,44,7,7320766,3
1,5535594,82,82,13,39,8,5533789,4
0,16125431,136,136,13,20,8,16124496,4
1,16086668,135,135,13,39,11,16085061,4
1,6407978,88,88,13,20,11,6406782,4
1,22866651,177,177,13,40,5,22865183,4
1,6962,185,185,10,26,14,4240,4
0,22420594,174,174,13,39,5,22418891,4
0,6622485,89,89,13,20,8,6621288,4
0,517377,186,186,11,24,24,516034,4
1,740910,58,58,13,39,11,739147,4
1,4478317,21,21,1,44,7,4476602,3
0,6623857,90,90,13,21,8,6622859,4
1,8304208,99,99,13,27,11,8302604,4
1,1163943,62,62,13,21,11,1162260,4
0,166610,3,3,2,35,10,159343,1
0,12044915,45,45,1,45,25,12043926,3
1,7085743,95,95,13,20,11,7084628,4
0,11411332,113,113,13,21,11,11410333,4
1,14082326,121,121,13,20,11,14081394,4
0,15525233,53,53,1,0,25,15523344,3
1,9950434,108,108,13,21,8,9949362,4
1,19353997,157,157,13,20,12,19353143,4
0,11141122,111,111,13,21,8,11139777,4
0,4821949,22,22,1,3,25,4818629,3
1,802447,11,11,7,20,19,797690,2
0,6404545,26,26,1,2,25,6402818,3
1,3890743,20,20,1,5,25,3888761,3
1,7536063,33,33,1,45,25,7534078,3
0,4110404,74,74,13,37,8,4109244,4
1,6917763,94,94,13,21,11,6916226,4
0,14313028,125,125,13,38,8,14311819,4
1,10471813,41,41,1,6,7,10470053,3
0,17025788,145,145,13,20,12,17024394,4
1,17169188,146,146,13,39,5,17167599,4
0,901193,59,59,13,24,11,900303,4
0,7485958,32,32,1,11,25,7483058,3
1,4986283,79,79,13,21,11,4984864,4
0,11814846,114,114,13,22,13,11812601,4
0,1138017,61,61,13,21,8,1136944,4
0,10863636,110,110,13,39,8,10862464,4
0,3552202,18,18,1,12,7,3549812,3
0,14246569,122,122,13,39,11,14244689,4
1,16194865,138,138,13,39,11,16193285,4
1,19092299,155,155,13,20,12,19091385,4
1,1488889,8,8,3,18,2,1488146,1
1,720767,1,1,0,18,4,720270,0
1,954065,60,60,13,25,18,950709,4
0,8446783,36,36,1,10,7,8444390,3
0,4961093,78,78,13,21,11,4960051,4
0,6731177,91,91,13,26,13,6730012,4
1,11409218,112,112,13,39,11,11407419,4
0,15575248,132,132,13,20,11,15573908,4
0,2395872,70,70,13,42,18,2393881,4
1,1946524,66,66,13,32,8,1945502,4
1,15205645,129,129,13,43,11,15204587,4
1,14297622,123,123,13,39,8,14294152,4
0,4686426,76,76,13,23,13,4684330,4
1,7223642,27,27,1,1,25,7222040,3
