Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,38827,226,1,25,35924
0,0,4679,184,1,134,1893
1,0,9869,53,0,58,8244
0,0,825842,310,1,40,823350
0,0,502030,130,0,0,499289
1,0,79193,77,1,3,76656
0,0,2449,0,1,152,11
1,0,7010,291,0,148,4233
1,0,66235,248,0,41,64469
1,0,21822,317,1,13,18838
1,0,3014,94,1,66,228
1,0,77950,17,0,24,74987
1,0,510295,141,1,27,507728
0,0,847503,311,1,40,845194
0,0,6673,233,1,139,3815
1,0,181574,314,1,30,180063
0,0,625252,229,1,28,622190
1,0,981807,277,1,52,979324
1,0,16715,187,1,46,14439
1,0,2940,213,1,136,73
0,0,8383,220,0,137,7271
1,0,17724,293,0,59,14986
0,0,13435,271,1,144,10745
1,0,86361,189,0,15,83876
0,0,225780,78,1,27,223900
0,0,578138,99,1,27,576360
0,0,504140,267,1,2,500865
0,0,636457,214,1,13,635763
0,0,847195,164,1,35,845501
0,0,492362,27,1,1,490971
0,0,236472,224,1,3,233641
0,0,779582,204,0,31,776703
0,0,7188,124,1,121,4384
1,0,8831,110,1,119,6234
0,0,650247,101,0,27,648161
0,0,984,304,1,151,31
1,0,1094,23,1,75,159
0,0,24358,272,0,144,21590
1,0,1225,52,0,79,1
0,0,628999,143,1,12,626735
1,0,13990,115,1,16,11384
1,0,28068,64,1,67,25282
1,0,3158,255,1,93,408
0,0,2351295,264,1,58,2348338
0,0,9939,56,0,102,8926
1,0,65081,83,0,25,62292
1,0,9052,247,1,142,7148
0,2,805554,313,0,40,804478
0,0,782600,205,0,31,781197
0,0,3790,211,1,89,806
0,0,1573917,167,1,58,1571158
0,0,1995400,175,0,56,1993454
0,0,794113,243,0,33,793295
1,0,644271,97,1,58,641242
1,0,56433,249,0,41,54619
0,0,654938,253,1,27,652152
0,0,1032018,49,1,44,1029001
0,0,1140600,197,0,46,1138639
0,0,411506,58,1,33,408474
1,0,924785,237,1,57,922281
0,0,1204,126,0,87,2
1,0,8397,15,0,9,5578
0,0,764760,203,0,31,762982
1,0,976,20,1,74,2
1,0,587182,273,1,37,584897
0,0,3258,40,1,77,436
1,0,6116,57,1,103,4224
0,0,606712,238,0,12,603989
1,0,21218,242,1,26,18921
1,0,2501,82,0,38,102
1,0,7457,215,1,41,4911
0,0,490870,45,0,1,489493
1,0,4777,18,1,70,2027
1,0,26225,207,0,65,24447
1,0,22430,44,1,34,19944
1,0,15107,263,1,2,12237
1,0,41742,307,1,44,39727
0,0,663320,259,0,24,660522
1,0,58458,114,0,16,55432
0,0,486237,24,1,47,483109
0,0,353345,138,1,58,350952
1,0,16574,223,1,138,14088
0,0,3713,283,0,97,2106
1,0,44770,25,1,50,42977
0,0,3597,235,0,140,1834
0,0,5794,135,1,123,3014
0,1,655728,169,0,18,653962
1,0,33262,308,0,44,31331
0,0,791878,121,0,37,790079
0,0,760085,244,1,33,757590
0,0,1852491,174,0,54,1847980
0,0,130785,104,1,20,128263
1,0,122539,191,1,14,120197
0,0,594892,227,0,28,591674
0,0,571445,199,0,21,567813
0,0,690966,180,1,32,687994
0,0,9553,113,1,85,7784
0,0,582823,21,1,21,581135
1,0,67475,296,0,56,65139
1,0,25743,231,1,14,24748
1,0,71114,196,1,4,69705
0,0,103187,323,0,9,101616
0,0,702008,181,0,32,700188
0,0,585311,228,1,28,582390
0,0,2350211,168,1,59,2347587
1,0,491613,133,1,41,488857
1,0,12191,232,1,14,9909
1,0,1182,91,1,115,1
1,0,59561,140,1,50,57681
1,0,14595,65,0,67,12280
0,0,9360,256,1,94,6577
0,0,1434052,155,0,52,1432280
1,0,29749,162,1,29,26915
0,0,430057,186,1,33,427406
0,0,14455,89,1,113,11690
1,0,30562,278,0,18,28739
0,0,4524,241,0,141,2574
1,0,4216,132,0,47,1460
0,0,19758,185,0,135,17038
1,0,47207,80,0,112,45534
1,0,36437,102,0,117,35517
1,0,5595,68,1,107,2761
0,0,912033,72,1,41,909235
0,0,2693,280,1,96,396
1,0,4036,63,0,67,1289
1,0,93761,71,1,65,90201
0,0,11733,73,1,82,9154
0,0,706189,14,1,29,704129
0,0,120500,322,0,9,118605
1,0,26060,260,1,2,23298
0,0,351197,218,1,62,348939
1,0,8589,29,0,42,6541
0,0,1385359,154,0,52,1383590
0,0,688837,87,1,26,685982
1,0,54516,93,0,41,53479
1,0,1739,12,0,72,3
0,0,201879,299,0,61,200095
0,0,1320804,151,1,59,1318300
0,0,628364,100,1,27,625434
0,0,3779,183,0,133,1517
1,0,64637,150,0,65,62859
0,0,4799,270,1,144,2103
0,0,7313,236,1,140,4734
1,0,19476,160,0,128,17815
0,0,7957,142,1,126,5381
0,0,829858,119,1,37,827087
0,0,2071578,165,1,58,2068987
0,0,411543,245,1,31,408877
0,0,848494,163,1,35,847454
1,0,8756,145,1,45,5919
1,0,169188,306,0,44,166855
0,0,16396,294,1,149,13598
0,0,492103,129,1,0,489575
1,0,14953,302,1,53,12005
0,0,427483,287,0,46,425420
0,0,570499,252,1,27,567725
1,0,3857,103,1,118,1095
1,0,68621,192,1,57,67503
0,0,245943,61,1,4,244298
1,0,556405,240,1,28,554000
0,0,9141,221,0,137,8410
0,0,873816,172,1,52,871123
0,0,14712,222,1,91,11650
0,0,2360044,13,1,59,2358530
1,0,11256,254,1,92,8914
0,0,7825,90,1,114,5795
0,0,1137976,136,0,57,1133828
1,0,96498,209,1,29,94816
1,0,83774,188,1,15,82602
0,0,1981,297,0,99,2
0,0,483389,320,1,5,481422
1,0,85945,309,0,16,83153
0,0,21702,59,0,104,18811
1,0,22871,4,0,25,21810
1,0,5339,51,1,101,2904
0,0,728090,36,0,30,725151
1,0,3210,22,1,73,616
0,0,258722,219,0,9,256827
1,0,10587,182,0,132,8119
1,0,145152,315,1,13,142906
0,0,572075,300,1,17,569139
0,0,2028848,179,0,56,2027736
1,0,33122,281,1,42,30594
0,0,690828,274,1,37,688522
1,0,45706,261,0,2,43370
0,0,588116,3,1,8,586977
1,0,4613,117,0,5,1626
1,0,12865,289,0,39,9965
1,0,4342,81,1,32,1385
0,0,15683,257,1,95,12888
0,0,378832,38,1,63,376718
1,0,25602,134,0,51,22921
0,0,563158,321,0,21,560651
0,0,467624,171,0,11,464685
0,0,2010044,11,0,56,2009265
0,0,4567,55,0,80,1604
0,0,24449,112,1,85,21516
1,0,33240,54,1,41,30436
1,0,197559,194,1,9,195199
1,0,955,156,0,88,2
0,0,447897,285,0,46,446350
1,0,61849,46,0,65,60071
1,0,1721524,41,1,58,1718519
1,0,21022,62,1,105,18272
0,0,517997,131,1,0,514713
0,0,1984663,166,1,58,1981777
1,0,4543,137,1,124,1706
0,0,16034,125,1,24,13233
1,0,1133115,269,1,52,1130755
1,0,1973,1,0,154,3
0,0,1174681,75,1,48,1172813
1,0,3158,6,0,40,342
0,0,648458,161,1,22,645735
1,0,31215,301,0,68,30121
0,0,1171911,147,0,49,1168945
1,0,2772,318,0,13,301
0,0,265804,202,1,10,263906
0,0,496864,170,0,6,494066
1,0,1709527,107,1,59,1707056
1,0,29971,144,1,45,27197
1,0,5025,158,1,127,2677
0,0,474181,193,1,4,471830
1,0,20670,139,0,125,18052
0,0,1430611,98,0,52,1429409
0,0,2149200,265,1,58,2146741
1,0,30617,149,1,66,28410
0,0,750304,210,0,37,747923
1,0,10460,76,1,111,8049
0,0,754760,206,1,31,752910
1,0,6217,319,1,13,3602
0,0,396132,246,1,31,393928
1,0,128705,208,1,29,127131
0,0,496021,26,1,1,493463
1,0,56619,316,1,13,53854
1,0,4421,31,0,76,3684
1,0,117865,212,0,2,115973
1,0,6529,157,0,36,4547
1,0,174847,195,1,9,172793
1,0,8963,177,1,131,6399
0,0,6840,284,0,146,3826
0,0,1175229,146,1,49,1172704
1,0,110366,250,1,64,107442
0,0,7278,95,1,116,4399
1,0,22938,85,1,56,21226
0,0,1130391,198,1,46,1127446
1,0,11829,32,1,48,8980
1,0,1443,19,1,71,1
1,0,7112,282,0,145,4374
0,0,1008775,190,1,58,1006142
1,0,7245,290,1,147,4687
1,0,12451,176,1,130,9695
0,0,2274,50,0,78,1
