Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
1,447558,84,84,2,19,13,447142
0,9446,79,79,2,3,38,7647
0,5255,72,72,3,32,19,2763
0,994934,12,12,2,10,12,993237
1,2113129,4,4,2,1,17,2112008
1,339503,95,95,2,15,5,338613
0,571876,58,58,2,36,5,570902
0,446968,57,57,2,1,17,445976
0,747945,59,59,3,38,9,745645
0,415,76,76,3,16,37,74
0,34900,81,81,2,42,40,34403
1,1568049,33,33,3,21,17,1567459
0,796821,74,74,2,44,11,795886
1,752839,23,23,2,1,17,752246
1,1050401,91,91,2,6,16,1050087
1,434997,7,7,0,17,4,434554
0,787501,68,68,2,10,12,786539
1,514049,83,83,3,0,10,513210
1,1786875,48,48,2,25,16,1786159
0,767190,26,26,2,35,11,766081
0,155295,89,89,2,12,41,154171
0,14817,15,15,4,16,25,14209
0,74492,20,20,2,37,3,73803
1,1037381,92,92,2,25,16,1036476
0,1751697,6,6,1,6,16,1751281
0,310242,36,36,2,15,13,309811
1,1078009,0,0,2,15,13,1077569
0,810033,66,66,2,10,12,808633
0,524283,28,28,2,28,6,523744
0,1575106,49,49,2,25,16,1574483
0,796791,67,67,2,37,12,795304
1,1226536,43,43,2,1,17,1225625
0,292232,50,50,0,7,4,291777
0,493953,85,85,2,15,13,493609
1,579,45,45,4,16,31,1
0,1605890,78,78,2,6,16,1605162
1,1285729,42,42,2,1,17,1284860
0,738027,47,47,2,35,11,736090
1,624101,24,24,2,27,6,623469
1,6256,13,13,3,16,23,4343
1,3678,41,41,2,30,29,1996
0,415202,8,8,0,18,4,414870
0,456990,37,37,2,18,5,456034
1,26464,55,55,2,15,33,24623
0,43740,64,64,0,5,2,43105
0,556441,27,27,0,26,6,555500
0,302448,34,34,2,15,13,301999
0,409340,94,94,0,9,17,408633
1,14261,88,88,3,2,20,11517
1,69017,90,90,5,33,4,68592
1,1643722,31,31,2,39,17,1642802
1,84542,19,19,2,4,27,84111
1,2665,11,11,3,16,22,1541
1,1180888,77,77,2,31,15,1179752
0,309976,53,53,3,15,14,309383
1,598,61,61,4,16,34,2
0,743148,39,39,0,10,13,742618
1,1445532,21,21,2,39,17,1444765
1,829655,3,3,2,6,16,828978
1,1493,80,80,2,22,39,471
1,1115404,69,69,2,1,17,1114712
1,2418,10,10,2,23,21,715
1,405646,52,52,2,15,13,404846
0,1735953,71,71,0,34,15,1735636
1,995699,86,86,3,10,13,995106
1,2026309,9,9,0,21,17,2025506
1,483,18,18,2,4,27,1
0,1735532,70,70,3,24,15,1734645
1,647282,5,5,2,39,17,646296
0,888037,87,87,2,44,11,886754
1,18905,63,63,3,16,36,17574
0,703062,65,65,2,6,16,702091
0,1021876,56,56,2,6,16,1021316
1,3924,62,62,2,13,35,2239
0,287968,35,35,0,40,13,286817
0,776048,25,25,2,44,11,775092
1,15756,44,44,2,35,30,14755
0,232541,29,29,2,33,0,231249
0,459577,75,75,3,14,14,458618
1,75990,1,1,2,29,8,74263
0,156954,97,97,2,20,1,155782
1,389254,82,82,2,0,10,388238
0,12112,17,17,0,16,26,11726
1,3821,14,14,3,16,24,1521
0,1680779,32,32,2,1,17,1680060
1,11816,46,46,3,16,32,9516
1,571767,73,73,2,39,17,570709
1,1658775,30,30,2,24,17,1658077
0,1430208,22,22,2,1,17,1429318
0,1217,96,96,2,20,42,24
1,145136,60,60,2,6,7,143469
1,828817,2,2,0,41,16,828224
0,408301,93,93,2,1,17,407363
0,1000,40,40,2,8,28,2
0,457660,38,38,0,11,5,457121
1,2307,51,51,2,2,18,1621
0,322283,54,54,2,43,14,321357
0,11716,16,16,0,16,26,11321
