Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,1169344,41,41,1,26,44,1158920
1,7614,2,0,0,2,60,1030
1,609988,158,158,1,124,10,605538
0,1211309,163,163,1,132,49,1200861
1,71128,82,82,1,18,45,60752
1,18759,152,152,3,76,107,8548
1,52109,56,56,1,62,5,41772
1,64484,128,128,2,97,30,55971
0,424181,139,139,1,67,10,413739
0,225503,223,223,1,116,8,215040
0,1026196,142,142,3,36,49,1015775
0,330111,110,110,1,74,15,322282
1,458221,51,51,1,110,10,447770
0,685626,120,120,1,83,30,675331
0,18045,174,174,1,68,110,7588
1,108909,131,131,1,52,27,98518
1,47512,125,125,1,15,29,39092
0,775910,132,132,1,92,33,765552
1,22103,171,171,1,54,33,14689
0,332104,168,168,1,54,33,321641
1,7780,8,8,2,123,63,2
1,11317,87,87,3,41,30,5433
0,573981,159,159,1,124,10,563530
1,459416,62,62,1,139,34,449073
1,5380,25,25,3,27,75,2
1,214744,9,9,3,39,38,206012
1,31572,76,76,1,25,36,21127
1,63253,175,175,1,78,111,52823
0,286931,192,192,1,97,51,283691
0,149649,116,116,2,26,23,143326
1,14171,180,180,2,61,34,4392
1,11492,32,32,1,58,78,5925
1,26884,61,61,1,53,16,16478
1,45907,207,207,2,17,50,38978
0,13390,161,161,1,125,70,2987
0,193120,185,185,2,96,23,183374
0,9732,193,193,1,19,116,1
1,1233807,178,178,3,136,46,1224493
1,62951,95,95,1,87,53,52593
1,970184,186,186,1,85,46,959784
1,138304,216,216,1,51,13,127910
1,13701,153,153,1,81,108,3220
0,689245,14,14,1,15,29,678794
1,5595,6,6,2,137,62,1
0,213628,101,101,1,129,52,203258
0,24168,113,113,3,23,98,13795
1,31191,122,122,1,55,35,20812
0,3034,92,92,2,88,95,2
1,347060,220,220,2,139,34,339083
1,127990,150,150,3,122,53,117557
1,390898,219,219,1,74,34,380639
1,60872,208,208,1,22,50,50520
1,225073,35,35,1,40,27,217409
0,842551,213,213,1,6,35,832124
0,475972,78,78,2,84,2,470489
1,534898,114,114,2,103,33,529028
1,59093,70,70,1,66,29,53591
0,2345983,166,166,1,22,50,2335691
0,33876,201,201,1,72,121,23431
0,2017022,4,4,2,101,48,2011656
0,796435,42,42,3,135,32,786038
0,908777,38,38,1,102,37,898398
0,1020605,202,202,3,20,48,1014285
1,25728,94,94,3,40,55,21774
0,13163,66,66,1,50,87,2601
0,789447,214,214,3,113,35,779023
0,7954,194,194,2,69,117,2
0,743366,12,12,3,93,28,733188
0,1028641,19,19,1,100,40,1018586
1,69531,218,218,1,51,13,59128
0,5243,69,69,1,47,88,2
0,9826,22,22,2,114,74,2831
1,12411,134,134,3,3,102,1858
0,6482,3,3,2,69,61,3
1,78813,198,198,1,140,51,72588
1,12312,197,197,2,7,51,7990
1,40663,199,199,1,125,120,30197
1,51361,102,102,1,40,27,40991
0,288082,210,210,1,94,50,277652
0,328819,65,65,1,71,30,318764
1,127475,172,172,1,90,54,117093
1,32850,188,188,1,100,9,28143
0,207695,53,53,1,111,15,204667
1,36235,217,217,1,52,13,25871
0,11147,33,33,2,117,79,4143
0,1351353,155,155,3,136,46,1340908
0,30892,75,75,1,124,22,20468
0,745319,40,40,1,134,32,734937
1,353296,98,98,2,7,51,348857
0,7476,0,1,2,103,59,127
1,21015,77,77,1,64,18,14486
0,5481,156,156,2,38,109,1
1,5231,27,27,1,133,66,1
1,78745,64,64,1,1,43,68291
0,574518,143,143,3,98,12,565420
1,27113,195,195,3,138,118,16665
0,647211,117,117,3,136,46,636820
1,802151,13,13,1,115,50,791817
0,65194,21,21,1,42,0,54806
1,6388,124,124,1,128,100,323
0,296067,111,111,3,75,33,288610
0,62219,39,39,1,133,82,51870
1,19188,34,34,1,16,80,11071
1,34912,170,170,1,132,33,27714
0,239506,162,162,2,71,15,231410
0,595061,49,49,3,90,25,584655
1,52443,44,44,3,20,48,42064
0,5929,151,151,1,13,69,3
1,35770,43,43,3,63,83,25298
0,5956,20,20,1,134,73,733
0,586972,47,47,1,12,8,576509
1,88568,200,200,1,57,120,78117
0,13525,109,109,3,97,97,3143
0,623676,91,91,1,22,12,613279
1,11537,176,176,1,86,112,1098
0,505288,11,11,1,130,4,494840
1,39653,24,24,1,62,37,33702
1,158064,215,215,1,99,13,147781
1,54831,126,126,1,97,51,44338
1,1392969,106,106,1,0,49,1382515
0,2345195,167,167,1,140,51,2334792
0,5893,36,36,1,14,81,1
0,1174010,190,190,2,100,43,1168695
1,563694,144,144,1,89,26,556752
1,89016,119,119,1,14,42,78604
1,487135,86,86,1,109,38,478468
0,3341,191,191,2,91,115,3
0,5467,74,74,2,77,91,2
1,6015,148,148,2,30,28,103
1,6046,80,80,2,42,93,2
1,24830,103,103,1,40,27,14646
0,548110,154,154,1,80,18,541838
