Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,101,7608,43,91,6745,1
1,18,391707,126,22,391090,1
1,15,476915,38,3,476025,0
0,52,346408,207,62,346178,1
1,145,216862,127,56,214952,0
1,145,80177,231,13,78453,1
1,95,8014,87,10,5234,1
1,64,557,94,107,3,1
0,18,12665,71,22,11931,1
0,88,346850,206,62,346512,1
1,102,890682,192,37,889150,0
0,96,1130987,148,43,1130442,0
1,11,2216,42,90,1884,0
1,79,56787,224,65,55507,1
0,57,45867,21,45,45670,1
1,140,929,176,130,3,0
1,122,25397,153,28,23602,1
1,122,36817,151,28,35931,1
1,65,578507,187,25,577500,0
1,90,30441,198,133,27628,1
1,78,1839347,133,54,1836461,0
0,26,71748,34,53,71398,1
1,67,122795,35,8,121053,0
1,112,1122061,146,43,1121249,0
1,134,752571,48,27,750136,0
1,130,33312,82,39,32212,1
1,7,17807,29,42,16818,1
1,51,17424,191,27,14611,1
1,108,543960,138,6,542011,0
1,91,23503,235,5,21764,1
1,59,57738,225,65,56893,1
0,30,870832,54,33,869711,0
1,61,12423,129,26,10753,1
1,23,3521,177,86,564,0
1,30,46358,95,15,44298,1
1,12,119855,183,7,118959,1
1,106,351059,66,59,348930,0
1,141,4441,72,52,1115,1
0,47,218,156,124,3,0
1,35,615828,186,25,612868,0
1,105,835,4,89,1,0
1,7,71222,130,26,69540,1
1,145,100170,26,13,98553,1
1,20,76293,27,60,74227,1
1,63,17384,125,116,15111,1
1,15,395,203,87,3,1
1,111,1444050,22,47,1442287,0
1,137,229154,239,7,227562,0
1,24,64517,123,60,64071,1
0,135,747484,169,31,746714,0
1,109,58454,116,46,55821,1
1,142,10805,109,113,10074,0
1,122,805101,144,28,802591,0
0,131,4265,68,101,3411,0
1,101,8105,61,98,5802,1
1,138,42976,229,40,42014,1
0,37,157631,185,51,157230,0
1,21,7838,217,136,7741,1
1,46,794,8,67,3,0
0,103,1231,13,74,899,1
1,75,74182,14,21,73355,1
1,94,2332647,201,55,2330257,0
1,74,114401,65,61,112584,1
1,94,41471,158,55,39177,1
0,98,1415811,19,47,1415230,0
1,61,6985,85,104,4031,1
1,30,74451,230,15,72187,1
1,8,1129891,147,43,1128836,0
1,15,535,6,66,1,0
1,125,11717,178,131,11061,0
1,111,1338938,195,47,1337487,0
0,136,36096,30,38,35452,1
1,1,56420,159,55,55923,1
1,15,20561,121,41,20007,1
1,33,2400,168,127,211,0
1,42,3058,140,121,647,0
1,78,33980,166,54,31590,1
1,56,358301,174,58,355485,0
0,113,202126,79,59,201683,0
1,59,83691,199,2,83233,1
1,18,1034156,76,39,1031220,0
1,128,393196,84,49,390821,1
1,87,368350,51,58,367493,0
1,124,66037,97,43,63011,1
1,38,877,16,77,2,0
1,40,1381,106,111,2,0
1,124,1153652,149,43,1152030,0
1,134,45746,31,27,45168,1
1,86,47107,232,13,46339,1
1,123,35665,152,28,33647,1
1,6,2035,131,119,1445,0
1,81,921959,67,36,919047,0
0,50,282,119,85,1,1
1,78,903359,162,54,902475,0
1,46,3364,172,129,1112,0
1,3,8634,62,99,6310,0
1,45,6051,113,84,3256,0
1,35,223303,157,25,221369,0
1,10,147,10,68,1,0
1,123,706956,36,28,704473,0
1,27,15156,24,79,14362,1
1,78,944659,163,54,941918,1
1,3,513917,237,5,513297,0
1,53,24472,188,14,23342,1
1,145,46075,233,13,44094,1
1,92,1050263,160,48,1049748,0
