Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,28,3818,117,117,1,70,2061
0,68,497232,49,49,0,1,497002
0,38,1220025,97,97,1,36,1218841
0,34,2356,7,7,1,44,188
1,50,553680,111,111,1,24,551527
0,16,17469,86,86,1,49,15220
0,64,551749,31,31,0,18,551012
1,65,160581,125,125,1,12,159610
1,54,2942,33,33,1,57,882
0,3,802663,58,58,1,29,801878
1,53,501852,59,59,1,33,499696
1,36,1105132,106,106,1,32,1103840
1,45,590889,95,95,1,15,588715
0,13,2355697,99,99,1,38,2354525
1,37,5081,19,19,1,11,2874
0,60,2356776,6,6,1,38,2355799
0,44,3053,21,21,1,51,873
0,17,1193345,105,105,1,32,1191366
0,43,195717,5,5,1,7,194815
1,62,395040,110,110,1,24,392911
0,70,1058918,108,108,1,34,1056777
1,10,114991,84,84,1,3,114542
1,17,161676,77,77,1,12,160684
0,35,2832,52,52,1,60,619
1,30,26356,41,41,1,58,24182
1,18,603844,96,96,1,15,602780
1,2,18169,8,8,1,16,16115
0,59,508321,32,32,1,2,506186
1,9,29015,27,27,1,55,27780
0,1,646319,102,102,1,13,643902
1,62,346367,40,40,1,24,344166
0,63,2001346,64,64,1,37,1998842
0,50,705460,50,50,1,24,703286
0,37,203063,80,80,1,6,200871
1,20,9199,104,104,1,67,7001
1,60,80858,14,14,1,38,80019
0,69,53186,22,22,1,0,51024
1,28,18788,25,25,1,42,16752
1,3,5374,107,107,1,68,4073
0,50,305003,100,100,1,24,302736
0,56,194168,88,88,1,18,192141
1,17,605835,113,113,1,32,604711
1,46,302402,43,43,0,12,301785
1,45,628874,56,56,1,15,628374
1,60,1560715,16,16,1,38,1558235
1,17,141673,126,126,1,12,140918
1,67,38921,60,60,1,11,36609
1,0,352533,109,109,0,40,352018
0,29,879776,20,20,1,27,877512
1,40,229342,92,92,1,27,227192
1,3,6731,34,34,1,29,4560
1,45,628270,36,36,1,15,627785
0,25,875271,70,70,0,32,874933
1,5,53693,57,57,1,30,52560
1,63,1092022,122,122,1,37,1090076
0,40,122127,119,119,1,71,120202
1,68,32651,26,26,1,54,31587
0,56,573072,93,93,1,18,571858
0,4,10034,9,9,1,45,9492
1,19,64228,74,74,1,22,62066
1,49,238993,66,66,1,25,236726
0,38,479217,78,78,1,14,477172
0,13,606833,35,35,1,38,604902
1,53,356850,23,23,0,41,356083
0,50,6331,18,18,1,50,3935
1,15,69895,4,4,1,22,67685
1,11,27802,123,123,1,73,25553
1,54,521,0,0,0,52,3
0,40,149082,120,120,1,71,147823
0,56,551317,82,82,1,19,549344
1,10,85717,38,38,1,3,84713
0,47,12912,3,3,0,43,12295
1,14,116089,75,75,0,2,115388
0,20,5373,103,103,1,66,3175
0,56,399746,91,91,1,19,397836
0,18,551038,37,37,1,15,548948
1,40,258202,87,87,1,27,255983
1,55,7513,2,2,1,26,7115
0,38,522056,129,129,1,14,520707
0,57,560632,53,53,1,18,560198
1,47,8796,42,42,1,4,6766
0,18,242101,44,44,0,17,241769
0,62,742170,79,79,1,24,739927
0,2,13846,12,12,1,46,12761
1,63,886828,76,76,1,37,884852
0,36,656983,69,69,1,32,654773
1,66,29812,132,132,1,28,28472
0,6,24063,89,89,1,65,21859
1,26,569,73,73,0,62,3
0,17,510087,17,17,1,32,508918
1,24,20468,94,94,1,5,18309
0,28,47761,116,116,1,70,45575
1,63,2179419,98,98,1,37,2176948
0,41,143770,130,130,1,8,141896
0,27,395811,47,47,1,21,393328
1,6,17708,29,29,1,56,16425
1,33,107570,30,30,1,10,105642
1,7,216636,67,67,1,25,214564
1,23,5239,48,48,1,59,3059
1,51,2117,24,24,1,53,3
1,2,45873,85,85,1,64,43711
0,32,843337,63,63,1,23,841178
0,12,630544,13,13,1,19,630077
1,63,61722,124,124,1,37,61057
0,12,414917,90,90,1,19,412986
1,22,9794,121,121,1,72,7884
0,42,630340,39,39,1,20,629867
0,57,576256,1,1,1,18,575726
1,17,8315,11,11,1,32,7779
0,33,640806,112,112,1,10,638620
0,12,808511,72,72,1,19,806334
1,13,45587,118,118,1,71,43530
1,22,7341,15,15,1,47,5542
1,21,591642,55,55,0,15,591283
0,39,28251,115,115,1,69,27310
1,58,15656,46,46,1,1,13635
0,12,495949,81,81,1,19,493973
0,26,2323,65,65,1,61,1850
0,8,12118,51,51,1,48,9896
0,23,2747,83,83,1,63,2046
0,38,1428134,62,62,1,36,1426182
0,52,2001160,71,71,1,35,1999253
1,60,967593,54,54,1,38,965515
0,31,1157244,28,28,0,31,1157023
1,7,292285,128,128,1,25,290090
1,27,131468,101,101,1,39,129252
0,61,429,127,127,1,74,1
0,40,461012,68,68,0,10,460530
0,50,804175,45,45,1,24,801998
0,47,1718373,10,10,1,36,1716442
0,55,111044,131,131,1,9,109113
0,17,853635,114,114,1,32,852247
1,48,1375094,61,61,1,36,1372983
