Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,90,301826,243,243,0,31,299487
1,118,32772,98,98,1,4,29866
1,26,373899,28,28,0,5,371611
0,72,736453,78,78,0,23,733583
1,51,190552,80,80,0,21,188093
1,62,1516533,42,42,0,32,1514173
0,114,465591,162,162,0,15,462814
1,46,54199,31,31,0,58,51578
1,34,988200,207,207,0,23,985546
1,86,1062895,234,234,0,31,1060310
0,6,246580,87,87,0,19,243767
0,21,758419,44,44,0,22,756089
0,22,488327,203,203,0,23,485541
0,94,322020,237,237,1,19,319249
0,56,33755,26,26,0,44,30969
0,118,355891,245,245,0,6,353552
1,62,993191,43,43,0,32,990858
1,89,1150558,193,193,1,23,1147775
0,117,1152306,222,222,0,24,1149583
0,113,1161129,166,166,0,32,1158613
1,116,32977,216,216,1,85,30248
1,99,33431,25,25,0,55,30843
0,96,184674,5,5,0,12,182293
1,33,1757922,189,189,0,32,1755496
0,66,553480,174,174,0,1,550610
0,46,16153,29,29,0,56,13502
1,121,292921,246,246,0,6,290183
0,123,256062,179,179,0,5,253732
0,99,25495,49,49,0,61,22811
1,29,8691,196,196,0,78,6085
1,44,180436,213,213,0,11,177890
1,8,15222,212,212,0,82,12538
0,72,867065,117,117,0,23,864531
1,40,1966199,104,104,0,31,1963551
0,107,546874,143,143,0,15,544250
0,86,1024944,233,233,0,31,1022305
0,75,519004,251,251,0,7,516413
0,106,1176004,165,165,0,32,1173581
1,86,156435,33,33,0,19,153649
1,65,447956,177,177,0,24,445458
0,74,735391,129,129,0,31,733043
0,78,1102343,226,226,0,24,1099539
0,113,1314205,90,90,0,32,1311887
1,5,1034195,209,209,0,23,1031508
1,45,204433,61,61,0,14,201761
1,74,1800605,109,109,0,31,1797939
1,47,125132,81,81,0,4,122370
0,65,17633,21,21,1,53,14982
0,68,4209,122,122,0,69,1423
0,37,187941,232,232,0,5,185287
0,112,1065877,199,199,0,26,1063010
0,54,425184,136,136,0,16,422410
0,83,513629,257,257,0,15,510834
1,2,568671,173,173,0,32,566338
0,95,1123469,221,221,1,24,1120611
0,62,432436,159,159,1,15,429818
1,71,218715,54,54,0,17,215884
1,69,86749,153,153,1,3,84020
1,52,50888,152,152,0,20,48174
0,73,107074,254,254,1,2,104540
0,10,622377,40,40,0,31,620053
0,130,389747,164,164,1,15,387120
0,32,422008,201,201,0,17,419294
0,132,185153,23,23,0,27,182502
0,88,378614,163,163,0,15,375975
0,123,309384,111,111,0,5,306937
1,121,585607,82,82,0,6,583331
0,46,7162,19,19,0,51,4697
1,38,650434,38,38,0,14,647633
1,74,23290,218,218,0,50,20606
0,99,9867,59,59,0,63,7462
0,124,473501,202,202,0,23,470631
0,87,1713823,7,7,0,30,1711409
0,108,700388,14,14,0,15,697620
0,51,14845,46,46,0,60,11996
0,43,8092,214,214,0,83,5759
1,0,13979,198,198,1,80,11352
0,3,1053239,113,113,0,23,1050549
0,46,15062,86,86,0,66,12438
1,39,1100880,195,195,1,23,1098211
1,45,8115,172,172,0,49,5269
1,52,379418,170,170,0,34,376740
1,81,2047179,185,185,0,31,2044399
1,22,665447,73,73,0,23,662586
0,115,475012,142,142,0,7,472298
0,62,1324430,89,89,0,32,1322082
0,30,1156973,236,236,0,31,1154469
1,38,9580,197,197,1,79,6749
0,84,428427,88,88,0,20,425755
1,102,1096585,235,235,0,31,1093946
0,126,810651,169,169,0,22,808318
0,46,12594,151,151,0,76,9967
1,23,9089,217,217,0,85,6579
0,25,45075,125,125,1,72,42286
1,82,1611964,101,101,1,30,1609262
0,86,1828534,108,108,0,31,1825916
1,109,483376,97,97,0,24,480707
0,74,1865809,106,106,0,31,1862957
0,91,139709,253,253,0,1,138117
0,93,404584,119,119,0,22,402206
0,9,1731005,191,191,0,29,1728183
1,102,2060220,184,184,0,31,2057611
0,39,255561,17,17,1,23,253126
1,55,12158,10,10,0,43,9363
0,46,21771,84,84,0,64,19363
0,72,506933,18,18,0,23,504105
0,108,454333,158,158,0,15,451748
0,84,262330,244,244,0,6,259847
0,107,568854,259,259,0,15,566233
1,46,16377,145,145,0,74,13513
1,94,199898,35,35,1,19,197364
0,28,1633076,187,187,1,31,1630521
0,86,602587,41,41,0,31,600077
0,72,768058,75,75,0,23,765323
1,62,1129346,168,168,0,32,1126764
0,10,20976,56,56,0,46,18310
0,99,5331,150,150,0,75,2932
1,7,629809,114,114,0,13,627020
0,62,1825289,188,188,0,32,1822929
0,62,590672,258,258,1,15,588504
1,63,6553,121,121,0,68,4166
0,109,1169591,223,223,0,24,1166769
1,16,13678,156,156,0,3,10931
0,80,468388,67,67,0,6,465485
0,105,476059,149,149,1,5,473501
0,122,1251196,181,181,0,30,1248512
1,72,1015945,208,208,0,23,1013150
1,62,1147282,167,167,0,32,1144757
1,34,721934,74,74,0,23,719244
0,97,1582479,186,186,1,31,1579936
1,86,221070,141,141,0,9,218443
0,35,463778,79,79,0,16,460986
0,36,11062,4,4,0,39,8450
1,41,1570228,100,100,0,30,1568267
0,89,308185,64,64,1,23,306188
0,96,546370,45,45,0,8,543824
0,54,399549,239,239,0,16,396772
0,92,57145,55,55,0,46,54284
0,80,849988,205,205,0,23,847319
0,23,408107,16,16,1,5,405750
1,13,60414,227,227,0,87,57859
1,72,1007699,206,206,0,23,1005114
1,64,7898,9,9,0,42,5274
0,2,245264,47,47,0,0,242583
0,99,4732,124,124,0,71,2051
0,99,21506,57,57,0,62,18858
1,99,23129,127,127,0,73,20358
0,49,472189,69,69,0,18,469499
0,28,1014233,135,135,1,31,1011738
0,99,34218,58,58,0,62,31414
1,102,2102129,103,103,0,31,2099463
1,42,82609,138,138,0,19,79808
0,87,1317329,99,99,0,30,1314768
1,112,352788,250,250,0,18,350182
1,118,565683,140,140,0,6,563344
1,1,10603,6,6,0,40,7772
1,24,212927,0,0,0,13,211077
0,97,276688,210,210,1,24,274223
0,12,652210,96,96,0,8,649424
1,60,10893,91,91,0,33,8359
1,51,4709,30,30,0,57,2067
0,14,119436,255,255,0,2,116878
1,24,14331,230,230,0,88,11776
1,129,1650945,11,11,0,31,1648582
0,51,7054,123,123,0,70,4541
1,37,456596,15,15,0,5,453903
1,29,3590,211,211,0,82,942
0,113,1816759,190,190,0,32,1814429
1,114,2010450,110,110,0,32,2008033
1,66,529696,176,176,0,1,526820
0,131,280853,62,62,0,23,278046
1,118,423886,65,65,0,6,421607
1,31,408724,139,139,1,35,406415
0,125,1036042,118,118,0,25,1033382
0,58,25731,8,8,0,41,22858
0,99,35248,50,50,0,61,32438
1,128,2099,2,2,0,37,3
0,48,903444,116,116,1,23,900637
1,24,460231,148,148,0,13,457457
1,102,2171498,183,183,0,31,2169063
0,72,817323,77,77,0,23,814468
1,63,35322,192,192,0,77,32611
0,22,585177,204,204,0,23,582301
1,109,41459,219,219,0,86,38613
0,21,584285,175,175,0,1,581721
0,88,404953,161,161,0,15,402317
0,51,16042,112,112,0,67,13142
1,93,574686,147,147,1,13,571897
1,120,596823,95,95,0,8,594229
0,77,71558,154,154,1,3,69066
0,78,1115182,220,220,0,24,1112378
0,98,556640,252,252,0,7,553878
0,99,22835,146,146,0,74,20457
0,46,65602,24,24,0,54,62846
0,97,321121,171,171,0,32,318503
1,51,3099,85,85,0,65,313
1,113,2201057,53,53,0,32,2198634
0,119,1882048,105,105,1,31,1879670
