Chromosome_Location,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Entity_Type,Genomic_Start_Position,Strand_Orientation
1,3408436,5,5,3,2,0,3406694,1
1,11827525,19,19,3,2,0,11825876,0
1,2789368,3,3,1,4,1,2788047,0
1,15222966,26,26,3,0,0,15221143,1
1,2485342,2,2,3,2,0,2485001,1
1,16536814,29,29,4,2,0,16535087,1
1,11110825,17,17,4,2,0,11109716,0
1,19198058,34,34,4,2,0,19196265,0
1,15208834,25,25,3,5,0,15207657,0
1,21652250,38,38,4,2,0,21651465,1
1,8102835,10,10,4,5,0,8101324,1
1,4856229,6,6,3,5,0,4855079,0
1,8714764,11,11,3,5,0,8714108,0
1,13536464,23,23,3,2,0,13535010,1
1,16035426,28,28,3,3,0,16034275,0
1,11338656,18,18,4,3,0,11337604,0
1,6315281,8,8,3,3,0,6314564,0
0,109749,41,41,2,2,0,108094,1
1,19719069,36,36,4,2,0,19717789,1
1,11903031,20,20,4,3,0,11901664,0
1,13602436,24,24,3,2,0,13600727,1
1,16940003,31,31,0,2,0,16938267,1
1,12475698,22,22,4,2,0,12473968,0
1,19493479,35,35,4,5,0,19491830,1
1,729313,0,0,4,2,0,727583,0
1,10013846,14,14,4,6,0,10011450,1
1,2078700,1,1,4,1,0,2077966,1
1,17697736,32,32,0,2,0,17696702,1
1,15966851,27,27,3,2,0,15965034,0
1,10739420,16,16,4,3,0,10738391,1
1,21644712,37,37,0,3,0,21643691,0
1,5858117,7,7,4,3,0,5857149,0
1,10151192,15,15,4,2,0,10149456,0
1,9226812,12,12,4,2,0,9225424,1
1,24170195,40,40,0,2,0,24168318,0
1,9500152,13,13,3,2,0,9498311,1
1,3114645,4,4,4,2,0,3113716,1
1,18084214,33,33,4,2,0,18082439,1
1,7265620,9,9,4,2,0,7263896,0
1,12085133,21,21,3,3,0,12083649,0
1,23930113,39,39,4,3,0,23929616,1
1,16543225,30,30,0,2,0,16541663,1
