Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,124,5471,135,0,110,3207,1,1
0,124,5583,96,0,99,3223,1,0
1,42,457048,87,1,9,454787,0,0
0,140,478833,231,0,6,476677,1,0
1,139,2336,146,1,113,3,0,1
1,51,552888,218,1,15,550654,0,0
0,98,835809,94,0,28,833647,1,0
0,124,4603,48,0,87,2336,1,0
1,11,1069200,208,1,45,1067095,0,0
0,96,2907,35,0,71,667,1,0
0,80,6046,151,0,114,3683,1,0
1,31,76342,177,1,33,73994,0,1
1,111,1167843,142,1,41,1165567,0,0
0,31,1026,3,0,69,22,3,1
0,91,692573,68,0,19,690150,1,0
0,90,27924,6,0,17,26149,3,1
0,0,754574,173,0,26,752403,1,0
1,52,1157625,115,1,42,1155433,0,0
1,38,12933,111,1,39,10912,0,1
1,26,96434,222,1,5,94266,0,1
1,25,35613,194,1,120,33460,0,1
0,67,604953,79,0,20,602554,1,0
0,54,2152,9,0,59,38,1,0
1,112,763015,82,1,37,760970,0,0
0,50,4215,70,0,19,1969,1,1
0,88,480713,37,0,4,478230,1,0
1,68,114439,8,1,3,112868,0,1
0,39,3201,58,0,73,2560,2,1
1,128,61722,220,1,51,61057,0,1
0,22,45278,99,0,18,42840,1,0
1,7,13918,120,1,104,11750,0,1
1,70,562476,171,1,10,560179,0,0
0,32,56175,83,0,5,53914,1,1
0,124,1518,57,0,93,1,3,1
0,117,1009290,44,0,38,1006993,1,0
1,57,50723,119,1,104,48507,0,1
0,72,487264,92,0,17,485114,1,0
0,1,35005,175,0,118,32786,1,1
0,22,371476,170,0,18,369323,1,0
0,134,477337,10,0,9,476408,3,0
0,106,1835184,66,0,46,1832923,1,0
1,38,53359,113,1,39,52601,0,1
1,5,1287,18,1,68,1,0,0
1,12,441740,90,1,29,439797,0,1
1,7,81519,11,1,5,79698,0,1
0,114,71686,212,0,49,69566,1,1
0,119,707127,47,0,23,704929,1,0
0,60,65232,217,0,50,62692,1,1
1,113,777368,224,1,31,775140,0,0
0,56,3230,126,0,22,921,1,1
0,124,1669,46,0,86,2,3,1
0,102,5540,43,0,84,3963,2,1
1,12,372955,230,1,29,370655,0,1
0,131,2191081,86,0,52,2188577,1,1
1,66,11060,139,1,31,8994,0,1
0,123,4184,235,0,35,1923,1,1
0,95,43304,155,0,55,40902,1,1
1,51,113111,165,1,15,111105,0,1
0,87,59089,40,0,55,56687,1,1
1,75,1189025,188,1,50,1186812,0,0
1,45,805063,178,1,38,803291,0,0
1,24,1835456,204,1,47,1833030,0,0
0,124,7454,51,0,89,5259,1,1
0,97,611448,109,0,10,610807,2,0
0,43,2776,152,0,115,509,1,0
1,16,1204656,196,1,44,1202680,0,0
0,16,4025,162,0,16,1761,1,1
0,43,2650,23,0,34,386,1,1
1,20,560447,97,1,52,558669,0,1
1,9,335828,153,1,29,333633,0,1
1,65,480279,203,1,44,478171,0,0
1,66,7012,5,1,31,5501,0,1
0,2,12909,140,0,111,10807,1,1
0,124,11646,122,0,105,9286,1,1
1,40,1116077,149,1,40,1113876,0,0
0,100,76316,28,0,50,74154,1,1
1,127,496899,100,1,1,495853,0,0
0,61,15153,205,0,30,12949,1,1
0,98,1027491,75,0,37,1024990,1,0
1,92,170211,121,1,48,168412,0,1
1,66,799420,225,1,31,796943,0,0
0,120,377705,95,0,57,375522,1,0
0,108,5046,157,0,116,2860,1,1
0,13,914046,62,0,33,913312,3,0
0,126,244454,156,0,19,243822,2,0
0,134,394758,19,0,9,393970,2,0
0,36,574603,168,0,21,572120,1,0
1,101,5117,216,1,81,2943,0,0
1,122,252998,129,1,28,250869,0,0
1,103,1108,159,1,75,1,0,0
1,111,92964,91,1,41,90784,0,1
0,124,3133,50,0,89,824,1,1
1,69,470842,187,1,51,468923,0,0
1,4,4059,29,1,70,1852,0,0
0,46,4593,0,0,17,2230,1,1
1,10,689616,81,1,52,687517,0,0
1,9,598394,167,1,21,596190,0,0
1,85,185005,117,1,58,182789,0,0
0,32,507624,191,0,3,505363,1,0
1,70,459000,172,1,10,456733,0,0
1,58,123424,232,1,8,121439,0,0
0,121,53099,223,0,38,50910,1,1
1,11,4883,41,1,82,2628,0,1
0,124,4516,52,0,90,3179,3,1
1,130,17178,105,1,102,14941,0,1
0,60,81116,2,0,13,80040,2,1
0,22,703891,71,0,23,701787,2,0
0,87,79561,116,0,55,77369,1,1
0,138,3704,21,0,66,1446,1,1
1,79,299939,227,1,11,297915,0,1
0,115,115059,158,0,22,112891,1,1
0,117,827,12,0,61,3,2,0
0,134,28523,80,0,37,26538,1,1
1,21,547726,132,1,7,545198,0,0
1,25,45480,195,1,120,43330,0,1
0,134,1039862,76,0,37,1037046,1,0
1,20,1937904,24,1,52,1935421,0,0
1,28,52834,182,1,0,50840,0,0
0,124,28514,107,0,103,26043,1,0
0,124,1138,4,0,106,2,3,0
1,104,62927,147,1,24,60651,0,1
1,136,16106,72,1,96,14127,0,0
0,124,7548,53,0,91,5362,1,0
0,53,828692,193,0,47,827244,1,1
0,22,711734,31,0,23,710958,2,0
0,31,482055,110,0,10,479794,1,0
1,94,89110,206,1,16,86993,0,1
0,46,71096,136,0,40,68619,1,1
0,93,798,163,0,77,1,3,1
0,111,2326647,16,0,52,2325364,3,0
0,125,9859,207,0,80,7598,1,1
0,81,120751,185,0,3,119534,3,1
1,135,70436,209,1,122,69252,0,1
1,89,7125,108,1,103,5011,0,0
0,59,1699,84,0,8,101,3,1
0,117,1333,15,0,63,3,2,0
1,134,468090,39,1,2,465892,0,0
1,77,811009,210,1,32,808763,0,0
1,42,619207,202,1,9,617003,0,0
0,41,194620,123,0,53,192110,1,0
0,37,52112,102,0,43,49749,1,1
0,62,14957,63,0,74,12933,1,0
1,86,1621,64,1,94,2,0,1
1,112,813661,180,1,37,811541,0,0
0,85,560608,179,0,16,558551,1,0
1,19,961848,150,1,36,959689,0,0
0,70,915393,61,0,33,914149,2,0
0,1,47037,176,0,118,44773,1,1
0,137,50074,189,0,3,47909,1,1
0,122,487691,30,0,18,485538,1,0
0,124,7225,104,0,101,4853,1,0
0,13,669010,130,0,16,666635,1,0
0,15,2335,169,0,12,101,3,1
0,76,2976,161,0,76,781,1,0
0,136,1159648,141,0,41,1157084,1,0
0,67,140815,228,0,11,140096,2,1
0,61,3637,160,0,33,1680,2,1
0,124,17152,134,0,109,14774,1,1
1,17,3774,17,1,64,1570,0,0
1,32,8253,101,1,41,6340,0,1
0,43,477141,197,0,7,476586,2,0
0,124,4334,93,0,98,1968,1,1
1,12,20192,201,1,29,18165,0,1
1,49,636865,78,1,20,634829,0,0
0,2,391932,7,0,57,389746,1,1
0,8,1152,13,0,60,1,3,0
1,94,122003,229,1,11,119982,0,1
0,110,6765,192,0,79,4204,1,1
0,113,6868,183,0,119,4559,1,1
0,124,3468,69,0,95,1171,1,0
0,28,2352753,128,0,52,2351474,2,0
0,44,85349,65,0,4,84366,2,1
0,141,303473,215,0,12,301437,3,1
0,14,49973,25,0,23,48072,2,1
0,124,6110,98,0,100,3849,1,0
1,44,9061,54,1,72,6806,0,1
0,124,6479,133,0,108,5838,2,1
0,35,369971,59,0,54,367785,1,0
1,73,19107,103,1,43,16912,0,1
0,63,316113,226,0,11,313945,1,1
0,50,5333,20,0,65,3093,1,1
0,132,4679,112,0,39,2307,1,1
0,16,2152465,190,0,51,2150273,1,0
0,33,1347,22,0,67,4,3,0
0,124,3770,49,0,88,732,2,1
0,83,23314,236,0,2,21104,1,0
0,6,763294,174,0,26,761027,1,0
1,82,411395,36,1,13,410220,0,0
1,133,51771,234,1,35,49540,0,1
1,127,469090,33,1,1,466913,0,0
0,129,909502,73,0,34,907241,1,0
0,84,68193,145,0,25,66007,1,1
0,105,315631,214,0,12,313523,1,1
1,65,10067,27,1,44,8418,0,1
1,43,609383,77,1,20,607077,0,0
0,3,351915,199,0,56,350539,2,1
0,107,400277,26,0,10,398004,1,0
0,27,702444,211,0,22,701878,3,0
1,29,369509,60,1,13,367296,0,1
0,78,3147,42,0,83,535,1,1
0,43,526037,38,0,3,525222,3,0
0,27,57522,124,0,22,55348,1,1
1,16,1375691,118,1,44,1373202,0,0
0,117,19404,198,0,121,17227,1,0
0,123,66424,233,0,35,64094,1,1
0,68,6576,164,0,117,4354,1,1
0,124,4947,45,0,85,2638,1,0
1,0,399311,89,1,14,397290,0,0
0,47,646569,181,0,12,644707,2,0
0,50,20107,67,0,49,17801,1,1
0,71,2123600,85,0,51,2121408,1,0
0,18,2949,221,0,123,565,1,0
1,30,654471,74,1,51,652312,0,1
1,23,828777,106,1,46,827212,0,1
0,85,27070,138,0,16,24536,1,1
0,105,311650,213,0,12,309482,1,1
0,109,16283,184,0,78,15441,2,1
0,124,5683,55,0,92,3845,3,0
1,26,477984,148,1,5,475453,0,0
0,40,1178466,114,0,42,1176085,1,0
1,118,22657,143,1,112,20729,0,0
1,103,60946,144,1,52,58898,0,1
1,116,34512,88,1,97,32440,0,1
1,38,1028709,166,1,39,1026565,0,0
1,40,224206,200,1,34,222371,0,1
0,28,92121,137,0,40,90979,1,1
1,21,731499,32,1,23,729406,0,0
0,124,7491,125,0,22,5182,1,1
0,55,1036,14,0,62,2,3,1
0,48,14203,56,0,32,11819,1,1
0,79,1475,1,0,124,3,3,0
0,74,471716,219,0,5,470270,2,0
1,30,1909430,127,1,51,1907460,0,1
1,64,669243,186,1,18,667156,0,0
