Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,347,22,3,56,1159709,0
1,0,18293,404,404,95,3,156,17649,0
0,0,7200,135,135,45,4,24,6637,0
0,0,55025,359,359,83,4,100,54438,0
0,0,1464254,88,88,28,4,96,1463646,0
0,0,494817,204,204,23,4,14,494134,1
0,0,2016292,329,329,27,4,62,2015537,0
0,0,9057,388,388,90,4,90,8128,0
0,0,4555,132,132,64,4,130,3962,0
0,0,683253,98,98,28,4,58,682675,0
1,0,844685,368,368,22,3,112,844098,0
1,0,112468,401,401,94,1,37,111971,0
0,0,4870,340,340,78,4,139,4217,0
0,0,2682,265,265,76,4,130,1954,0
0,0,163066,8,8,8,4,142,162521,1
0,0,1955674,332,332,28,4,160,1955171,0
0,0,756041,99,99,28,4,96,755460,1
0,0,1368555,309,309,28,4,75,1367977,1
0,0,1487064,92,92,28,4,28,1486369,1
0,0,36247,72,72,15,4,63,35642,1
0,0,265007,259,259,23,4,5,264339,0
0,0,120884,34,34,14,2,106,120498,0
0,0,1921473,108,108,28,4,58,1920904,1
0,0,458814,352,352,17,4,99,458125,0
0,0,308712,370,370,16,4,26,308044,0
0,0,548591,227,227,19,2,41,548190,0
0,0,1604078,116,116,28,4,75,1603452,0
0,0,85370,61,61,58,4,76,84681,0
0,0,17407,262,262,74,4,42,16820,0
0,0,1033564,299,299,18,4,167,1032920,0
1,0,1738968,27,27,27,3,41,1738420,0
0,0,6677,379,379,86,4,89,6162,1
0,0,278070,223,223,3,4,157,277438,1
0,0,1731530,336,336,28,4,58,1730895,0
0,0,477620,207,207,6,4,112,476973,0
0,0,567879,381,381,20,2,88,567310,0
0,0,10321,126,126,61,4,42,9749,0
0,0,1686468,112,112,28,4,96,1685914,0
0,0,7629,231,231,70,4,42,6979,0
0,0,1645,356,356,83,4,104,1004,0
0,0,376974,55,55,3,4,150,376393,1
1,0,807869,24,24,27,3,117,807330,1
0,0,426818,138,138,4,4,128,426186,1
0,0,39701,52,52,57,4,42,39237,1
0,0,307213,260,260,23,4,14,306524,0
0,0,782,46,46,54,4,126,129,1
0,0,1132814,317,317,28,4,58,1132212,1
0,0,30799,73,73,15,4,67,30158,1
0,0,159847,67,67,14,4,98,159101,1
0,0,717564,271,271,27,4,122,716974,1
0,0,1637787,114,114,28,4,58,1637185,1
0,0,487905,171,171,3,4,150,487330,0
1,0,356421,430,430,13,3,137,355831,1
0,0,1932015,107,107,28,4,96,1931470,0
0,0,2027,39,39,52,4,71,1341,0
0,0,1743790,335,335,28,4,58,1743146,0
0,0,515441,208,208,6,4,65,514617,0
0,0,1118634,319,319,28,4,152,1117975,1
1,0,347837,17,17,3,3,9,347313,0
0,0,250738,323,323,3,4,157,250097,0
0,0,1579,3,3,34,4,166,1004,1
0,0,570400,76,76,7,4,114,569783,0
0,0,552848,146,146,22,4,163,552180,1
0,0,52129,266,266,76,4,130,51491,0
1,0,19103,380,380,86,3,31,18480,1
0,0,4829,258,258,73,4,38,4128,0
0,0,599763,234,234,10,4,6,598996,1
0,0,430625,12,12,16,4,133,430509,0
0,0,1148872,410,410,27,4,34,1148204,0
0,0,339516,226,226,3,4,82,338926,0
0,0,1581481,216,216,26,4,84,1580900,1
0,0,1081012,406,406,27,4,169,1080440,1
0,0,15668,344,344,79,4,20,15015,0
0,0,6518,304,304,1,4,150,5874,1
0,0,26110,306,306,14,4,31,25487,1
