Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,7,51,1,0
0,0,30308,54,6,2,27168,1
1,0,81368,21,2,22,80808,1
0,0,763,10,1,52,5,0
0,0,703218,19,8,36,701626,0
1,0,5286,83,2,75,4336,1
1,0,93861,101,2,32,92599,1
0,0,716461,50,6,38,713525,0
0,0,581462,112,5,4,578019,0
0,0,212280,148,8,10,211864,0
1,0,38881,133,2,86,36347,0
0,0,297517,82,6,14,294389,0
0,0,83014,122,8,22,81473,1
0,0,720,141,8,92,1,1
0,0,666404,22,8,24,665952,0
1,0,30302,0,2,31,29316,1
1,0,5807,131,2,26,3882,1
1,0,118859,99,2,9,115842,1
0,0,9728,43,6,67,6585,0
0,0,12029,48,8,69,11478,0
0,0,315827,126,6,15,312663,0
1,0,4234,79,2,73,3116,1
1,0,99546,110,2,12,97369,0
1,0,32123,60,2,10,29739,1
1,0,929052,124,2,31,925927,0
0,0,4123,91,5,76,1628,1
0,0,116617,57,6,13,113450,0
1,0,8113,66,2,70,5945,0
0,0,4229,138,6,89,1371,1
0,0,33235,7,8,9,30782,1
0,0,1206,16,8,53,1,0
1,0,789292,98,2,29,788021,0
1,0,53098,127,2,34,49949,1
1,0,99066,113,2,1,97825,1
0,0,318588,153,6,14,315535,0
0,0,1289,11,8,49,3,0
0,0,546,143,8,94,1,1
1,0,383983,5,2,46,383429,1
1,0,213521,149,2,10,212382,0
1,0,57661,45,2,41,55166,1
1,0,74545,151,2,8,72053,1
1,0,8781,28,2,59,5653,0
0,0,599,1,7,58,3,0
0,0,81855,146,6,10,78709,1
1,0,341238,29,2,4,338959,1
0,0,227216,80,8,43,225387,0
1,0,5181,105,2,79,4192,0
1,0,99079,55,2,2,97820,1
0,0,35758,6,7,9,35156,1
1,0,46653,89,2,38,44743,1
0,0,521345,25,6,1,518232,0
0,1,54155,59,6,10,50976,1
1,0,96937,121,2,30,96035,1
0,0,1771,20,8,55,5,0
0,0,9252,128,8,85,7177,0
0,0,1005,18,8,54,1,1
1,0,573456,49,2,3,572590,0
0,0,632799,52,6,19,629461,0
1,0,1017672,51,2,34,1015075,0
0,0,1291,14,8,56,11,1
0,0,55385,130,6,0,52233,1
1,0,6751,106,2,79,5450,0
1,0,3425,119,2,84,855,1
0,0,68231,100,6,23,65097,1
0,0,750258,9,7,38,748432,0
1,0,201286,39,2,21,199007,1
0,0,307836,152,8,14,304756,0
0,0,13944,64,5,44,11467,1
0,0,43791,73,6,9,40663,1
1,0,100486,56,2,13,98009,0
0,0,1126783,132,5,39,1124243,1
