Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,141,1,111,10807,1
0,0,6110,99,1,99,3849,0
1,0,457048,89,0,9,454787,0
0,0,478833,231,1,6,476677,0
0,0,16869,150,1,114,14662,0
1,0,552888,219,0,15,550654,0
0,0,835809,96,1,28,833647,0
0,0,3770,49,2,87,732,1
1,0,1069200,209,0,45,1067095,0
1,0,9061,54,0,72,6806,1
0,0,2776,153,1,115,509,0
1,0,76342,178,0,33,73994,1
1,0,1167843,143,0,41,1165567,0
0,0,3747,24,1,70,1363,1
0,1,692573,68,1,19,690150,0
0,0,27924,7,3,17,26149,1
0,0,754574,174,1,26,752403,0
1,0,1157625,116,0,42,1155433,0
1,0,12933,112,0,39,10912,1
1,0,96434,222,0,5,94266,1
1,0,45480,196,0,120,43330,1
0,0,604953,79,1,20,602554,0
1,0,5633,13,0,60,4134,0
1,0,763015,82,0,37,760970,0
0,0,4215,70,1,19,1969,1
0,0,480713,37,1,4,478230,0
1,0,114439,9,0,3,112868,1
0,0,14957,63,1,74,12933,0
1,0,61722,221,0,51,61057,1
0,0,45278,100,1,18,42840,0
1,0,50723,120,0,104,48507,1
1,0,562476,172,0,10,560179,0
0,0,56175,84,1,5,53914,1
1,0,1621,64,0,93,2,1
0,0,1009290,44,1,38,1006993,0
0,0,11646,123,1,105,9286,1
0,0,487264,94,1,17,485114,0
0,0,47037,176,1,118,44773,1
0,0,371476,171,1,18,369323,0
0,0,477337,11,3,9,476408,0
0,0,1835184,66,1,46,1832923,0
1,0,53359,114,0,39,52601,1
0,0,1062,3,3,69,1,0
1,0,441740,92,0,29,439797,1
1,0,81519,12,0,5,79698,1
0,0,71686,213,1,49,69566,1
0,0,707127,47,1,23,704929,0
0,0,65232,218,1,50,62692,1
1,0,777368,224,0,31,775140,0
0,0,3230,127,1,22,921,1
0,0,2056,48,3,86,2,1
0,0,4947,45,1,84,2638,0
1,0,372955,230,0,29,370655,1
0,0,2326647,17,3,52,2325364,0
1,0,11060,140,0,31,8994,1
0,0,4184,235,1,35,1923,1
0,0,59089,40,1,55,56687,1
1,0,113111,166,0,15,111105,1
0,0,79561,117,1,55,77369,1
1,0,1189025,189,0,50,1186812,0
1,0,805063,179,0,38,803291,0
1,0,1835456,205,0,47,1833030,0
0,0,4516,52,3,89,3179,1
0,0,611448,110,2,10,610807,0
0,0,5046,158,1,116,2860,1
1,0,1204656,197,0,44,1202680,0
0,0,4025,164,1,16,1761,1
0,0,2650,25,1,34,386,1
1,0,689616,81,0,52,687517,0
1,0,335828,154,0,29,333633,1
1,0,480279,204,0,44,478171,0
1,0,7012,6,0,31,5501,1
1,0,2096,144,0,112,747,1
0,0,1138,5,3,106,2,0
1,0,1116077,151,0,40,1113876,0
0,0,76316,29,1,50,74154,1
1,0,496899,101,0,1,495853,0
0,0,15153,206,1,30,12949,1
0,0,1027491,75,1,37,1024990,0
1,0,170211,122,0,48,168412,1
1,0,799420,225,0,31,796943,0
0,0,391932,8,1,57,389746,1
0,0,3932,161,1,117,1401,0
0,0,914046,62,3,33,913312,0
0,0,244454,157,2,19,243822,0
0,0,394758,20,2,9,393970,0
0,0,574603,169,1,21,572120,0
1,0,4883,41,0,81,2628,1
1,0,252998,130,0,28,250869,0
0,0,2976,163,1,76,781,0
1,0,92964,93,0,41,90784,1
0,0,7454,51,1,88,5259,1
1,0,470842,188,0,51,468923,0
0,0,2907,35,1,71,667,0
0,0,4593,1,1,17,2230,1
0,0,1705791,88,1,52,1703299,1
1,0,598394,168,0,21,596190,0
0,0,2152,10,1,59,38,0
0,0,507624,191,1,3,505363,0
1,0,459000,173,0,10,456733,0
1,0,123424,232,0,8,121439,0
0,0,53099,223,1,38,50910,1
0,0,3147,42,1,82,535,1
0,0,7548,53,1,90,5362,0
0,0,11573,108,1,102,9210,0
0,0,81116,4,2,13,80040,1
0,0,703891,71,2,23,701787,0
0,0,351915,200,2,56,350539,1
0,0,6111,23,2,67,4843,1
1,0,299939,227,0,11,297915,1
0,0,115059,159,1,22,112891,1
0,0,1036,15,3,62,2,1
0,0,28523,80,1,37,26538,1
1,0,547726,133,0,7,545198,0
0,0,19404,199,1,121,17227,0
0,0,1039862,76,1,37,1037046,0
0,0,2191081,87,1,52,2188577,1
1,0,52834,183,0,0,50840,0
1,0,13918,121,0,104,11750,1
1,0,18062,132,0,107,16122,1
1,0,62927,148,0,24,60651,1
1,0,34512,90,0,96,32440,1
0,0,5683,55,3,91,3845,0
0,0,828692,194,1,47,827244,1
0,0,711734,31,2,23,710958,0
0,0,482055,111,1,10,479794,0
1,0,89110,207,0,16,86993,1
0,0,71096,137,1,40,68619,1
0,0,7735,185,1,78,5258,1
0,0,2352753,129,2,52,2351474,0
1,0,5117,217,0,80,2943,0
0,0,120751,186,3,3,119534,1
