Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,0,38827,224,25,35924
0,0,4679,182,133,1893
1,0,9869,52,58,8244
0,0,825842,310,40,823350
0,0,502030,129,0,499289
1,0,79193,76,3,76656
0,0,2449,0,151,11
1,0,7010,291,147,4233
1,0,66235,246,41,64469
1,0,21822,317,13,18838
1,0,104384,70,65,101526
1,0,77950,17,24,74987
1,0,510295,140,27,507728
0,0,847503,311,40,845194
0,0,6673,231,138,3815
1,0,181574,314,30,180063
0,0,625252,227,28,622190
1,0,981807,277,52,979324
1,0,16715,185,46,14439
1,0,2940,211,135,73
0,0,8383,218,136,7271
0,0,2351295,263,58,2348338
0,0,13435,271,143,10745
1,0,86361,187,15,83876
0,0,225780,77,27,223900
0,0,578138,98,27,576360
0,0,504140,267,2,500865
0,0,636457,212,13,635763
0,0,847195,162,35,845501
0,0,492362,26,1,490971
0,0,236472,222,3,233641
0,0,779582,202,31,776703
0,0,7188,123,120,4384
1,0,8831,109,118,6234
0,0,650247,100,27,648161
0,0,984,304,150,31
1,0,1094,22,74,159
0,0,24358,272,143,21590
1,0,1225,51,78,1
0,0,628999,142,12,626735
1,0,13990,114,16,11384
1,0,14595,64,67,12280
1,0,3158,253,92,408
0,0,2327020,262,58,2324351
0,0,9939,55,101,8926
1,0,65081,82,25,62292
1,0,9052,245,141,7148
0,2,805554,313,40,804478
0,0,782600,203,31,781197
0,0,3790,209,88,806
0,0,1573917,165,58,1571158
0,0,1995400,173,56,1993454
0,0,794113,241,33,793295
1,0,644271,96,58,641242
1,0,56433,247,41,54619
0,0,654938,251,27,652152
0,0,1032018,48,44,1029001
0,0,1140600,195,46,1138639
0,0,411506,57,33,408474
1,0,924785,235,57,922281
0,0,1204,125,86,2
1,0,8397,15,9,5578
0,0,764760,201,31,762982
1,0,976,20,73,2
1,0,587182,273,37,584897
0,0,3258,39,76,436
1,0,6116,56,102,4224
0,0,606712,236,12,603989
1,0,21218,240,26,18921
1,0,2501,81,38,102
1,0,7457,213,41,4911
0,0,490870,44,1,489493
0,0,4073,5,69,1218
1,0,110366,248,64,107442
1,0,22430,43,34,19944
1,0,15107,261,2,12237
1,0,41742,307,44,39727
0,0,663320,257,24,660522
1,0,58458,113,16,55432
0,0,486237,23,47,483109
0,0,353345,137,58,350952
1,0,16574,221,137,14088
0,0,3713,283,96,2106
1,0,44770,24,50,42977
0,0,3597,233,139,1834
0,0,5794,134,122,3014
0,1,655728,167,18,653962
1,0,33262,308,44,31331
0,0,791878,120,37,790079
0,0,760085,242,33,757590
0,0,1852491,172,54,1847980
0,0,130785,103,20,128263
1,0,122539,189,14,120197
0,0,594892,225,28,591674
0,0,571445,197,21,567813
0,0,690966,178,32,687994
0,0,9553,112,84,7784
0,0,582823,21,21,581135
1,0,67475,296,56,65139
1,0,25743,229,14,24748
1,0,71114,194,4,69705
0,0,103187,323,9,101616
0,0,702008,179,32,700188
0,0,585311,226,28,582390
0,0,2325261,41,59,2323705
1,0,491613,132,41,488857
1,0,12191,230,14,9909
1,0,1182,90,114,1
1,0,59561,139,50,57681
1,0,4036,62,67,1289
0,0,9360,254,93,6577
0,0,1434052,153,52,1432280
1,0,29749,160,29,26915
0,0,430057,184,33,427406
0,0,14455,88,112,11690
1,0,30562,278,18,28739
0,0,4524,239,140,2574
1,0,4216,131,47,1460
0,0,19758,183,134,17038
1,0,47207,79,111,45534
1,0,36437,101,116,35517
1,0,5595,67,106,2761
0,0,912033,71,41,909235
0,0,2693,280,95,396
1,0,30617,148,66,28410
1,0,75311,149,65,73533
0,0,11733,72,81,9154
0,0,706189,14,29,704129
0,0,120500,322,9,118605
1,0,26060,258,2,23298
0,0,201879,299,61,200095
1,0,8589,28,42,6541
0,0,1385359,152,52,1383590
0,0,688837,86,26,685982
1,0,54516,92,41,53479
1,0,1443,19,71,1
0,0,201254,157,60,198909
0,0,670094,36,59,667467
0,0,628364,99,27,625434
0,0,3779,181,132,1517
1,0,61849,45,65,60071
0,0,4799,270,143,2103
0,0,7313,234,139,4734
1,0,19476,158,127,17815
0,0,7957,141,125,5381
0,0,829858,118,37,827087
0,0,2071578,163,58,2068987
0,0,411543,243,31,408877
0,0,848494,161,35,847454
1,0,8756,144,45,5919
1,0,169188,306,44,166855
0,0,16396,294,148,13598
0,0,492103,128,0,489575
1,0,14953,302,53,12005
0,0,427483,287,46,425420
0,0,570499,250,27,567725
1,0,3857,102,117,1095
1,0,68621,190,57,67503
0,0,245943,60,4,244298
1,0,556405,238,28,554000
0,0,9141,219,136,8410
0,0,873816,170,52,871123
0,0,14712,220,90,11650
0,0,2350211,166,59,2347587
1,0,11256,252,91,8914
0,0,7825,89,113,5795
0,0,1137976,135,57,1133828
1,0,96498,207,29,94816
1,0,83774,186,15,82602
0,0,1981,297,98,2
0,0,483389,320,5,481422
1,0,85945,309,16,83153
0,0,21702,58,103,18811
1,0,22871,4,25,21810
1,0,5339,50,100,2904
0,0,728090,35,30,725151
1,0,1739,12,72,3
0,0,258722,217,9,256827
1,0,10587,180,131,8119
1,0,145152,315,13,142906
0,0,572075,300,17,569139
0,0,2028848,177,56,2027736
1,0,33122,281,42,30594
0,0,690828,274,37,688522
1,0,45706,259,2,43370
0,0,588116,3,8,586977
1,0,4613,116,5,1626
1,0,12865,289,39,9965
1,0,4342,80,32,1385
0,0,15683,255,94,12888
0,0,367390,215,62,364778
1,0,25602,133,51,22921
0,0,563158,321,21,560651
0,0,467624,169,11,464685
0,0,2010044,11,56,2009265
0,0,4567,54,79,1604
0,0,24449,111,84,21516
1,0,33240,53,41,30436
1,0,197559,192,9,195199
1,0,955,154,87,2
0,0,447897,285,46,446350
1,0,36839,205,65,34572
1,0,1721524,40,58,1718519
1,0,21022,61,104,18272
0,0,517997,130,0,514713
0,0,1984663,164,58,1981777
1,0,4543,136,123,1706
0,0,16034,124,24,13233
1,0,1133115,269,52,1130755
1,0,1973,1,153,3
0,0,1174681,74,48,1172813
1,0,3158,6,40,342
0,0,648458,159,22,645735
1,0,28068,63,67,25282
0,0,1171911,146,49,1168945
1,0,2772,318,13,301
0,0,265804,200,10,263906
0,0,496864,168,6,494066
0,0,1626838,106,59,1624217
1,0,29971,143,45,27197
1,0,5025,156,126,2677
0,0,474181,191,4,471830
1,0,20670,138,124,18052
0,0,1430611,97,52,1429409
0,0,2149200,264,58,2146741
1,0,3014,93,66,228
0,0,750304,208,37,747923
1,0,10460,75,110,8049
0,0,754760,204,31,752910
1,0,6217,319,13,3602
0,0,396132,244,31,393928
1,0,128705,206,29,127131
0,0,496021,25,1,493463
1,0,56619,316,13,53854
1,0,4421,30,75,3684
1,0,117865,210,2,115973
1,0,6529,155,36,4547
1,0,174847,193,9,172793
1,0,8963,175,130,6399
0,0,6840,284,145,3826
0,0,1175229,145,49,1172704
0,0,388046,37,63,385203
0,0,7278,94,115,4399
1,0,22938,84,56,21226
0,0,1130391,196,46,1127446
1,0,11829,31,48,8980
1,0,4777,18,70,2027
1,0,7112,282,144,4374
0,0,1008775,188,58,1006142
1,0,7245,290,146,4687
1,0,12451,174,129,9695
0,0,2274,49,77,1
1,0,1767155,266,59,1764399
0,0,905310,38,45,902803
0,0,729858,199,37,727477
0,0,214887,305,9,212992
1,0,34372,2,50,33320
1,0,38223,29,43,36197
1,0,18751,108,83,16475
0,0,2120212,104,58,2117660
1,0,3783,83,25,1453
0,0,596370,276,11,593812
1,0,19819,121,0,16985
0,0,392186,223,11,389424
1,0,36463,115,16,33455
0,0,439193,286,46,435576
0,0,598524,91,7,596251
1,0,17724,293,59,14986
0,0,107280,47,19,104554
0,0,2892,66,105,97
0,0,478312,10,11,477440
0,0,46833,73,109,44356
1,0,342240,151,59,339421
0,0,2020967,176,56,2018517
1,0,68416,260,2,66416
0,0,4460,126,86,2295
0,0,553364,249,18,550602
0,0,2360044,13,59,2358530
0,0,851849,119,37,849015
1,0,3538,292,97,857
0,0,12394,303,149,9605
0,0,748745,34,30,745776
1,0,14564,59,80,12819
1,0,39476,268,142,36720
0,0,13956,214,89,10954
1,0,58311,298,57,56848
0,0,645301,275,11,642806
1,0,5678,127,121,4257
0,0,458839,16,11,457553
0,0,811998,312,40,810235
1,0,26744,325,43,24147
0,0,968,8,152,3
0,0,905988,95,42,903148
1,0,9121,288,39,6152
0,0,582104,237,12,579438
1,0,79885,228,11,77750
1,0,2982,69,108,445
0,0,169312,65,55,166550
1,0,1113039,295,58,1110685
0,0,531490,32,3,528650
0,0,4734,122,85,2191
0,0,710712,198,37,708220
0,0,351197,216,62,348939
1,0,56555,324,43,54387
0,0,18183,232,138,15433
1,0,31215,301,68,30121
1,0,15577,68,107,12521
0,0,2028531,265,58,2025571
0,0,27589,107,82,25172
1,0,4119,42,34,967
1,0,27235,147,30,24623
0,0,783456,78,34,780772
1,0,11142,110,119,8839
1,0,242630,117,23,239769
1,0,10610,171,128,8169
1,0,106204,279,18,104012
0,0,16963,46,99,14936
1,0,9934,85,49,6965
0,0,577397,7,28,576201
0,0,1820,9,154,189
0,0,485801,33,3,483723
1,3,11541,326,43,8509
0,0,619021,150,14,617285
1,0,13820,27,25,12766
1,0,2194888,105,59,2192474
0,0,10910,87,112,8910
0,0,639965,256,24,637563
