Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,0,1037760,369,22,1037092
0,0,18293,404,95,17649
0,0,7200,136,45,6637
0,0,55025,359,83,54438
0,0,1464254,88,28,1463646
1,0,487260,204,23,486679
0,0,2016292,330,27,2015537
0,0,9057,388,90,8128
0,0,4555,133,64,3962
0,0,683253,98,28,682675
1,0,807166,154,22,806492
0,0,112468,401,94,111971
0,0,4870,341,78,4217
0,0,2682,267,76,1954
1,0,163066,8,8,162521
0,0,1955674,333,28,1955171
1,0,756041,99,28,755460
1,0,1368555,311,28,1367977
1,0,1487064,92,28,1486369
1,0,36247,72,15,35642
0,0,1187163,347,22,1186465
0,0,120884,34,14,120498
1,0,1921473,108,28,1920904
0,0,438865,352,17,438233
0,0,308712,370,16,308044
0,0,1033564,301,18,1032920
0,0,1604078,116,28,1603452
0,0,85370,61,58,84681
0,0,17407,264,74,16820
0,0,497483,126,17,496893
0,0,1738968,27,27,1738420
1,0,6677,379,86,6162
1,0,278070,225,3,277438
0,0,1731530,337,28,1730895
0,0,477620,209,6,476973
0,0,565167,382,20,564760
0,0,10321,127,61,9749
0,0,1686468,112,28,1685914
0,0,7629,233,70,6979
0,0,1645,356,83,1004
1,0,376974,55,3,376393
1,0,807869,24,27,807330
1,0,426818,139,4,426186
1,0,39701,52,57,39237
0,0,265007,262,23,264339
1,0,782,46,54,129
1,0,1132814,319,28,1132212
1,0,30799,73,15,30158
1,0,159847,67,14,159101
1,0,717564,273,27,716974
1,0,1637787,114,28,1637185
0,0,487905,171,3,487330
1,0,356421,430,13,355831
0,0,1932015,107,28,1931470
0,0,2027,39,52,1341
0,0,1743790,336,28,1743146
0,0,515441,210,6,514617
1,0,1118634,321,28,1117975
0,0,347837,17,3,347313
0,0,250738,325,3,250097
1,0,1579,3,34,1004
0,0,570400,76,7,569783
0,0,544317,148,22,543658
0,0,52129,268,76,51491
1,0,19103,380,86,18480
0,0,4829,261,73,4128
1,0,599763,236,10,598996
0,0,430625,12,16,430509
0,0,1148872,410,27,1148204
0,0,339516,228,3,338926
1,0,1581481,218,26,1580900
1,0,1081012,406,27,1080440
0,0,15668,345,79,15015
1,0,6518,306,1,5874
1,0,26110,308,14,25487
1,0,504309,428,4,503911
