Strand_Orientation,Gene_Description,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,0,1,1159709,56,22,3,347,1160395
0,0,1,17649,156,95,3,404,18293
0,0,0,6637,24,45,4,135,7200
0,0,0,54438,100,83,4,359,55025
0,0,0,1463646,96,28,4,89,1464254
1,0,0,494134,14,23,4,204,494817
0,0,0,2015537,62,27,4,329,2016292
0,0,0,8128,90,90,4,388,9057
0,0,0,3962,130,64,4,133,4555
0,0,0,682675,58,28,4,99,683253
0,0,1,844098,112,22,3,368,844685
0,0,1,111971,37,94,1,401,112468
0,0,0,4217,139,78,4,340,4870
0,0,0,1954,130,76,4,265,2682
1,0,0,162521,142,8,4,8,163066
0,0,0,1955171,160,28,4,332,1955674
1,0,0,755460,96,28,4,100,756041
1,0,0,1367977,75,28,4,309,1368555
1,0,0,1486369,28,28,4,93,1487064
1,0,0,35642,63,15,4,73,36247
0,0,0,264339,5,23,4,259,265007
0,0,0,120498,106,14,2,35,120884
1,0,0,1920904,58,28,4,109,1921473
0,0,0,458125,99,17,4,352,458814
0,0,0,308044,26,16,4,370,308712
0,0,0,548190,41,19,2,227,548591
0,0,0,1603452,75,28,4,117,1604078
0,0,0,84681,76,58,4,62,85370
0,0,0,16820,42,74,4,262,17407
0,0,0,1032920,167,18,4,299,1033564
0,0,1,1738420,41,27,3,28,1738968
1,0,0,6162,89,86,4,379,6677
1,0,0,277438,157,3,4,223,278070
0,0,0,1730895,58,28,4,336,1731530
0,0,0,476973,112,6,4,207,477620
0,0,0,567310,88,20,2,381,567879
0,0,0,9749,42,61,4,127,10321
0,0,0,1685914,96,28,4,113,1686468
0,0,0,6979,42,70,4,231,7629
0,0,0,1004,104,83,4,356,1645
1,0,0,376393,150,3,4,56,376974
1,0,1,807330,117,27,3,25,807869
1,0,0,426186,128,4,4,138,426818
1,0,0,39237,42,57,4,53,39701
0,0,0,306524,14,23,4,260,307213
1,0,0,129,126,54,4,47,782
1,0,0,1132212,58,28,4,317,1132814
1,0,0,30158,67,15,4,74,30799
1,0,0,159101,98,14,4,68,159847
1,0,0,716974,122,27,4,271,717564
1,0,0,1637185,58,28,4,115,1637787
0,0,0,487330,150,3,4,171,487905
1,0,1,355831,137,13,3,430,356421
0,0,0,1931470,96,28,4,108,1932015
0,0,0,1341,71,52,4,40,2027
0,0,0,1743146,58,28,4,335,1743790
0,0,0,514617,65,6,4,208,515441
1,0,0,1117975,152,28,4,319,1118634
0,0,1,347313,9,3,3,18,347837
0,0,0,250097,157,3,4,323,250738
1,0,0,1004,166,34,4,3,1579
0,0,0,569783,114,7,4,77,570400
1,0,0,552180,163,22,4,146,552848
0,0,0,51491,130,76,4,266,52129
1,0,1,18480,31,86,3,380,19103
0,0,0,4128,38,73,4,258,4829
1,0,0,598996,6,10,4,234,599763
0,0,0,435816,26,16,4,12,436400
0,0,0,1148204,34,27,4,410,1148872
0,0,0,338926,82,3,4,226,339516
1,0,0,1580900,84,26,4,216,1581481
1,0,0,1080440,169,27,4,406,1081012
0,0,0,15015,20,79,4,344,15668
1,0,0,5874,150,1,4,304,6518
1,0,0,25487,31,14,4,306,26110
1,0,1,503911,145,4,3,428,504309
1,0,0,668282,77,22,4,150,668902
0,0,0,1994529,149,27,4,218,1995197
0,0,0,216122,143,3,4,322,216763
1,0,1,587969,108,4,3,158,588625
0,0,0,415541,64,31,4,383,416038
1,0,1,462885,79,0,3,102,463493
1,0,0,13402,153,92,4,394,14001
0,0,1,384969,56,22,3,21,385637
1,0,0,601643,92,6,4,320,602338
1,0,0,1489,87,91,2,389,1845
0,0,0,314181,25,12,4,124,314714
0,0,0,1472456,27,28,4,88,1473130
1,0,0,1133424,48,27,4,408,1134002
0,0,0,444042,110,3,4,32,444695
0,0,0,41594,149,88,4,386,42175
0,0,0,8539,42,62,4,129,9261
0,0,0,382086,157,3,4,58,382637
1,0,0,34388,120,1,4,303,35038
0,0,0,415509,23,16,4,249,416102
1,0,1,12661,105,81,3,349,13194
1,0,0,640880,55,11,4,84,641578
1,0,0,319437,97,4,4,423,320021
0,0,0,69732,158,15,4,300,70385
