Strand_Orientation,Gene_Description,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,0,1,1159709,55,22,3,347,1160395
0,0,1,17649,155,95,3,404,18293
0,0,0,6637,24,45,4,134,7200
0,0,0,54438,99,83,4,359,55025
0,0,0,1463646,95,28,4,88,1464254
1,0,0,494134,14,23,4,202,494817
0,0,0,2015537,62,27,4,329,2016292
0,0,0,8128,90,90,4,388,9057
0,0,0,3962,129,64,4,132,4555
0,0,0,682675,57,28,4,98,683253
0,0,1,844098,111,22,3,368,844685
0,0,1,111971,37,94,1,401,112468
0,0,0,4217,138,78,4,340,4870
0,0,0,1954,129,76,4,263,2682
1,0,0,162521,141,8,4,7,163066
0,0,0,1955171,159,28,4,332,1955674
1,0,0,755460,95,28,4,99,756041
1,0,0,1367977,75,28,4,309,1368555
1,0,0,1486369,28,28,4,92,1487064
1,0,1,43754,120,15,3,300,44362
0,0,0,264339,5,23,4,257,265007
0,0,0,128075,7,14,2,416,128464
1,0,0,1920904,57,28,4,108,1921473
0,0,0,458125,98,17,4,352,458814
0,0,0,316059,46,16,4,371,316703
0,0,0,548190,41,19,2,225,548591
0,0,0,1603452,75,28,4,116,1604078
0,0,0,84681,76,58,4,61,85370
0,0,0,16820,43,74,4,260,17407
0,0,0,1032920,166,18,4,297,1033564
0,0,1,1738420,41,27,3,27,1738968
1,0,0,6162,89,86,4,379,6677
1,0,0,277438,156,3,4,221,278070
0,0,0,1730895,57,28,4,336,1731530
0,0,0,476973,111,6,4,205,477620
0,0,0,567310,88,20,2,381,567879
0,0,0,9749,43,61,4,126,10321
0,0,0,1685914,95,28,4,112,1686468
0,0,0,6979,43,70,4,229,7629
0,0,0,1004,103,83,4,356,1645
1,0,0,376393,149,3,4,55,376974
1,0,1,807330,116,27,3,24,807869
1,0,0,426186,127,4,4,136,426818
1,0,0,39237,43,57,4,52,39701
0,0,0,306524,14,23,4,258,307213
1,0,0,129,125,54,4,46,782
1,0,0,1132212,57,28,4,317,1132814
1,0,0,35642,63,15,4,72,36247
1,0,0,170208,31,14,4,68,170789
1,0,0,716974,121,27,4,269,717564
1,0,0,1637185,57,28,4,114,1637787
0,0,0,487330,149,3,4,169,487905
1,0,1,627354,65,13,3,183,628319
0,0,0,1931470,95,28,4,107,1932015
0,0,0,1341,71,52,4,39,2027
0,0,0,1743146,57,28,4,335,1743790
0,0,0,514617,65,6,4,206,515441
1,0,0,1117975,151,28,4,319,1118634
0,0,1,347313,9,3,3,17,347837
0,0,0,250097,156,3,4,323,250738
1,0,0,1004,165,34,4,2,1579
0,0,0,569783,113,7,4,76,570400
1,0,0,552180,162,22,4,144,552848
0,0,0,51491,129,76,4,264,52129
1,0,1,18480,31,86,3,380,19103
0,0,0,4128,38,73,4,256,4829
1,0,0,598996,6,10,4,232,599763
