Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,38827,225,25,35924,1
0,0,3779,182,133,1517,0
0,0,9869,53,58,8244,1
1,0,825842,310,40,823350,0
0,0,502030,129,0,499289,0
1,0,79193,77,3,76656,1
1,0,2449,0,151,11,0
0,0,7010,291,147,4233,1
0,0,66235,246,41,64469,1
1,0,21822,317,13,18838,1
0,0,104384,71,65,101526,1
0,0,77950,17,24,74987,1
1,0,510295,141,27,507728,1
1,0,847503,311,40,845194,0
1,0,16574,222,138,14088,1
1,0,181574,314,30,180063,1
1,0,625252,228,28,622190,0
1,0,981807,277,52,979324,1
1,0,16715,185,46,14439,1
0,0,3108,210,135,115,0
1,0,2940,212,136,73,1
1,0,2351295,263,58,2348338,0
1,0,13435,271,143,10745,0
0,0,86361,187,15,83876,1
1,0,225780,78,27,223900,0
1,0,578138,98,27,576360,0
1,0,504140,267,2,500865,0
1,0,636457,213,13,635763,0
1,0,847195,162,35,845501,0
1,0,492362,27,1,490971,0
1,0,236472,223,3,233641,0
0,0,779582,202,31,776703,0
0,0,5320,123,120,4310,1
1,0,3857,103,118,1095,1
0,0,650247,100,27,648161,0
1,0,984,304,150,31,0
1,0,976,20,74,2,1
0,0,24358,272,143,21590,0
0,0,2274,50,78,1,0
1,0,628999,142,12,626735,0
1,0,13990,114,16,11384,1
0,0,14595,65,67,12280,1
1,0,11256,252,94,8914,1
1,0,2327020,262,58,2324351,0
1,0,5339,51,103,2904,1
0,0,65081,83,25,62292,1
0,0,1335,245,141,1,1
0,2,805554,313,40,804478,0
0,0,782600,203,31,781197,0
0,0,955,155,90,2,1
1,0,1573917,165,58,1571158,0
0,0,1995400,174,56,1993454,0
0,0,794113,241,33,793295,0
1,0,644271,96,58,641242,1
0,0,56433,247,41,54619,1
1,0,654938,251,27,652152,0
1,0,1032018,49,44,1029001,0
0,0,1140600,195,46,1138639,0
1,0,411506,57,33,408474,0
1,0,924785,236,57,922281,1
0,0,4734,122,87,2191,0
0,0,8397,15,9,5578,1
0,0,764760,201,31,762982,0
1,0,3210,22,73,616,1
1,0,587182,273,37,584897,1
0,0,4421,31,76,3684,1
0,0,9939,56,104,8926,0
0,0,606712,237,12,603989,0
1,0,21218,240,26,18921,1
0,0,2501,82,38,102,1
1,0,7457,214,41,4911,1
0,0,490870,45,1,489493,0
1,0,4073,5,69,1218,0
1,0,110366,248,64,107442,1
1,0,22430,44,34,19944,1
1,0,15107,261,2,12237,1
1,0,41742,307,44,39727,1
0,0,663320,257,24,660522,0
0,0,58458,113,16,55432,1
1,0,486237,24,47,483109,0
1,0,353345,138,58,350952,0
0,0,9141,220,137,8410,0
1,0,2693,280,98,396,0
1,0,44770,25,50,42977,1
0,0,18183,233,139,15433,0
1,0,5678,127,122,4257,1
0,1,655728,167,18,653962,0
0,0,33262,308,44,31331,1
0,0,791878,120,37,790079,0
