Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,3,1,22,1159709,0
1,0,18293,404,3,1,95,17649,0
0,0,7200,134,4,0,45,6637,0
0,0,55025,359,4,0,83,54438,0
0,0,1464254,88,4,0,28,1463646,0
0,0,494817,203,4,0,23,494134,1
0,0,2016292,329,4,0,27,2015537,0
0,0,9057,388,4,0,90,8128,0
0,0,4555,132,4,0,64,3962,0
0,0,683253,98,4,0,28,682675,0
1,0,844685,368,3,1,22,844098,0
1,0,112468,401,1,1,94,111971,0
0,0,4870,340,4,0,78,4217,0
0,0,2682,264,4,0,76,1954,0
0,0,163066,8,4,0,8,162521,1
0,0,1955674,332,4,0,28,1955171,0
0,0,756041,99,4,0,28,755460,1
0,0,1368555,309,4,0,28,1367977,1
0,0,1487064,92,4,0,28,1486369,1
1,0,44362,301,3,1,15,43754,1
0,0,265007,258,4,0,23,264339,0
0,0,128464,416,2,0,14,128075,0
0,0,1921473,108,4,0,28,1920904,1
0,0,458814,352,4,0,17,458125,0
0,0,316703,371,4,0,16,316059,0
0,0,548591,226,2,0,19,548190,0
0,0,1604078,116,4,0,28,1603452,0
0,0,85370,61,4,0,58,84681,0
0,0,17407,261,4,0,74,16820,0
0,0,1033564,298,4,0,18,1032920,0
1,0,1738968,28,3,1,27,1738420,0
0,0,6677,379,4,0,86,6162,1
0,0,278070,222,4,0,3,277438,1
0,0,1731530,336,4,0,28,1730895,0
0,0,477620,206,4,0,6,476973,0
0,0,567879,381,2,0,20,567310,0
0,0,10321,126,4,0,61,9749,0
0,0,1686468,112,4,0,28,1685914,0
0,0,7629,230,4,0,70,6979,0
0,0,1645,356,4,0,83,1004,0
0,0,376974,55,4,0,3,376393,1
1,0,807869,25,3,1,27,807330,1
0,0,426818,137,4,0,4,426186,1
0,0,39701,52,4,0,57,39237,1
0,0,307213,259,4,0,23,306524,0
0,0,782,46,4,0,54,129,1
0,0,1132814,317,4,0,28,1132212,1
0,0,36247,72,4,0,15,35642,1
0,0,170789,68,4,0,14,170208,1
0,0,717564,270,4,0,27,716974,1
0,0,1637787,114,4,0,28,1637185,1
0,0,487905,170,4,0,3,487330,0
1,0,356421,430,3,1,13,355831,1
0,0,1932015,107,4,0,28,1931470,0
0,0,2027,39,4,0,52,1341,0
0,0,1743790,335,4,0,28,1743146,0
0,0,515441,207,4,0,6,514617,0
0,0,1118634,319,4,0,28,1117975,1
1,0,347837,18,3,1,3,347313,0
0,0,250738,323,4,0,3,250097,0
0,0,1579,3,4,0,34,1004,1
0,0,570400,76,4,0,7,569783,0
0,0,552848,145,4,0,22,552180,1
0,0,52129,265,4,0,76,51491,0
1,0,19103,380,3,1,86,18480,1
0,0,4829,257,4,0,73,4128,0
0,0,599763,233,4,0,10,598996,1
0,0,436400,12,4,0,16,435816,0
0,0,1148872,410,4,0,27,1148204,0
0,0,339516,225,4,0,3,338926,0
0,0,1581481,215,4,0,26,1580900,1
0,0,1081012,406,4,0,27,1080440,1
0,0,15668,344,4,0,79,15015,0
0,0,6518,304,4,0,1,5874,1
0,0,26110,306,4,0,14,25487,1
1,0,504309,428,3,1,4,503911,1
0,0,668902,149,4,0,22,668282,1
0,0,1995197,217,4,0,27,1994529,0
0,0,216763,322,4,0,3,216122,0
1,0,588625,157,3,1,4,587969,1
0,0,416038,383,4,0,31,415541,0
1,0,463493,101,3,1,0,462885,1
0,0,14001,394,4,0,92,13402,1
1,0,385637,21,3,1,22,384969,0
0,0,602338,320,4,0,6,601643,1
0,0,1845,389,2,0,91,1489,1
0,0,314714,123,4,0,12,314181,0
0,0,1473130,87,4,0,28,1472456,0
0,0,1134002,408,4,0,27,1133424,1
0,0,444695,32,4,0,3,444042,0
0,0,42175,386,4,0,88,41594,0
0,0,9261,128,4,0,62,8539,0
0,0,382637,57,4,0,3,382086,0
0,0,35038,303,4,0,1,34388,1
0,0,416102,247,4,0,16,415509,0
1,0,13194,349,3,1,81,12661,1
0,0,641578,83,4,0,11,640880,1
0,0,320021,423,4,0,4,319437,1
0,0,78452,300,4,0,15,77844,0
0,0,2893,384,4,0,87,2228,0
0,0,36160,20,4,0,14,35462,1
1,0,628319,184,3,1,13,627354,1
0,0,1066542,405,4,0,27,1065931,1
0,0,438865,351,4,0,17,438233,0
0,0,345916,154,4,0,16,345353,0
1,0,499409,366,3,1,22,498789,0
0,0,262228,37,4,0,22,261515,0
0,0,350824,414,2,0,14,350453,1
0,0,224418,167,4,0,17,223792,0
0,0,17055,48,4,0,56,16375,0
0,0,1049,284,4,0,48,204,1
0,0,807166,152,4,0,22,806492,1
1,0,874302,275,3,1,27,873739,1
0,0,281,10,5,0,36,3,1
0,0,16035,342,4,0,78,15472,0
0,0,311595,412,2,0,14,311224,1
0,0,6125,11,4,0,36,5631,1
0,0,578960,77,4,0,7,578253,0
0,0,1670681,29,4,0,27,1670067,0
1,0,544317,147,1,1,22,543658,0
0,0,285006,246,4,0,16,284026,0
0,0,482096,254,4,0,16,481446,0
0,0,16573,165,4,0,66,15977,0
0,0,1236,125,4,0,44,691,0
0,0,2152710,106,4,0,28,2152117,1
0,0,218124,166,4,0,17,217234,0
0,0,497850,295,4,0,10,497083,1
0,0,653543,84,4,0,11,652923,1
0,0,729959,96,4,0,28,729363,0
0,0,358436,278,2,0,14,358038,1
0,0,584282,133,4,0,10,583626,1
0,1,22696,73,4,0,15,22061,1
1,0,1261581,324,3,1,26,1260970,0
0,0,160801,403,4,0,94,160181,0
1,0,10872,104,3,1,60,10210,0
0,0,412598,280,4,0,30,411981,1
0,0,514088,294,4,0,10,513441,1
0,0,667099,4,4,0,10,666332,1
0,0,253563,288,4,0,16,252895,0
0,0,237931,286,4,0,16,237338,0
0,0,266589,177,4,0,17,265723,0
0,0,1078119,193,4,0,28,1077559,0
0,0,198335,42,4,0,10,197730,1
0,0,1243238,187,4,0,28,1242540,1
0,0,1176204,399,4,0,23,1175530,0
0,0,6197,387,4,0,89,5628,0
0,0,38888,79,4,0,14,38181,1
0,0,374682,41,4,0,28,374062,0
0,0,1420673,91,4,0,28,1420101,0
0,0,388432,195,2,0,29,388043,1
0,0,70633,59,4,0,58,70109,0
0,0,11230,374,4,0,49,10535,0
0,0,694973,307,4,0,27,694383,0
0,0,1677970,118,4,0,28,1677395,0
0,0,5761,375,4,0,50,5141,0
0,0,1886263,218,4,0,27,1885670,0
0,0,311313,422,4,0,4,310645,1
0,0,282372,174,4,0,14,281740,1
0,0,456160,321,4,0,23,455483,0
0,0,36542,385,4,0,88,35961,1
0,0,541203,103,4,0,6,540331,0
0,0,375081,122,4,0,12,374536,1
0,0,1142859,409,4,0,27,1142287,1
0,0,1481322,93,4,0,28,1480762,1
0,0,1306828,209,4,0,26,1306226,1
0,0,1739,6,4,0,33,1236,1
0,0,410649,141,2,0,14,410251,0
0,0,1587490,212,4,0,26,1586741,0
0,0,2442,285,4,0,48,1612,1
0,1,327963,424,4,0,4,327337,1
0,0,1411596,22,4,0,28,1410949,0
0,0,260483,178,4,0,17,259935,0
0,0,917604,274,4,0,27,916954,0
0,0,371048,277,4,0,14,370350,1
0,0,11470,47,2,0,55,11081,1
0,0,377176,142,4,0,14,376607,0
0,0,1943209,9,4,0,28,1942577,0
0,0,7470,269,4,0,77,6853,1
0,0,76266,279,4,0,14,75574,1
0,0,21243,15,4,0,38,20602,1
0,0,605996,239,4,0,10,605367,1
0,1,340144,413,4,0,14,339536,0
1,0,862102,242,3,1,22,861431,0
0,0,1875155,219,4,0,27,1874526,0
0,0,617680,234,4,0,10,617066,1
0,0,59685,49,4,0,56,58891,0
0,0,1611491,330,4,0,27,1610868,0
0,0,31626,357,4,0,83,31012,0
0,0,67780,415,4,0,14,67067,0
0,0,430625,13,4,0,16,430509,0
0,0,288480,176,4,0,17,287506,0
0,0,1187163,346,4,0,22,1186465,0
0,0,1200244,312,4,0,28,1199621,0
0,0,18926,390,4,0,92,18276,0
0,0,2115566,26,4,0,28,2114982,1
0,0,1109679,316,4,0,28,1109041,1
0,0,1559,51,4,0,57,987,1
0,0,413954,418,4,0,28,413337,0
0,0,159847,67,4,0,14,159101,1
0,0,1139142,315,4,0,28,1138561,1
0,0,462219,364,4,0,22,461563,1
0,0,1348,168,4,0,67,512,1
0,0,1344856,199,4,0,21,1344239,0
0,0,203566,70,2,0,14,203195,1
0,0,3660,196,4,0,68,3085,1
0,0,1001979,95,4,0,28,1001410,0
1,0,1671935,119,3,1,28,1671336,0
0,0,3008,163,4,0,46,2760,1
0,0,17644,348,4,0,80,17072,0
0,0,393310,281,4,0,30,392783,0
0,0,1025055,192,4,0,28,1024453,0
0,0,1654543,31,4,0,27,1654004,1
0,0,11006,14,4,0,37,10434,1
0,0,1840810,110,4,0,28,1840178,0
0,0,1182146,313,4,0,28,1181541,1
0,0,377041,363,4,0,12,376496,1
0,0,398667,249,4,0,16,398035,0
0,0,1235855,188,2,0,28,1235211,1
0,0,1806636,337,4,0,28,1806064,0
0,0,7249,53,4,0,57,6641,0
0,0,452612,282,4,0,28,451995,0
0,0,425782,140,2,0,14,425384,0
0,0,1121,2,4,0,32,531,0
0,0,725245,151,4,0,22,724664,1
0,0,7534,343,2,0,79,7151,0
0,0,14571,377,4,0,50,14272,0
0,0,244449,289,4,0,16,243556,0
0,0,622513,27,4,0,28,621803,0
0,0,261062,175,4,0,14,260553,0
0,0,253089,179,4,0,17,252442,0
0,0,305429,372,4,0,24,304515,0
1,0,690105,148,3,1,22,689434,0
0,0,22995,305,2,0,14,22609,1
0,0,47042,80,4,0,14,46335,1
0,0,6670,228,4,0,69,6140,1
0,0,467996,365,4,0,22,467418,0
0,0,1079,127,2,0,62,750,0
0,1,1784731,333,4,0,28,1784156,1
0,0,1392058,308,4,0,28,1391459,0
0,0,174019,65,4,0,14,173294,1
1,0,44727,395,3,1,93,44119,1
1,0,978860,276,1,1,27,978390,0
0,0,7294,262,4,0,75,6638,0
0,0,9111,131,2,0,63,8734,0
0,0,633393,82,4,0,11,632488,1
0,0,2852,17,4,0,40,2211,0
0,0,1610144,115,4,0,28,1609563,0
1,0,225709,69,3,1,14,225092,1
0,0,873,5,4,0,35,262,1
0,0,462632,139,4,0,4,462006,0
0,0,1707,378,4,0,85,1054,0
0,0,555039,78,4,0,7,554104,0
0,0,897457,273,4,0,27,896894,0
0,0,522983,293,4,0,10,522417,1
0,0,930600,243,4,0,22,929947,1
0,0,459742,250,4,0,16,459083,0
0,0,8892,376,4,0,50,8245,0
0,0,410431,182,4,0,15,409799,0
0,0,95645,64,4,0,2,95094,1
0,0,296809,421,4,0,4,296102,1
0,0,438791,33,4,0,3,438168,1
0,0,302673,245,4,0,16,302005,0
0,0,332148,411,4,0,14,331510,0
0,0,22912,58,2,0,58,22523,0
0,0,20624,74,4,0,43,19953,1
0,0,276224,136,4,0,22,275592,0
0,0,603114,238,4,0,10,602248,1
0,0,610905,156,4,0,4,610333,0
1,0,893116,240,3,1,22,892445,1
0,0,9993,34,4,0,41,9376,1
0,0,1448091,89,4,0,28,1447573,1
0,0,12594,198,4,0,47,11959,1
0,0,389569,248,4,0,16,388676,0
0,0,28027,44,4,0,53,27344,0
0,0,406686,138,4,0,4,406078,0
0,0,32545,263,4,0,76,31979,0
1,0,11424,40,3,1,52,10828,0
0,0,474095,354,4,0,17,473496,0
1,0,891600,272,1,1,27,891058,1
0,0,1570983,121,4,0,28,1570405,1
0,0,487260,202,4,0,23,486679,1
1,0,28680,129,3,1,63,27985,0
0,0,478938,102,4,0,0,478315,0
0,0,1109266,398,4,0,23,1108595,0
0,0,21792,345,4,0,79,21193,0
0,0,649380,237,4,0,10,648745,1
0,0,538452,146,4,0,22,537880,1
0,0,21840,231,4,0,71,21079,0
0,0,567898,124,2,0,19,567485,0
0,0,53116,397,5,0,93,52718,0
0,0,308712,370,4,0,16,308044,0
0,0,633183,235,2,0,10,632827,1
0,0,1591262,331,4,0,27,1590720,0
0,0,559332,144,2,0,20,558976,0
0,0,627298,100,4,0,6,626603,1
0,0,555039,429,4,0,4,554545,1
0,0,269583,420,4,0,4,268954,0
1,0,1591401,213,3,1,26,1590901,0
0,0,1060193,190,4,0,28,1059636,1
0,0,272757,181,4,0,17,271798,0
0,0,21892,339,4,0,78,21179,0
0,0,400683,56,4,0,3,400036,1
0,0,11825,45,4,0,53,11139,0
0,0,610947,367,4,0,22,610288,1
0,0,1183104,325,4,0,26,1182499,0
0,0,1871216,109,4,0,28,1870641,0
0,0,1100102,407,4,0,27,1099440,1
0,0,223254,290,4,0,16,222562,0
0,0,2130876,105,4,0,28,2130250,1
0,0,5418,232,4,0,71,4696,1
0,0,274287,173,4,0,14,273715,1
0,0,643220,200,4,0,6,642618,0
