Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,1037760,370,4,22,1037092
0,18293,404,3,95,17649
0,1236,126,4,44,691
0,55025,360,4,83,54438
0,1457890,90,4,28,1457246
1,487260,205,4,23,486679
0,1995197,222,4,27,1994529
0,9057,388,4,90,8128
0,4555,134,4,64,3962
0,622513,28,4,28,621803
1,807166,155,4,22,806492
0,112468,401,1,94,111971
0,4870,342,4,78,4217
0,2682,269,4,76,1954
1,163066,9,4,8,162521
0,1943209,10,4,28,1942577
0,735451,96,4,28,734867
1,1357417,313,4,28,1356881
1,1481322,93,4,28,1480762
1,36247,73,4,15,35642
0,1187163,348,4,22,1186465
0,120884,36,2,14,120498
1,1894275,111,4,28,1893637
0,438865,353,4,17,438233
0,308712,371,4,16,308044
0,1033564,302,4,18,1032920
0,1578872,120,4,28,1578312
0,85370,62,4,58,84681
0,17407,266,4,74,16820
0,497483,127,4,17,496893
1,1707996,30,4,27,1707370
1,6677,380,4,86,6162
1,278070,227,4,3,277438
0,1686468,112,4,28,1685914
0,477620,210,4,6,476973
0,565167,383,2,20,564760
0,10321,128,4,61,9749
0,1685667,117,0,28,1685527
0,7629,235,4,70,6979
0,1645,357,4,83,1004
1,376974,57,4,3,376393
0,767988,276,4,27,767290
1,426818,140,4,4,426186
0,7249,55,4,57,6641
0,265007,264,4,23,264339
0,28027,46,4,53,27344
1,1118634,322,4,28,1117975
1,30799,74,4,15,30158
1,159847,68,4,14,159101
0,694973,310,4,27,694383
0,1610144,115,4,28,1609563
0,487905,172,4,3,487330
1,356421,430,3,13,355831
1,1921473,108,4,28,1920904
1,10499,40,2,51,10110
0,1739252,338,4,28,1738602
0,515441,211,4,6,514617
1,1109679,319,4,28,1109041
0,347837,19,3,3,347313
0,250738,326,4,3,250097
1,4939,8,4,33,4241
0,570400,76,4,7,569783
0,544317,149,1,22,543658
0,52129,270,4,76,51491
1,19103,381,3,86,18480
0,4829,263,4,73,4128
1,599763,238,4,10,598996
0,430625,13,4,16,430509
1,1142859,409,4,27,1142287
0,339516,230,4,3,338926
1,1413348,214,4,26,1412725
1,1066542,405,4,27,1065931
0,15668,346,4,79,15015
1,6518,307,4,1,5874
1,26110,309,4,14,25487
1,504309,428,3,4,503911
1,610947,368,4,22,610288
0,1935320,221,4,27,1934724
0,216763,325,4,3,216122
1,588625,160,3,4,587969
1,412598,286,4,30,411981
1,463493,101,3,0,462885
1,14001,394,4,92,13402
0,276224,139,4,22,275592
1,602338,323,4,6,601643
1,1845,389,2,91,1489
0,314714,123,4,12,314181
0,1464254,89,4,28,1463646
1,1100102,407,4,27,1099440
0,444695,33,4,3,444042
0,42175,386,4,88,41594
0,9261,130,4,62,8539
0,382637,59,4,3,382086
1,35038,306,4,1,34388
0,410050,253,4,16,409331
1,13194,351,3,81,12661
1,641578,83,4,11,640880
1,320021,423,4,4,319437
0,70385,303,4,15,69732
0,2893,384,4,87,2228
1,36160,21,4,14,35462
1,628319,187,3,13,627354
0,978860,281,1,27,978390
0,288480,177,4,17,287506
0,331967,156,4,16,331098
0,467996,366,4,22,467418
0,1344856,202,4,21,1344239
0,340144,413,4,14,339536
0,218124,169,4,17,217234
1,11303,52,4,56,10641
1,12594,201,4,47,11959
1,789660,154,4,22,789061
1,855201,25,4,27,854569
1,873,6,4,35,262
0,16035,344,4,78,15472
1,301818,284,4,14,301183
1,281,11,5,36,3
0,578960,77,4,7,578253
0,1665163,31,4,27,1664528
1,538452,148,4,22,537880
0,278450,249,4,16,277617
0,473006,259,4,16,472107
0,16573,168,4,66,15977
0,15631,124,1,43,14972
1,2130876,105,4,28,2130250
0,750998,204,4,16,750414
1,497850,299,4,10,497083
1,653543,84,4,11,652923
1,698962,97,4,28,698387
1,350824,414,2,14,350453
1,584282,135,4,10,583626
0,425782,144,2,14,425384
0,1183104,328,4,26,1182499
0,160801,403,4,94,160181
0,10872,104,3,60,10210
0,393310,287,4,30,392783
1,514088,298,4,10,513441
1,667099,5,4,10,666332
0,244449,293,4,16,243556
0,223254,294,4,16,222562
0,260483,179,4,17,259935
0,1069989,197,4,28,1069351
1,198335,44,4,10,197730
1,1235855,190,2,28,1235211
0,1109266,398,4,23,1108595
0,6197,387,4,89,5628
1,38888,79,4,14,38181
0,2159962,329,4,27,2159390
0,1411596,23,4,28,1410949
1,2152710,106,4,28,2152117
0,22912,60,2,58,22523
1,2442,290,4,48,1612
1,673589,188,4,27,672981
0,1671935,119,3,28,1671336
0,11230,375,4,49,10535
0,1875155,224,4,27,1874526
1,311313,422,4,4,310645
1,274287,175,4,14,273715
0,433446,209,4,23,432955
1,36542,385,4,88,35961
0,541203,103,4,6,540331
1,375081,122,4,12,374536
1,1134002,408,4,27,1133424
0,1473130,88,4,28,1472456
0,1261581,327,3,26,1260970
0,1121,3,4,32,531
0,405277,143,4,14,404699
1,1581481,219,4,26,1580900
1,1049,289,4,48,204
1,327963,424,4,4,327337
0,1392058,311,4,28,1391459
0,253089,180,4,17,252442
0,897457,278,4,27,896894
1,358436,283,2,14,358038
1,782,48,4,54,129
1,371048,282,4,14,370350
0,1932015,107,4,28,1931470
1,7470,274,4,77,6853
1,76266,285,4,14,75574
1,16265,14,4,37,15666
1,605996,244,4,10,605367
0,332148,411,4,14,331510
0,844685,369,3,22,844098
1,1790185,225,4,27,1789544
1,617680,239,4,10,617066
0,17055,50,4,56,16375
0,1591262,333,4,27,1590720
0,31626,358,4,83,31012
0,67780,415,4,14,67067
0,425359,254,4,16,424565
0,281837,181,4,17,281250
0,1169771,349,4,22,1169145
1,1192370,318,4,28,1191744
0,18926,390,4,92,18276
1,2103139,226,4,28,2102468
1,1094415,321,4,28,1093786
0,59685,51,4,56,58891
1,395098,43,4,28,394403
0,128464,416,2,14,128075
1,1132814,320,4,28,1132212
0,385637,22,3,22,384969
1,1348,170,4,67,512
0,567879,382,2,20,567310
1,190891,67,4,14,190256
1,3660,199,4,68,3085
1,756041,99,4,28,755460
1,1653046,113,4,28,1652444
0,7200,137,4,45,6637
0,17644,350,4,80,17072
1,388432,198,2,29,388043
0,1001979,95,4,28,1001410
0,1611491,332,4,27,1610868
1,6125,12,4,36,5631
0,1806636,339,4,28,1806064
1,1150552,317,4,28,1149983
1,377041,364,4,12,376496
0,389569,255,4,16,388676
0,1212108,314,4,28,1211533
1,1793869,335,4,28,1793264
1,1559,53,4,57,987
0,421453,417,4,28,420860
0,410649,145,2,14,410251
1,2936,1,3,31,2637
0,690105,151,3,22,689434
0,7534,345,2,79,7151
0,8892,377,4,50,8245
0,237931,291,4,16,237338
0,615493,18,4,28,614912
0,253619,173,4,14,252897
0,244194,183,4,17,243160
0,1176204,399,4,23,1175530
1,668902,152,4,22,668282
1,22995,308,2,14,22609
1,47042,80,4,14,46335
1,6670,233,4,69,6140
1,462219,365,4,22,461563
0,1079,129,2,62,750
1,1773473,336,3,28,1772775
1,1368555,312,4,28,1367977
1,170789,69,4,14,170208
1,44727,395,3,93,44119
0,917604,279,4,27,916954
