Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,7,0,2,154221,0
1,434666,127,127,2,1,16,433053,0
0,1494962,36,36,5,0,22,1493559,1
0,831522,13,13,17,0,21,830434,1
0,586,0,0,1,0,33,2,0
0,1086604,111,111,12,0,22,1085297,1
1,852,48,48,2,1,31,1,0
0,340376,74,74,1,0,4,339975,0
0,566165,34,34,20,0,8,564966,0
1,43838,28,28,2,1,28,42453,1
1,496522,95,95,2,1,10,495068,1
0,447552,2,2,0,0,16,446896,0
1,1459767,37,37,2,1,22,1458433,0
0,405983,8,8,1,0,18,405798,0
0,423600,145,145,19,0,22,422017,0
0,1108489,110,110,25,0,22,1107152,1
0,617159,57,57,25,0,5,615924,0
0,1398991,107,107,16,0,22,1398122,0
0,25566,132,132,0,0,34,24556,1
1,553803,93,93,2,1,12,552229,0
0,33930,49,49,17,0,31,32737,0
1,492874,56,56,2,1,9,492284,0
0,512575,152,152,21,0,6,511070,0
0,1689293,41,41,24,0,20,1687962,1
0,485,4,4,1,0,25,3,1
1,452810,96,96,2,1,10,452175,0
0,68405,136,136,19,0,48,67296,1
0,1002291,88,88,17,0,21,1001194,0
0,526360,149,149,25,0,5,525035,1
0,1880588,43,43,16,0,22,1879185,1
0,1933792,5,5,1,0,22,1933010,0
0,6378,59,59,17,0,43,4900,1
0,437973,97,97,0,0,1,437293,1
0,209311,50,50,4,0,11,208193,1
1,1071422,143,143,2,1,21,1070148,1
1,1778404,123,123,27,1,22,1777100,1
0,7259,7,7,0,0,26,6249,0
0,580857,35,35,25,0,8,579490,0
0,13382,91,91,0,0,45,12657,0
0,367224,148,148,0,0,5,366097,0
0,1248251,62,62,15,0,22,1246854,1
0,1499180,116,116,21,0,20,1497708,0
0,626028,39,39,17,0,7,624868,1
0,290343,73,73,23,0,4,289018,0
0,1117420,109,109,12,0,22,1116176,1
0,395265,90,90,10,0,23,393862,0
0,42426,101,101,17,0,3,41221,0
0,532332,150,150,25,0,5,531106,1
0,1741983,16,16,11,0,21,1740772,0
0,523945,114,114,25,0,1,522770,1
