Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,3818,117,70,2061
0,497232,49,1,497002
0,1220025,97,36,1218841
0,2356,7,44,188
1,553680,111,24,551527
0,17469,86,49,15220
0,551749,31,18,551012
1,160581,125,12,159610
1,2942,33,57,882
0,802663,58,29,801878
1,501852,59,33,499696
1,1105132,106,32,1103840
1,590889,95,15,588715
0,2355697,99,38,2354525
1,5081,19,11,2874
0,2356776,6,38,2355799
0,3053,21,51,873
0,1193345,105,32,1191366
0,195717,5,7,194815
1,395040,110,24,392911
0,1058918,108,34,1056777
1,114991,84,3,114542
1,161676,77,12,160684
0,2832,52,60,619
1,26356,41,58,24182
1,603844,96,15,602780
1,18169,8,16,16115
0,508321,32,2,506186
1,29015,27,55,27780
0,646319,102,13,643902
1,346367,40,24,344166
0,2001346,64,37,1998842
0,705460,50,24,703286
0,203063,80,6,200871
1,9199,104,67,7001
1,80858,14,38,80019
0,53186,22,0,51024
1,18788,25,42,16752
1,5374,107,68,4073
0,305003,100,24,302736
0,194168,88,18,192141
1,605835,113,32,604711
1,302402,43,12,301785
1,628874,56,15,628374
1,1560715,16,38,1558235
1,141673,126,12,140918
1,38921,60,11,36609
1,352533,109,40,352018
0,879776,20,27,877512
1,229342,92,27,227192
1,6731,34,29,4560
1,628270,36,15,627785
0,875271,70,32,874933
1,53693,57,30,52560
1,1092022,122,37,1090076
0,122127,119,71,120202
1,32651,26,54,31587
0,573072,93,18,571858
0,10034,9,45,9492
1,64228,74,22,62066
1,238993,66,25,236726
0,479217,78,14,477172
0,606833,35,38,604902
1,356850,23,41,356083
0,6331,18,50,3935
1,69895,4,22,67685
1,27802,123,73,25553
1,521,0,52,3
0,149082,120,71,147823
0,551317,82,19,549344
1,85717,38,3,84713
0,12912,3,43,12295
1,116089,75,2,115388
0,5373,103,66,3175
0,399746,91,19,397836
0,551038,37,15,548948
1,258202,87,27,255983
1,7513,2,26,7115
0,522056,129,14,520707
0,560632,53,18,560198
1,8796,42,4,6766
0,242101,44,17,241769
0,742170,79,24,739927
0,13846,12,46,12761
1,886828,76,37,884852
0,656983,69,32,654773
1,29812,132,28,28472
0,24063,89,65,21859
1,569,73,62,3
0,510087,17,32,508918
1,20468,94,5,18309
0,47761,116,70,45575
1,2179419,98,37,2176948
0,143770,130,8,141896
0,395811,47,21,393328
1,17708,29,56,16425
1,107570,30,10,105642
1,216636,67,25,214564
1,5239,48,59,3059
1,2117,24,53,3
1,45873,85,64,43711
0,843337,63,23,841178
0,630544,13,19,630077
1,61722,124,37,61057
0,414917,90,19,412986
1,9794,121,72,7884
0,630340,39,20,629867
0,576256,1,18,575726
1,8315,11,32,7779
0,640806,112,10,638620
0,808511,72,19,806334
1,45587,118,71,43530
1,7341,15,47,5542
1,591642,55,15,591283
0,28251,115,69,27310
1,15656,46,1,13635
0,495949,81,19,493973
0,2323,65,61,1850
0,12118,51,48,9896
0,2747,83,63,2046
0,1428134,62,36,1426182
0,2001160,71,35,1999253
1,967593,54,38,965515
0,1157244,28,31,1157023
1,292285,128,25,290090
1,131468,101,39,129252
0,429,127,74,1
0,461012,68,10,460530
0,804175,45,24,801998
0,1718373,10,36,1716442
0,111044,131,9,109113
0,853635,114,32,852247
1,1375094,61,36,1372983
