Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,5471,136,136,110,3207
0,5583,97,98,99,3223
0,457048,88,89,9,454787
0,478833,231,231,6,476677
1,2336,147,147,113,3
0,552888,219,219,15,550654
0,835809,95,96,28,833647
0,4603,49,50,87,2336
0,1069200,209,209,45,1067095
0,2907,36,37,71,667
0,2776,152,152,114,509
1,76342,177,177,33,73994
0,1167843,143,143,41,1165567
1,1026,4,5,69,22
0,692573,69,70,19,690150
1,27924,7,8,17,26149
0,754574,173,173,26,752403
0,1157625,116,116,42,1155433
1,12933,112,112,39,10912
1,96434,222,222,5,94266
1,45480,195,195,119,43330
0,604953,80,81,20,602554
0,2152,10,11,59,38
0,763015,83,84,37,760970
1,4215,71,72,19,1969
0,480713,38,39,4,478230
1,114439,9,10,3,112868
1,3201,59,60,73,2560
1,61722,221,221,51,61057
0,45278,100,101,18,42840
1,13918,121,121,104,11750
0,562476,171,171,10,560179
1,56175,84,85,5,53914
1,1518,58,59,93,1
0,1009290,45,46,38,1006993
1,50723,120,120,104,48507
0,487264,93,94,17,485114
1,47037,175,175,117,44773
0,371476,170,170,18,369323
0,477337,11,12,9,476408
0,1835184,67,68,46,1832923
1,53359,114,114,39,52601
0,1287,19,20,68,1
1,441740,91,92,29,439797
1,81519,12,13,5,79698
1,71686,213,213,49,69566
0,707127,48,49,23,704929
1,65232,218,218,50,62692
0,777368,224,224,31,775140
1,3230,127,127,22,921
1,1669,47,48,86,2
1,5540,44,45,84,3963
1,372955,230,230,29,370655
1,2191081,87,88,52,2188577
1,11060,140,140,31,8994
1,4184,235,235,35,1923
1,43304,155,155,55,40902
1,113111,165,165,15,111105
1,59089,41,42,55,56687
0,1189025,188,188,50,1186812
0,805063,178,178,38,803291
0,1835456,204,204,47,1833030
1,7454,52,53,89,5259
0,611448,110,110,10,610807
1,5046,157,157,115,2860
0,1204656,196,196,44,1202680
1,4025,163,163,16,1761
1,2650,24,25,34,386
1,560447,98,99,52,558669
1,335828,153,153,29,333633
0,480279,203,203,44,478171
1,7012,6,7,31,5501
1,12909,141,141,111,10807
1,11646,123,123,105,9286
0,1116077,150,150,40,1113876
1,76316,29,30,50,74154
0,496899,101,102,1,495853
1,15153,205,205,30,12949
0,1027491,76,77,37,1024990
1,170211,122,122,48,168412
0,799420,225,225,31,796943
0,377705,96,97,57,375522
0,3932,160,160,116,1401
0,914046,63,64,33,913312
0,244454,156,156,19,243822
0,394758,20,21,9,393970
0,574603,168,168,21,572120
0,5117,217,217,81,2943
0,252998,130,130,28,250869
0,1108,159,159,75,1
1,92964,92,93,41,90784
1,3133,51,52,89,824
0,470842,187,187,51,468923
0,4059,30,31,70,1852
1,4593,1,2,17,2230
0,689616,82,83,52,687517
0,598394,167,167,21,596190
0,185005,118,118,58,182789
0,507624,191,191,3,505363
0,459000,172,172,10,456733
0,123424,232,232,8,121439
1,53099,223,223,38,50910
1,4883,42,43,82,2628
1,4516,53,54,90,3179
1,17178,106,107,102,14941
1,81116,3,4,13,80040
0,703891,72,73,23,701787
1,79561,117,117,55,77369
1,3704,22,23,66,1446
1,299939,227,227,11,297915
1,115059,158,158,22,112891
0,827,13,14,61,3
1,28523,81,82,37,26538
0,547726,133,133,7,545198
0,19404,198,198,120,17227
0,1039862,77,78,37,1037046
0,1937904,25,26,52,1935421
0,52834,182,182,0,50840
0,28514,108,0,103,26043
0,1138,5,6,106,2
1,62927,148,148,24,60651
0,16106,73,74,96,14127
0,7548,54,55,91,5362
1,828692,193,193,47,827244
0,711734,32,33,23,710958
0,482055,111,111,10,479794
1,89110,206,206,16,86993
1,71096,137,137,40,68619
1,798,164,164,77,1
0,2326647,17,18,52,2325364
1,9859,208,208,80,7598
1,120751,185,185,3,119534
0,9642,211,211,122,7252
0,7125,109,109,103,5011
1,1699,85,86,8,101
0,1333,16,17,63,3
0,468090,40,41,2,465892
0,811009,210,210,32,808763
0,619207,202,202,9,617003
0,194620,124,124,53,192110
1,52112,103,104,43,49749
0,14957,64,65,74,12933
1,1621,65,66,94,2
0,813661,180,180,37,811541
0,560608,179,179,16,558551
0,961848,151,151,36,959689
0,915393,62,63,33,914149
1,6868,183,183,118,4559
1,50074,189,189,3,47909
0,487691,31,32,18,485538
0,7225,105,106,101,4853
0,669010,131,131,16,666635
1,2335,169,169,12,101
0,2976,162,162,76,781
0,1159648,142,142,41,1157084
1,140815,228,228,11,140096
1,3637,161,161,33,1680
1,17152,135,135,109,14774
0,3774,18,19,64,1570
1,8253,102,103,41,6340
0,477141,197,197,7,476586
1,4334,94,95,98,1968
1,20192,201,201,29,18165
0,636865,79,80,20,634829
1,391932,8,9,57,389746
0,1152,14,15,60,1
1,122003,229,229,11,119982
1,6765,192,192,79,4204
1,35613,194,194,119,33460
0,3468,70,71,95,1171
0,2352753,129,129,52,2351474
1,85349,66,67,4,84366
1,303473,216,216,12,301437
1,49973,26,27,23,48072
0,6110,99,100,100,3849
1,9061,55,56,72,6806
1,6479,134,134,108,5838
0,369971,60,61,54,367785
1,19107,104,105,43,16912
1,316113,226,226,11,313945
1,5333,21,22,65,3093
1,4679,113,113,39,2307
0,2152465,190,190,51,2150273
0,1347,23,24,67,4
1,3770,50,51,88,732
0,23314,236,236,2,21104
0,763294,174,174,26,761027
0,411395,37,38,13,410220
1,51771,234,234,35,49540
0,469090,34,35,1,466913
0,909502,74,75,34,907241
1,68193,146,146,25,66007
1,315631,215,215,12,313523
1,10067,28,29,44,8418
0,609383,78,79,20,607077
1,351915,199,199,56,350539
0,400277,27,28,10,398004
0,702444,212,212,22,701878
1,369509,61,62,13,367296
1,3147,43,44,83,535
0,526037,39,40,3,525222
1,57522,125,125,22,55348
0,1375691,119,119,44,1373202
1,3258,207,207,121,754
1,66424,233,233,35,64094
1,16197,176,176,117,13717
0,4947,46,47,85,2638
0,399311,90,91,14,397290
0,646569,181,181,12,644707
