Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,72,313057,144,144,0,15,312338,0
1,69,76658,39,39,1,45,76494,0
0,83,36547,222,222,0,37,35690,0
0,35,2151652,65,65,0,20,2150759,1
0,14,749937,92,92,0,14,749176,1
0,52,1088191,237,237,0,19,1087412,1
1,4,432941,203,203,1,14,432381,1
1,20,497744,120,120,1,15,496932,1
0,87,33929,165,165,0,2,32910,1
0,73,1227756,105,105,0,20,1227118,1
1,87,652441,51,51,1,8,651695,1
0,41,402463,84,84,0,5,401243,0
0,27,18040,107,107,0,58,16886,0
0,63,394684,23,23,0,14,394031,1
0,55,1098996,238,238,0,19,1097833,1
0,55,663709,103,103,0,19,662936,1
0,75,738,2,2,0,23,1,0
0,0,12258,152,152,0,69,11053,1
0,60,2162466,64,64,0,20,2161639,0
1,3,937169,155,155,1,19,936387,1
1,13,269718,146,146,1,20,269074,1
0,8,946792,5,5,0,14,945539,1
0,2,15525,109,109,0,32,14710,1
1,84,563168,88,88,1,14,561921,1
1,43,477748,119,119,1,15,476525,1
0,60,731234,55,55,0,20,730422,0
0,27,1832,59,59,0,47,591,0
0,24,217780,244,244,0,5,216641,0
0,19,1034038,239,239,0,19,1032938,1
1,84,779639,93,93,1,14,778437,0
1,37,10709,218,218,1,78,9531,0
0,39,23056,191,191,0,74,22262,0
1,4,667923,91,91,1,14,666610,1
1,6,497406,34,34,1,4,496306,0
0,38,365512,36,36,0,4,364310,1
0,27,9985,148,148,0,66,9303,0
1,94,13702,26,26,1,41,12743,0
0,8,1057942,131,131,0,14,1056725,0
0,57,589228,206,206,0,14,588062,0
0,0,10217,29,29,0,42,9084,1
1,25,182780,42,42,1,12,181743,1
0,50,196658,242,242,0,5,195561,0
0,63,387281,11,11,0,14,386064,0
1,3,1887968,127,127,1,19,1886823,0
0,27,1860,159,159,0,70,1114,1
0,8,581117,205,205,0,14,580287,0
0,72,386514,171,171,0,15,385279,0
0,57,599280,204,204,0,14,598465,1
1,55,745129,158,158,1,9,744176,0
0,60,1422032,54,54,0,20,1421220,0
1,12,1921338,125,125,1,19,1920505,1
0,27,28969,25,25,0,40,28568,0
0,72,1173402,230,230,0,15,1172566,0
0,81,210588,243,243,0,5,209491,0
1,79,17599,76,76,1,51,16553,0
0,63,1049347,132,132,0,14,1048619,0
0,28,358168,101,101,0,19,357524,0
1,80,1247221,176,176,1,18,1246121,0
0,8,878597,140,140,0,14,877761,0
0,27,18090,95,95,0,53,17131,0
0,79,1778534,129,129,0,19,1777443,0
0,72,1193619,231,231,0,15,1192936,0
1,100,5205,96,96,1,54,4201,1
0,54,2202990,63,63,0,20,2202343,1
0,95,153559,234,234,0,80,152606,0
0,91,4472,216,216,0,76,3321,0
0,54,975187,116,116,0,20,974237,1
0,54,1745136,190,190,0,20,1744339,0
0,62,19523,47,47,0,29,18321,1
0,94,38006,197,197,0,75,37197,0
0,68,1147481,173,173,0,18,1146423,1
0,32,226729,43,43,0,12,226322,1
0,27,10011,38,38,0,44,9199,1
0,54,983808,114,114,0,20,982858,1
0,96,914563,154,154,0,19,913814,0
0,72,400728,172,172,0,15,399566,0
0,73,979496,115,115,0,20,978543,1
1,43,493669,121,121,1,15,492404,1
1,93,3831,166,166,1,73,3070,1
1,67,3587,160,160,1,71,2544,0
0,27,19594,30,30,0,43,18863,1
0,73,1447013,53,53,0,20,1446237,1
0,83,31870,221,221,0,37,31118,0
0,88,531335,169,169,0,1,530982,1
0,72,462427,170,170,0,15,461594,0
0,35,1905082,66,66,0,20,1904309,1
0,54,1474427,52,52,0,20,1473666,0
0,58,1098330,232,232,0,15,1097515,0
1,47,41345,77,77,1,31,40839,0
1,10,2102,111,111,1,59,1101,1
0,49,1062126,196,196,0,16,1060936,0
0,8,705599,90,90,0,14,704769,0
0,5,77581,7,7,0,8,76523,1
0,8,837722,210,210,0,14,837087,0
0,44,1677,74,74,0,49,712,1
0,72,272963,214,214,0,15,272211,0
1,16,11639,198,198,1,75,10170,0
0,28,2187940,182,182,0,19,2187290,1
0,99,1471918,179,179,0,18,1470884,0
0,27,2879,133,133,0,62,2091,1
0,85,1675,215,215,0,35,854,1
1,4,551759,86,86,1,14,550737,1
0,22,9906,4,4,0,24,8728,1
0,8,863354,139,139,0,14,862533,0
1,2,2556,167,167,1,33,1318,0
1,12,2049687,185,185,1,19,2048413,1
0,38,384191,37,37,0,4,383100,0
0,53,323886,157,157,0,11,323095,1
0,89,571633,48,48,0,7,570836,0
1,13,663114,17,17,1,20,662260,0
0,23,826530,13,13,0,19,825718,1
0,0,31139,60,60,0,48,29922,0
0,17,1229889,175,175,0,18,1228786,0
0,80,1218003,106,106,0,20,1217665,0
1,4,290434,79,79,1,14,289571,0
0,5,1022329,213,213,0,14,1021526,1
1,1,27009,45,45,1,29,25858,1
0,97,987733,113,113,0,20,987176,1
0,33,11743,224,224,0,37,10985,1
1,25,295086,99,99,1,12,293887,1
0,63,941707,6,6,0,14,940901,1
