Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,3,12909,145,0,113,10807,1,1
0,124,6110,101,0,101,3849,1,0
1,38,457048,90,1,9,454787,0,0
0,136,478833,231,0,6,476677,1,0
0,92,16869,155,0,116,14662,1,0
0,14,4025,166,0,16,1761,1,1
1,13,20192,203,1,29,18165,0,1
0,124,3770,51,0,89,732,2,1
1,20,828777,110,1,48,827212,0,1
1,40,9061,56,1,74,6806,0,1
0,39,2776,158,0,117,509,1,0
1,28,211189,119,1,34,209180,0,1
1,46,7765,29,1,43,5519,0,1
0,1,3747,24,0,72,1363,1,1
0,53,555948,171,0,20,553549,1,0
0,70,487264,96,0,17,485114,1,0
0,7,763294,176,0,26,761027,1,0
0,36,1178466,118,0,44,1176085,1,0
1,34,53359,117,1,40,52601,0,1
1,23,96434,222,1,5,94266,0,1
1,22,45480,197,1,122,43330,0,1
1,39,609383,79,1,20,607077,0,0
1,2,5633,12,1,62,4134,0,0
1,112,813661,182,1,38,811541,0,0
0,56,243718,98,0,19,243449,3,0
0,87,480713,37,0,4,478230,1,0
1,67,114439,8,1,3,112868,0,1
0,61,14957,64,0,76,12933,1,0
1,27,356577,108,1,53,354673,0,0
0,19,371476,172,0,18,369323,1,0
1,54,50723,123,1,106,48507,0,1
1,68,562476,173,1,10,560179,0,0
0,29,56175,85,0,5,53914,1,1
1,85,1621,65,1,95,2,0,1
0,129,4679,116,0,40,2307,1,1
0,124,11646,126,0,107,9286,1,1
0,19,45278,102,0,18,42840,1,0
0,1,47037,178,0,120,44773,1,1
0,122,487691,30,0,18,485538,1,0
0,131,477337,10,0,9,476408,3,0
0,50,828692,195,0,49,827244,1,1
1,88,909033,32,1,40,906619,0,0
0,91,1062,3,0,71,1,3,0
0,60,15153,209,0,30,12949,1,1
1,8,81519,11,1,5,79698,0,1
0,59,65232,218,0,52,62692,1,1
0,19,710857,49,0,23,709519,2,0
0,100,76316,28,0,52,74154,1,1
1,65,799420,225,1,32,796943,0,0
0,124,7491,129,0,22,5182,1,1
0,124,2056,50,0,88,2,3,1
0,124,4947,45,0,86,2638,1,0
1,13,441740,93,1,29,439797,0,1
0,111,2326647,17,0,54,2325364,3,0
1,113,777368,224,1,32,775140,0,0
1,130,51771,234,1,36,49540,0,1
0,86,59089,40,0,57,56687,1,1
1,49,552888,219,1,15,550654,0,0
0,86,79561,120,0,57,77369,1,1
1,71,1451239,131,1,52,1449053,0,0
0,117,1009290,44,0,39,1006993,1,0
1,92,170211,125,1,50,168412,0,1
0,124,4516,54,0,91,3179,3,1
0,97,611448,113,0,10,610807,2,0
0,109,5046,160,0,118,2860,1,1
1,14,1375691,122,1,46,1373202,0,0
