Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,91,320234,147,147,15,319014,0
0,27,81801,40,40,45,80905,1
1,84,15410,226,226,38,14340,1
0,58,2162466,66,66,19,2161639,0
1,82,779639,95,95,14,778437,0
0,53,1098996,239,239,18,1097833,1
0,10,444826,201,201,14,443996,1
0,56,1077230,227,227,15,1076451,0
0,86,33929,169,169,2,32910,1
0,58,1422032,55,55,19,1421220,0
1,86,652441,52,52,8,651695,1
0,41,402463,87,87,5,401243,0
0,27,18040,108,108,58,16886,0
0,10,402910,139,139,14,402068,1
0,50,1153229,240,240,18,1151997,0
0,95,750678,156,156,18,750031,1
0,22,9906,4,4,23,8728,1
0,0,12258,155,155,69,11053,1
0,52,2202990,65,65,19,2202343,1
0,45,1011398,159,159,18,1010715,0
0,52,375897,23,23,19,375253,0
0,10,992655,211,211,14,991897,1
0,85,4632,137,137,32,3406,1
0,10,581117,205,205,14,580287,0
1,43,493669,121,121,15,492404,1
0,52,749602,56,56,19,748862,1
0,27,1832,61,61,47,591,0
0,24,217780,244,244,5,216641,0
0,50,1088191,238,238,18,1087412,1
0,62,822069,208,208,14,821287,0
1,37,10709,218,218,78,9531,0
0,39,23056,193,193,74,22262,0
0,10,691455,92,92,14,690643,0
1,8,497406,34,34,4,496306,0
0,38,365512,36,36,4,364310,1
0,27,9985,151,151,66,9303,0
1,2,4174,29,29,42,2966,0
0,10,1070767,196,196,14,1069991,0
0,55,599280,204,204,14,598465,1
0,0,26139,27,27,42,25351,1
1,25,182780,42,42,12,181743,1
0,48,196658,242,242,5,195561,0
0,62,394684,22,22,14,394031,1
0,65,1897997,128,128,18,1897239,0
0,27,1860,163,163,70,1114,1
0,55,589228,206,206,14,588062,0
0,71,400728,176,176,15,399566,0
0,7,617253,207,207,14,616495,0
1,53,745129,162,162,9,744176,0
0,96,1428734,54,54,19,1428093,0
0,45,1968229,126,126,18,1967444,1
1,93,13702,26,26,41,12743,0
0,71,1193619,232,232,15,1192936,0
0,79,210588,243,243,5,209491,0
1,77,17599,79,79,51,16553,0
0,10,1057942,133,133,14,1056725,0
0,53,663709,105,105,18,662936,1
0,99,1471918,183,183,17,1470884,0
1,64,884301,141,141,14,883339,1
0,27,18090,97,97,53,17131,0
0,53,1783506,130,130,18,1782673,1
