Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,24,38827,225,225,25,35924,1
1,185,4679,183,183,135,1893,0
1,13,308397,303,303,59,305485,0
1,69,825842,310,310,40,823350,0
0,139,502030,132,132,0,499289,0
1,97,79193,79,79,3,76656,1
1,142,2449,0,0,153,11,0
0,141,7010,291,291,149,4233,1
0,166,66235,247,247,41,64469,1
1,26,21822,317,317,13,18838,1
1,83,3014,97,97,67,228,1
0,5,77950,18,18,24,74987,1
1,4,510295,142,142,27,507728,1
1,69,847503,311,311,40,845194,0
1,92,6673,232,232,140,3815,0
1,9,181574,314,314,30,180063,1
1,36,625252,228,228,28,622190,0
1,145,1133115,270,270,53,1130755,1
1,137,60671,176,176,47,58218,1
1,154,2940,212,212,137,73,1
0,19,8383,219,219,138,7271,0
0,184,17724,293,293,60,14986,1
1,174,13435,272,272,145,10745,0
0,163,86361,188,188,15,83876,1
1,4,225780,80,80,27,223900,0
1,4,578138,101,101,27,576360,0
1,27,504140,267,267,2,500865,0
1,26,636457,213,213,13,635763,0
1,1,847195,164,164,35,845501,0
1,168,492362,28,28,1,490971,0
1,46,236472,223,223,3,233641,0
0,138,779582,203,203,31,776703,0
1,110,7188,126,126,122,4384,0
1,111,8831,112,112,120,6234,1
0,51,650247,103,103,27,648161,0
1,108,984,305,305,152,31,0
1,107,1094,24,24,76,159,1
0,133,24358,273,273,145,21590,0
0,90,1225,53,53,80,1,1
1,124,628999,144,144,12,626735,0
1,11,13990,117,117,16,11384,1
1,134,28068,65,65,68,25282,1
1,67,3158,254,254,94,408,1
1,132,2351295,264,264,59,2348338,0
0,29,9939,57,57,103,8926,0
0,23,65081,86,86,25,62292,1
1,14,9052,246,246,143,7148,1
0,180,805554,313,313,40,804478,0
0,94,782600,204,204,31,781197,0
1,86,3790,210,210,90,806,0
1,13,1721524,41,41,59,1718519,1
0,155,2010044,11,11,57,2009265,0
0,24,794113,242,242,33,793295,0
1,13,1008775,189,189,59,1006142,0
0,166,56433,248,248,41,54619,1
1,91,654938,252,252,27,652152,0
1,170,8756,146,146,46,5919,1
0,60,4216,134,134,48,1460,1
1,175,411506,59,59,33,408474,0
0,156,1137976,138,138,58,1133828,0
0,84,1204,128,128,88,2,0
0,109,8397,16,16,9,5578,1
0,7,764760,202,202,31,762982,0
1,147,976,21,21,75,2,1
1,105,587182,274,274,37,584897,1
1,6,3258,40,40,78,436,0
1,181,6116,58,58,104,4224,1
0,12,606712,237,237,12,603989,0
1,73,21218,241,241,26,18921,1
0,136,2501,85,85,38,102,1
1,159,7457,214,214,41,4911,1
0,54,490870,46,46,1,489493,0
1,171,4777,19,19,71,2027,1
0,76,26225,206,206,66,24447,1
1,74,22430,44,44,34,19944,1
1,162,15107,262,262,2,12237,1
0,16,169188,307,307,45,166855,1
0,128,663320,258,258,24,660522,0
0,24,58458,116,116,16,55432,1
0,60,1185502,70,70,48,1183688,0
1,13,644271,100,100,59,641242,1
1,138,16574,222,222,139,14088,1
0,157,3713,284,284,98,2106,0
1,122,59561,141,141,51,57681,1
0,2,3597,234,234,141,1834,0
1,103,5794,137,137,124,3014,0
0,0,655728,169,169,18,653962,0
1,167,41742,308,308,45,39727,1
0,55,791878,123,123,37,790079,0
1,175,760085,243,243,33,757590,0
0,79,169312,67,67,56,166550,0
1,178,130785,106,106,20,128263,0
1,77,122539,190,190,14,120197,1
0,119,594892,226,226,28,591674,0
0,53,571445,198,198,21,567813,0
1,113,690966,179,179,32,687994,0
1,28,9553,115,115,86,7784,0
1,75,582823,22,22,21,581135,0
0,155,1917064,173,173,57,1914173,1
1,77,25743,230,230,14,24748,1
1,108,71114,195,195,4,69705,1
0,120,103187,323,323,9,101616,0
0,62,702008,180,180,32,700188,0
