Strand_Orientation,Gene_Description,Chromosome_Id,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Entity_Type,Genomic_End_Position
0,0,28,1711409,10,2,10,0,1713823
1,0,4,29866,100,1,100,1,32772
1,0,5,371611,31,2,31,0,373899
1,0,23,719244,78,2,78,0,721934
0,0,20,425755,91,3,91,0,428427
1,0,30,1514173,46,2,46,0,1516533
0,0,15,462814,163,2,163,0,465591
1,0,56,51578,34,2,34,0,54199
1,0,23,949273,118,1,118,1,952113
0,0,29,1022305,233,2,233,0,1024944
1,0,19,197364,38,1,38,1,199898
0,0,21,402206,120,2,120,0,404584
0,0,23,470631,202,3,202,0,473501
0,0,19,243767,90,2,90,0,246580
0,0,42,30969,29,2,29,0,33755
0,0,6,353552,244,2,244,0,355891
0,0,30,600009,47,2,47,0,602339
1,0,23,1098211,194,1,194,1,1100880
0,0,24,1120611,221,1,221,1,1123469
0,0,30,1158613,168,2,168,0,1161129
1,0,83,30248,216,1,216,1,32977
1,0,53,30843,28,2,28,0,33431
0,0,12,182293,7,2,7,0,184674
1,0,30,1755496,188,2,188,0,1757922
0,0,1,550610,173,3,173,0,553480
0,0,54,13502,32,2,32,0,16153
1,0,6,290183,245,2,245,0,292921
0,0,5,253732,178,2,178,0,256062
0,0,59,22811,53,2,53,0,25495
1,0,76,6085,195,2,195,0,8691
1,0,11,177890,213,2,213,0,180436
1,0,80,12538,212,2,212,0,15222
0,0,23,847319,205,2,205,0,849988
1,0,29,1916677,106,2,106,0,1919214
0,0,15,544250,144,2,144,0,546874
0,0,29,1011738,136,1,136,1,1014233
0,0,7,516413,251,2,251,0,519004
0,0,30,1173581,167,2,167,0,1176004
1,0,19,79808,139,3,139,0,82609
0,0,24,314314,121,1,121,1,316755
0,0,29,620053,44,2,44,0,622377
1,0,24,480707,99,2,99,0,483376
0,0,30,1311887,93,2,93,0,1314205
1,0,23,1013150,209,2,209,0,1015945
1,0,14,201761,66,2,66,0,204433
0,0,29,1743231,15,2,15,0,1745786
1,0,4,122370,84,2,84,0,125132
0,0,51,14982,24,1,24,1,17633
0,0,67,1423,123,2,123,0,4209
0,0,5,185287,232,2,232,0,187941
0,0,25,1032837,61,2,61,0,1035713
0,0,16,422410,137,2,137,0,425184
0,0,15,510834,257,3,257,0,513629
1,0,30,563163,86,2,86,0,565358
0,0,24,1112378,220,2,220,0,1115182
0,0,15,429818,160,1,160,1,432436
1,0,17,215884,58,2,58,0,218715
1,0,3,84020,154,1,154,1,86749
0,0,19,393418,73,1,73,1,396102
0,0,2,104540,254,1,254,1,107074
0,0,29,600077,45,2,45,0,602587
0,0,15,387120,165,1,165,1,389747
0,0,17,419294,200,2,200,0,422008
0,0,25,1063010,198,2,198,0,1065877
0,0,15,375975,164,2,164,0,378614
0,0,5,306937,112,2,112,0,309384
1,0,6,583331,85,2,85,0,585607
0,0,49,4697,22,2,22,0,7162
1,0,14,647633,42,3,42,0,650434
1,0,48,20606,218,2,218,0,23290
0,0,61,7462,64,2,64,0,9867
1,0,23,439932,201,1,201,1,442799
1,0,28,1692543,9,2,9,0,1695278
0,0,15,697620,17,2,17,0,700388
0,0,58,11996,50,3,50,0,14845
0,0,81,5759,214,2,214,0,8092
1,0,78,11352,197,1,197,1,13979
0,0,23,1042786,208,3,208,0,1045611
0,0,64,12438,89,2,89,0,15062
0,0,23,1059124,114,4,114,0,1061168
1,0,47,5269,172,3,172,0,8115
1,0,32,376740,170,2,170,0,379418
1,0,29,1963551,105,2,105,0,1966199
0,0,23,582301,204,3,204,0,585177
0,0,7,472298,143,2,143,0,475012
0,0,30,1322082,92,2,92,0,1324430
1,0,29,1093946,235,2,235,0,1096585
1,0,77,6749,196,1,196,1,9580
1,0,20,48174,153,2,153,0,50888
1,0,29,1060310,234,2,234,0,1062895
0,0,21,756089,48,2,48,0,758419
0,0,74,9967,152,2,152,0,12594
1,0,83,6579,217,2,217,0,9089
