Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,3818,117,1,70,2061
0,497232,50,0,1,497002
0,1220025,98,1,36,1218841
0,2356,7,1,44,188
1,553680,111,1,24,551527
0,17469,87,1,49,15220
0,551749,32,0,18,551012
1,160581,125,1,12,159610
1,17708,30,1,57,16425
0,802663,58,1,29,801878
1,501852,59,1,33,499696
1,1105132,106,1,32,1103840
1,590889,96,1,15,588715
0,2355697,100,1,38,2354525
1,5081,19,1,11,2874
0,2356776,6,1,38,2355799
0,1431,21,1,51,1
0,1193345,105,1,32,1191366
0,195717,5,1,7,194815
1,395040,110,1,24,392911
0,1058918,108,1,34,1056777
1,114991,85,1,3,114542
1,161676,78,1,12,160684
1,5239,49,1,60,3059
1,2942,34,1,58,882
1,603844,97,1,15,602780
1,18169,8,1,16,16115
0,508321,33,1,2,506186
1,32651,27,1,55,31587
0,646319,103,1,13,643902
1,346367,41,1,24,344166
0,2001346,64,1,37,1998842
0,705460,51,1,24,703286
0,203063,81,1,6,200871
0,5373,104,1,67,3175
1,80858,14,1,38,80019
0,53186,22,1,0,51024
1,18788,26,1,42,16752
1,5374,107,1,68,4073
0,305003,101,1,24,302736
0,194168,89,1,18,192141
1,605835,113,1,32,604711
1,302402,44,0,12,301785
1,628874,56,1,15,628374
1,1560715,16,1,38,1558235
1,141673,126,1,12,140918
1,38921,60,1,11,36609
1,352533,109,0,40,352018
0,879776,20,1,27,877512
1,229342,93,1,27,227192
1,6731,35,1,29,4560
1,628270,37,1,15,627785
0,875271,71,0,32,874933
1,53693,57,1,30,52560
1,1092022,122,1,37,1090076
0,122127,119,1,71,120202
1,2117,25,1,54,3
0,573072,94,1,18,571858
0,10034,9,1,45,9492
1,64228,75,1,22,62066
1,238993,67,1,25,236726
0,479217,79,1,14,477172
0,606833,36,1,38,604902
1,356850,24,0,41,356083
0,6331,18,1,50,3935
1,69895,4,1,22,67685
1,27802,123,1,73,25553
1,4270,23,1,52,3989
0,149082,120,1,71,147823
0,551317,83,1,19,549344
1,85717,39,1,3,84713
0,12912,3,0,43,12295
1,116089,76,0,2,115388
0,24063,90,1,66,21859
0,399746,92,1,19,397836
0,551038,38,1,15,548948
1,258202,88,1,27,255983
1,7513,2,1,26,7115
0,522056,129,1,14,520707
0,560632,53,1,18,560198
1,8796,43,1,4,6766
0,242101,45,0,17,241769
0,742170,80,1,24,739927
0,13846,12,1,46,12761
1,886828,77,1,37,884852
0,656983,70,1,32,654773
1,29812,132,1,28,28472
1,45873,86,1,65,43711
0,2323,66,1,62,1850
0,510087,17,1,32,508918
1,20468,95,1,5,18309
0,47761,116,1,70,45575
1,2179419,99,1,37,2176948
0,143770,130,1,8,141896
0,395811,48,1,21,393328
0,50190,28,1,56,48196
1,107570,31,1,10,105642
1,216636,68,1,25,214564
1,26356,42,1,59,24182
1,521,0,0,53,3
0,2747,84,1,64,2046
0,843337,63,1,23,841178
0,630544,13,1,19,630077
1,61722,124,1,37,61057
0,414917,91,1,19,412986
1,9794,121,1,72,7884
0,630340,40,1,20,629867
0,576256,1,1,18,575726
1,8315,11,1,32,7779
0,640806,112,1,10,638620
0,808511,73,1,19,806334
1,45587,118,1,71,43530
1,7341,15,1,47,5542
1,591642,55,0,15,591283
0,28251,115,1,69,27310
1,15656,47,1,1,13635
0,495949,82,1,19,493973
1,33070,65,1,61,31073
0,12118,52,1,48,9896
1,569,74,0,63,3
0,1428134,62,1,36,1426182
0,2001160,72,1,35,1999253
1,967593,54,1,38,965515
0,1157244,29,0,31,1157023
1,292285,128,1,25,290090
1,131468,102,1,39,129252
0,429,127,1,74,1
0,461012,69,0,10,460530
0,804175,46,1,24,801998
0,1718373,10,1,36,1716442
0,111044,131,1,9,109113
0,853635,114,1,32,852247
1,1375094,61,1,36,1372983
