Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,301826,242,0,29,299487
1,0,32772,98,1,4,29866
1,0,373899,29,0,5,371611
1,0,721934,76,0,23,719244
0,0,428427,89,0,20,425755
1,0,1516533,44,0,30,1514173
0,0,465591,162,0,15,462814
1,0,54199,32,0,56,51578
1,0,952113,117,1,23,949273
1,0,1062895,234,0,29,1060310
1,0,199898,36,1,19,197364
0,0,404584,119,0,21,402206
0,0,473501,202,0,23,470631
0,0,246580,88,0,19,243767
0,0,33755,27,0,42,30969
0,0,355891,244,0,6,353552
1,0,993191,45,0,30,990858
1,0,1100880,194,1,23,1098211
0,0,1123469,221,1,24,1120611
0,0,1161129,167,0,30,1158613
1,0,32977,216,1,83,30248
1,0,33431,26,0,53,30843
0,0,184674,6,0,12,182293
1,0,1757922,188,0,30,1755496
0,0,553480,174,0,1,550610
0,0,16153,30,0,54,13502
1,0,292921,245,0,6,290183
0,0,256062,179,0,5,253732
0,0,25495,51,0,59,22811
1,0,8691,195,0,76,6085
1,0,180436,213,0,11,177890
1,0,15222,212,0,80,12538
0,0,849988,205,0,23,847319
1,0,1966199,104,0,29,1963551
0,0,546874,143,0,15,544250
0,0,1024944,233,0,29,1022305
0,0,519004,251,0,7,516413
0,0,1176004,166,0,30,1173581
1,0,82609,138,0,19,79808
0,0,316755,120,1,24,314314
0,0,735391,129,0,29,733043
1,0,483376,97,0,24,480707
0,0,1314205,91,0,30,1311887
1,0,1015945,209,0,23,1013150
1,0,204433,64,0,14,201761
1,0,1800605,109,0,29,1797939
1,0,125132,82,0,4,122370
0,0,17633,22,1,51,14982
0,0,4209,122,0,67,1423
0,0,187941,232,0,5,185287
0,0,1035713,59,0,25,1032837
0,0,425184,136,0,16,422410
0,0,513629,257,0,15,510834
1,0,568671,173,0,30,566338
0,0,1115182,220,0,24,1112378
0,0,432436,159,1,15,429818
1,0,218715,56,0,17,215884
1,0,86749,153,1,3,84020
0,0,396102,71,1,19,393418
0,0,107074,254,1,2,104540
0,0,622377,42,0,29,620053
0,0,389747,164,1,15,387120
