Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,12909,144,0,113,10807
0,0,6110,100,0,101,3849
0,0,457048,91,1,9,454787
0,0,478833,231,0,6,476677
0,0,16869,153,0,116,14662
0,0,552888,219,1,15,550654
1,0,20192,202,1,29,18165
1,0,3770,51,0,89,732
1,0,828777,109,1,48,827212
1,0,9061,56,1,74,6806
0,0,2776,156,0,117,509
1,0,211189,118,1,34,209180
1,0,7765,30,1,43,5519
1,0,3747,24,0,72,1363
0,1,692573,70,0,19,690150
1,0,27924,6,0,17,26149
0,0,763294,175,0,26,761027
0,0,1178466,117,0,44,1176085
1,0,53359,116,1,40,52601
1,0,96434,222,1,5,94266
1,0,45480,196,1,122,43330
0,0,604953,81,0,20,602554
0,0,5633,12,1,62,4134
0,0,813661,181,1,38,811541
1,0,4215,72,0,19,1969
0,0,480713,38,0,4,478230
1,0,114439,8,1,3,112868
0,0,14957,64,0,76,12933
0,0,356577,107,1,53,354673
0,0,45278,101,0,18,42840
1,0,50723,122,1,106,48507
0,0,562476,172,1,10,560179
1,0,56175,86,0,5,53914
1,0,1621,65,1,95,2
1,0,4679,115,0,40,2307
1,0,11646,125,0,107,9286
0,0,487264,96,0,17,485114
1,0,47037,177,0,120,44773
0,0,371476,171,0,18,369323
0,0,477337,10,0,9,476408
1,0,828692,194,0,49,827244
0,0,909033,33,1,40,906619
0,0,1062,3,0,71,1
1,0,15153,208,0,30,12949
1,0,81519,11,1,5,79698
1,0,65232,218,0,52,62692
0,0,707127,49,0,23,704929
1,0,76316,29,0,52,74154
0,0,799420,225,1,32,796943
1,0,3230,129,0,22,921
1,0,2056,50,0,88,2
0,0,4947,46,0,86,2638
1,0,441740,94,1,29,439797
0,0,2326647,17,0,54,2325364
0,0,777368,224,1,32,775140
1,0,51771,234,1,36,49540
1,0,59089,41,0,57,56687
1,0,113111,167,1,15,111105
1,0,79561,119,0,57,77369
0,0,1451239,130,1,52,1449053
0,0,1009290,45,0,39,1006993
1,0,170211,124,1,50,168412
1,0,4516,54,0,91,3179
0,0,611448,112,0,10,610807
1,0,5046,159,0,118,2860
0,0,1375691,121,1,46,1373202
1,0,4025,165,0,16,1761
1,0,224206,201,1,35,222371
0,0,689616,83,1,54,687517
1,0,372955,230,1,29,370655
0,0,1204656,197,1,46,1202680
1,0,11060,143,1,32,8994
1,0,2096,147,1,114,747
0,0,1138,5,0,108,2
1,0,8253,103,1,42,6340
0,0,1189025,188,1,52,1186812
0,0,496899,102,1,1,495853
1,0,1474,16,0,31,101
