Gene_Instance_Type,Gene_Db_Id,Gene_Label,Chromosome_Location,Genomic_End_Position,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,69,69,3,6183679,1,4,6183107,1,2
0,158,158,3,15473394,1,2,15472339,1,2
0,55,55,3,4897100,0,4,4896537,1,2
0,66,66,3,5842228,5,2,5841020,0,2
0,160,160,3,15675337,5,4,15674144,0,2
0,150,150,3,14732320,5,2,14731049,0,2
0,29,29,3,3169644,5,4,3168325,0,2
0,17,17,3,2228866,5,2,2227604,0,2
0,50,50,3,4226544,5,4,4225261,0,2
0,151,151,3,14799720,5,4,14798443,1,2
0,21,21,3,2677060,5,4,2675867,0,2
1,12,12,3,1545531,5,6,1544263,1,2
0,45,45,3,4006991,0,2,4006044,0,2
0,76,76,3,6933043,5,4,6931754,1,2
0,139,139,3,13672915,5,2,13671617,0,2
0,124,124,3,12936549,0,2,12935650,1,2
0,2,2,3,363090,5,2,361906,0,2
0,105,105,3,11085268,0,2,11084633,0,2
1,46,46,3,4161969,5,1,4161139,1,2
0,100,100,3,10676665,5,4,10675466,0,2
0,91,91,3,9962770,5,4,9961565,1,2
0,116,116,3,12239301,5,2,12238015,0,2
0,85,85,3,8787078,1,4,8786017,1,2
0,136,136,3,13583197,5,2,13581920,0,2
1,22,22,3,2690449,5,1,2689139,1,2
0,8,8,3,1093555,5,2,1092257,1,2
0,26,26,3,3123542,5,4,3122598,1,2
1,20,20,3,2358334,8,1,2357342,1,2
0,33,33,3,3215668,5,4,3214463,0,2
0,63,63,3,5644012,5,2,5642816,1,2
0,78,78,3,7192762,0,4,7191686,1,2
1,112,112,3,11900435,5,1,11899158,1,2
0,41,41,3,3817259,5,2,3815985,0,2
0,93,93,3,10173729,5,2,10172416,1,2
0,130,130,3,13204367,5,4,13203081,0,2
0,60,60,3,5552738,5,2,5551461,1,2
1,32,32,3,3210847,7,1,3209575,0,2
0,101,101,3,10683996,5,4,10682815,0,2
0,62,62,3,5568928,5,4,5567735,0,2
0,135,135,3,13576452,5,4,13575187,0,2
0,18,18,3,2238223,5,4,2236973,0,2
0,110,110,3,11621619,4,2,11621149,1,2
0,86,86,3,8824567,5,2,8823365,1,2
1,153,153,3,15156491,5,6,15155178,1,2
0,163,163,0,19650,3,8,18274,0,2
0,61,61,3,5558225,5,2,5557032,1,2
0,36,36,3,3473723,5,2,3472431,1,2
0,99,99,3,10574433,0,2,10573783,0,2
0,88,88,3,9057966,1,4,9057122,0,2
0,73,73,3,6770211,1,4,6769420,0,2
0,68,68,3,6019052,1,2,6018529,1,2
0,111,111,3,11841320,1,2,11840256,0,2
1,27,27,3,3164885,5,6,3163630,0,2
0,94,94,3,10452161,5,2,10450995,1,2
0,51,51,3,4227482,1,2,4226692,0,2
0,15,15,3,1966876,0,2,1965572,1,2
0,109,109,3,11410486,5,2,11409200,1,2
