Gene_Instance_Type,Gene_Db_Id,Gene_Label,Chromosome_Location,Genomic_End_Position,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,42,42,1,8612336,4,4,8611344,1,2
0,16,16,1,3081871,1,1,3080681,1,2
0,61,61,1,12354443,1,4,12353253,0,2
0,34,34,1,6766964,1,4,6765732,0,2
0,57,57,1,11551469,4,1,11550267,1,2
0,10,10,1,1089846,4,4,1088683,1,2
0,32,32,1,6676322,1,4,6675129,1,2
0,30,30,1,6053849,1,4,6052656,1,2
0,6,6,1,414722,1,1,413547,1,2
0,68,68,1,13408403,4,4,13407831,0,2
0,7,7,1,492614,1,4,491448,0,2
0,81,81,1,15870816,4,1,15870277,0,2
0,62,62,1,12773957,4,4,12772968,1,2
0,21,21,1,3402563,1,1,3401394,0,2
0,63,63,1,13210472,1,1,13209345,0,2
0,2,2,1,356747,1,1,355572,0,2
0,49,49,1,9899168,1,1,9897996,1,2
0,43,43,1,8613870,4,4,8612686,1,2
0,29,29,1,5938276,4,4,5937767,0,2
0,25,25,1,4823519,5,4,4822885,1,2
0,11,11,1,2044110,4,1,2043331,0,2
0,51,51,1,10571717,1,4,10570521,0,2
0,24,24,1,4214005,1,4,4212824,0,2
0,4,4,1,408894,4,1,408100,1,2
0,33,33,1,6765221,1,4,6763905,0,2
0,53,53,1,10607533,4,4,10606991,1,2
0,54,54,1,10809784,4,1,10809137,0,2
0,20,20,1,3401248,1,1,3400106,0,2
0,13,13,1,2838634,4,1,2837444,0,2
0,67,67,1,13407753,4,1,13407226,0,2
0,19,19,1,3212300,4,1,3211749,0,2
0,58,58,1,11626272,4,4,11625532,1,2
0,37,37,1,7602837,1,1,7601662,1,2
0,8,8,1,558801,5,4,558080,0,2
0,18,18,1,3087162,1,1,3085927,1,2
0,82,82,0,10373,0,3,9612,0,2
0,12,12,1,2045453,1,1,2044257,0,2
0,28,28,1,5937421,1,4,5936234,0,2
0,5,5,1,410615,4,4,410097,1,2
0,64,64,1,13228357,4,4,13227530,1,2
0,3,3,1,398215,5,1,397317,1,2
0,52,52,1,10606606,1,4,10605416,1,2
0,26,26,1,5414698,4,1,5413517,0,2
0,72,72,1,13932962,4,4,13932498,0,2
0,66,66,1,13372920,4,1,13372411,1,2
0,41,41,1,8450233,4,1,8449220,0,2
0,38,38,1,7618089,4,1,7616908,0,2
0,55,55,1,11383923,1,4,11382754,0,2
0,35,35,1,6856800,4,1,6855601,1,2
0,77,77,1,15412341,1,4,15411130,1,2
0,48,48,1,9897846,1,4,9896650,1,2
0,78,78,1,15413653,1,4,15412484,1,2
0,75,75,1,15072612,5,1,15071765,0,2
0,31,31,1,6054405,4,1,6053935,1,2
0,45,45,1,9106051,1,4,9104870,1,2
0,36,36,1,7601551,1,1,7600316,1,2
0,71,71,1,13932350,1,4,13931175,0,2
0,44,44,1,9099615,4,1,9098842,1,2
0,60,60,1,12248124,4,1,12247558,1,2
0,23,23,1,3896545,4,4,3895379,1,2
0,76,76,1,15159675,4,4,15158683,1,2
0,46,46,1,9723649,1,1,9722462,0,2
0,50,50,1,10045354,1,1,10044164,1,2
0,79,79,1,15851832,1,1,15850639,1,2
0,27,27,1,5415652,5,4,5414846,0,2
0,22,22,1,3427506,1,4,3426283,1,2
0,0,0,2,839907,4,0,838888,1,0
0,40,40,1,7662482,1,1,7661289,0,2
0,15,15,1,2923578,4,4,2922895,1,2
1,1,1,3,892186,3,2,891151,1,1
0,17,17,1,3083202,1,1,3082024,1,2
0,70,70,1,13475378,2,4,13474209,1,2
0,74,74,1,14806275,1,4,14805079,1,2
0,59,59,1,11917010,4,4,11916402,0,2
0,69,69,1,13409742,4,4,13408747,0,2
0,65,65,1,13259425,4,4,13258604,0,2
0,14,14,1,2840034,1,4,2838790,0,2
0,47,47,1,9782627,4,1,9782091,1,2
0,56,56,1,11385245,1,4,11384034,0,2
0,9,9,1,1088538,4,4,1087609,1,2
0,73,73,1,14660304,1,4,14659117,1,2
0,39,39,1,7624481,1,1,7623300,0,2
0,80,80,1,15853163,1,4,15851985,1,2
