Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,72,313057,145,145,17,15,312338
1,28,81801,40,40,11,45,80905
1,86,15410,226,226,2,38,14340
1,36,2151652,66,66,9,20,2150759
1,15,749937,93,93,17,14,749176
1,53,1088191,237,237,17,19,1087412
1,4,432941,203,203,0,14,432381
1,21,497744,120,120,35,15,496932
1,88,33929,166,166,20,2,32910
1,73,1227756,106,106,27,20,1227118
1,88,652441,52,52,2,8,651695
0,42,402463,85,85,21,5,401243
0,28,18040,108,108,23,58,16886
1,65,394684,23,23,1,14,394031
1,56,1098996,238,238,3,19,1097833
1,56,663709,104,104,11,19,662936
0,75,738,2,2,0,23,1
1,0,12258,153,153,23,69,11053
0,61,2162466,65,65,11,20,2161639
1,3,937169,156,156,2,19,936387
1,14,269718,147,147,2,20,269074
1,9,946792,5,5,22,14,945539
1,87,4632,135,135,22,32,3406
1,84,563168,89,89,2,14,561921
1,44,477748,119,119,2,15,476525
0,61,731234,56,56,11,20,730422
0,28,1832,60,60,22,47,591
0,25,217780,244,244,12,5,216641
1,20,1034038,239,239,13,19,1032938
0,84,779639,94,94,2,14,778437
0,38,10709,218,218,2,78,9531
0,40,23056,192,192,19,74,22262
1,4,667923,92,92,2,14,666610
0,7,497406,34,34,2,4,496306
1,39,365512,36,36,23,4,364310
0,28,9985,149,149,0,66,9303
0,2,4174,29,29,2,42,2966
0,9,1057942,131,131,22,14,1056725
0,58,589228,206,206,23,14,588062
1,0,26139,27,27,11,42,25351
1,26,182780,42,42,2,12,181743
0,51,196658,242,242,15,5,195561
0,65,387281,11,11,23,14,386064
0,3,1887968,127,127,2,19,1886823
1,28,1860,160,160,0,70,1114
0,9,581117,205,205,16,14,580287
0,72,386514,172,172,22,15,385279
1,58,599280,204,204,11,14,598465
0,56,745129,159,159,2,9,744176
0,61,1422032,55,55,16,20,1421220
1,13,1921338,125,125,2,19,1920505
0,95,13702,26,26,2,41,12743
0,72,1173402,230,230,19,15,1172566
0,81,210588,243,243,20,5,209491
0,79,17599,77,77,2,51,16553
0,65,1049347,132,132,16,14,1048619
0,29,358168,102,102,25,19,357524
0,80,1247221,177,177,2,18,1246121
0,9,878597,141,141,11,14,877761
0,28,18090,96,96,31,53,17131
0,79,1778534,129,129,14,19,1777443
0,72,1193619,231,231,1,15,1192936
1,101,5205,97,97,2,54,4201
1,55,2202990,64,64,25,20,2202343
0,96,153559,234,234,31,80,152606
0,92,4472,216,216,23,76,3321
1,55,975187,116,116,31,20,974237
0,55,1745136,191,191,17,20,1744339
1,63,19523,47,47,23,29,18321
0,95,38006,197,197,11,75,37197
1,69,1147481,174,174,7,18,1146423
1,33,226729,43,43,0,12,226322
0,70,76658,39,39,0,45,76494
1,55,983808,114,114,31,20,982858
0,97,914563,155,155,27,19,913814
0,72,400728,173,173,0,15,399566
1,73,979496,115,115,31,20,978543
1,44,493669,121,121,35,15,492404
1,94,3831,167,167,2,73,3070
0,68,3587,161,161,2,71,2544
1,28,10011,38,38,11,44,9199
1,73,1447013,54,54,26,20,1446237
0,83,36547,223,223,9,37,35690
1,89,531335,170,170,0,1,530982
0,72,462427,171,171,11,15,461594
1,36,1905082,67,67,11,20,1904309
0,55,1474427,53,53,28,20,1473666
0,59,1098330,232,232,9,15,1097515
0,48,41345,78,78,34,31,40839
1,11,2102,111,111,2,59,1101
0,50,1062126,196,196,24,16,1060936
0,9,705599,91,91,19,14,704769
1,6,77581,7,7,20,8,76523
0,9,837722,210,210,0,14,837087
1,45,1677,75,75,29,49,712
0,72,272963,214,214,17,15,272211
0,17,11639,198,198,2,75,10170
1,29,2187940,183,183,25,19,2187290
0,100,1471918,180,180,5,18,1470884
1,28,2879,133,133,11,62,2091
0,60,12102,220,220,0,35,11231
1,4,551759,87,87,2,14,550737
1,23,9906,4,4,22,24,8728
0,9,863354,140,140,9,14,862533
0,5,2640,168,168,2,33,1327
1,13,2049687,186,186,2,19,2048413
0,39,384191,37,37,15,4,383100
1,54,323886,158,158,26,11,323095
0,90,571633,48,48,11,7,570836
0,14,663114,17,17,2,20,662260
1,24,826530,13,13,19,19,825718
0,0,31139,61,61,22,48,29922
0,18,1229889,176,176,20,18,1228786
0,80,1218003,107,107,0,20,1217665
0,4,290434,80,80,2,14,289571
1,6,1022329,213,213,19,14,1021526
1,1,27009,45,45,2,29,25858
1,98,987733,113,113,0,20,987176
0,83,31870,222,222,11,37,31118
1,26,295086,100,100,2,12,293887
1,65,941707,6,6,11,14,940901
0,64,2901,221,221,2,36,1762
0,49,1588977,122,122,32,18,1588012
0,62,644758,118,118,26,6,643769
1,91,17814,235,235,29,80,16873
1,97,750678,154,154,25,19,750031
1,45,1790,8,8,2,25,1116
1,66,7239,181,181,2,0,5971
0,41,41030,151,151,2,68,39978
0,0,19059,165,165,11,72,18244
1,4,1152958,194,194,2,14,1151783
0,73,1694274,68,68,25,20,1693627
1,35,2521,109,109,2,58,1283
0,72,247509,144,144,11,15,246700
0,98,684782,57,57,31,20,683826
0,9,1070767,195,195,11,14,1069991
0,26,137805,157,157,2,12,136807
1,9,461022,201,201,30,14,460051
0,47,1577124,188,188,12,19,1576114
1,0,11189,50,50,23,46,10047
0,103,5008,9,9,11,26,4142
0,0,39296,62,62,22,48,38151
1,6,375903,35,35,20,4,374896
0,92,12268,236,236,22,81,10958
1,80,2029082,21,21,22,20,2027874
0,28,13009,152,152,23,68,11804
0,90,550504,49,49,11,7,549704
1,34,11743,224,224,11,37,10985
0,35,556235,169,169,2,1,555144
0,72,1148502,228,228,11,15,1147669
0,76,381597,15,15,2,10,380962
1,57,36628,46,46,23,29,35402
0,49,2155792,184,184,25,19,2155145
1,19,9178,74,74,11,30,8375
0,74,29968,163,163,2,72,28721
0,100,1648331,123,123,12,18,1647294
0,65,492438,202,202,22,14,491209
0,54,23852,33,33,35,28,23046
1,100,1522877,179,179,26,18,1521903
1,48,178084,110,110,21,17,176870
0,84,15379,219,219,11,78,14528
0,82,77977,41,41,11,3,77144
0,6,617253,207,207,11,14,616495
1,28,3650,148,148,6,65,2478
1,9,537352,88,88,22,14,536177
1,61,35179,44,44,2,13,34406
1,28,614,51,51,0,46,222
1,97,1912694,126,126,26,19,1911738
1,26,287088,99,99,2,12,285889
0,59,1165493,229,229,11,15,1164663
1,28,37248,164,164,23,72,35989
0,99,37518,31,31,11,28,36670
1,56,1783506,128,128,11,19,1782673
0,25,432927,247,247,15,5,431740
1,28,13082,112,112,0,60,12327
0,93,320234,146,146,23,15,319014
1,4,827468,209,209,2,14,826311
0,28,28969,25,25,1,40,28568
1,77,3769,1,1,0,22,3023
0,53,335,10,10,0,26,3
1,33,227094,20,20,1,12,226831
0,0,14090,63,63,22,48,12945
1,14,1026,225,225,0,79,841
0,0,1863,103,103,19,57,1015
1,61,1989097,190,190,11,20,1988282
0,8,445921,19,19,2,4,445157
0,6,247162,12,12,11,14,246347
1,6,1018268,212,212,7,14,1017216
0,28,23025,134,134,0,63,22318
1,85,1675,215,215,11,34,854
0,102,26635,162,162,35,72,25832
1,61,2097143,189,189,11,20,2096334
0,29,2142542,185,185,26,19,2141583
0,31,392050,86,86,0,12,391007
1,54,55904,32,32,2,28,55386
0,55,1679298,71,71,26,20,1678525
0,0,10624,95,95,33,52,9845
0,46,255296,142,142,19,15,254511
0,9,305564,84,84,8,14,304740
0,27,486743,58,58,15,1,485586
0,6,277578,82,82,11,14,276769
0,65,822069,208,208,19,14,821287
0,39,177073,105,105,2,21,175745
1,52,265814,200,200,26,11,265029
0,28,18784,98,98,19,55,18002
1,9,992655,211,211,11,14,991897
0,9,297062,79,79,22,14,295851
1,37,13592,101,101,2,56,12324
1,0,30765,28,28,11,42,29968
0,6,422034,18,18,15,4,420934
0,65,907521,139,139,22,14,906301
0,45,12388,136,136,0,64,11468
1,97,2202884,182,182,25,19,2202237
1,32,65754,233,233,29,80,64810
1,100,1487286,178,178,15,18,1486264
1,10,17173,217,217,23,77,16040
0,28,13948,30,30,10,43,13148
0,9,313431,83,83,11,14,312547
0,9,285745,81,81,11,14,284939
1,73,970864,117,117,31,20,969914
0,73,1631767,70,70,25,20,1631120
0,43,6002,241,241,2,82,5043
1,36,1564778,72,72,17,20,1564014
1,80,643595,16,16,11,20,642765
1,9,407549,137,137,11,14,406749
0,6,251858,22,22,0,14,251211
1,12,4723,24,24,2,39,4340
1,28,23810,59,59,22,47,22572
0,76,231201,246,246,28,5,230431
1,56,2089274,124,124,25,19,2088630
0,28,13418,150,150,17,67,12669
0,55,1687805,69,69,4,20,1687044
0,17,25842,199,199,2,75,24370
0,30,9998,76,76,2,50,9753
0,53,1153229,240,240,22,19,1151997
0,100,1221966,175,175,15,18,1220947
0,16,1604402,187,187,18,19,1603254
1,6,1075329,3,3,1,14,1075195
1,67,884301,138,138,2,14,883339
1,71,13960,14,14,2,27,13361
0,93,1106541,227,227,22,15,1105297
1,22,655,0,0,2,83,2
0,34,223492,245,245,35,5,222386
1,14,1592913,73,73,35,20,1591840
0,9,658646,90,90,11,14,657867
0,72,266241,143,143,11,15,265438
0,78,11872,130,130,2,61,11348
0,15,1207750,193,193,22,14,1206605
