Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,38827,226,226,1,25,35924,1
1,0,4679,184,184,1,134,1893,0
0,0,9869,53,53,0,58,8244,1
1,0,825842,310,310,1,40,823350,0
0,0,502030,130,130,0,0,499289,0
1,0,79193,77,77,1,3,76656,1
1,0,2449,0,0,1,152,11,0
0,0,7010,291,291,0,148,4233,1
0,0,66235,248,248,0,41,64469,1
1,0,21822,317,317,1,13,18838,1
1,0,3014,94,94,1,66,228,1
0,0,77950,17,17,0,24,74987,1
1,0,510295,141,141,1,27,507728,1
1,0,847503,311,311,1,40,845194,0
1,0,6673,233,233,1,139,3815,0
1,0,181574,314,314,1,30,180063,1
1,0,625252,229,229,1,28,622190,0
1,0,981807,277,277,1,52,979324,1
1,0,16715,187,187,1,46,14439,1
1,0,2940,213,213,1,136,73,1
0,0,8383,220,220,0,137,7271,0
0,0,17724,293,293,0,59,14986,1
1,0,13435,271,271,1,144,10745,0
0,0,86361,189,189,0,15,83876,1
1,0,225780,78,78,1,27,223900,0
1,0,578138,99,99,1,27,576360,0
1,0,504140,267,267,1,2,500865,0
1,0,636457,214,214,1,13,635763,0
1,0,847195,164,164,1,35,845501,0
1,0,492362,27,27,1,1,490971,0
1,0,236472,224,224,1,3,233641,0
0,0,779582,204,204,0,31,776703,0
1,0,7188,124,124,1,121,4384,0
1,0,8831,110,110,1,119,6234,1
0,0,650247,101,101,0,27,648161,0
1,0,984,304,304,1,151,31,0
1,0,1094,23,23,1,75,159,1
0,0,24358,272,272,0,144,21590,0
0,0,1225,52,52,0,79,1,1
1,0,628999,143,143,1,12,626735,0
1,0,13990,115,115,1,16,11384,1
1,0,28068,64,64,1,67,25282,1
1,0,3158,255,255,1,93,408,1
1,0,2351295,264,264,1,58,2348338,0
0,0,9939,56,56,0,102,8926,0
0,0,65081,83,83,0,25,62292,1
1,0,9052,247,247,1,142,7148,1
0,2,805554,313,313,0,40,804478,0
0,0,782600,205,205,0,31,781197,0
1,0,3790,211,211,1,89,806,0
1,0,1573917,167,167,1,58,1571158,0
0,0,1995400,175,175,0,56,1993454,0
0,0,794113,243,243,0,33,793295,0
1,0,644271,97,97,1,58,641242,1
0,0,56433,249,249,0,41,54619,1
1,0,654938,253,253,1,27,652152,0
1,0,1032018,49,49,1,44,1029001,0
0,0,1140600,197,197,0,46,1138639,0
1,0,411506,58,58,1,33,408474,0
1,0,924785,237,237,1,57,922281,1
0,0,1204,126,126,0,87,2,0
0,0,8397,15,15,0,9,5578,1
0,0,764760,203,203,0,31,762982,0
1,0,976,20,20,1,74,2,1
1,0,587182,273,273,1,37,584897,1
1,0,3258,40,40,1,77,436,0
1,0,6116,57,57,1,103,4224,1
0,0,606712,238,238,0,12,603989,0
1,0,21218,242,242,1,26,18921,1
0,0,2501,82,82,0,38,102,1
1,0,7457,215,215,1,41,4911,1
0,0,490870,45,45,0,1,489493,0
1,0,4777,18,18,1,70,2027,1
0,0,26225,207,207,0,65,24447,1
1,0,22430,44,44,1,34,19944,1
1,0,15107,263,263,1,2,12237,1
1,0,41742,307,307,1,44,39727,1
0,0,663320,259,259,0,24,660522,0
0,0,58458,114,114,0,16,55432,1
1,0,486237,24,24,1,47,483109,0
1,0,353345,138,138,1,58,350952,0
1,0,16574,223,223,1,138,14088,1
0,0,3713,283,283,0,97,2106,0
1,0,44770,25,25,1,50,42977,1
0,0,3597,235,235,0,140,1834,0
1,0,5794,135,135,1,123,3014,0
0,1,655728,169,169,0,18,653962,0
0,0,33262,308,308,0,44,31331,1
0,0,791878,121,121,0,37,790079,0
1,0,760085,244,244,1,33,757590,0
0,0,1852491,174,174,0,54,1847980,0
1,0,130785,104,104,1,20,128263,0
1,0,122539,191,191,1,14,120197,1
0,0,594892,227,227,0,28,591674,0
0,0,571445,199,199,0,21,567813,0
1,0,690966,180,180,1,32,687994,0
1,0,9553,113,113,1,85,7784,0
1,0,582823,21,21,1,21,581135,0
0,0,67475,296,296,0,56,65139,1
1,0,25743,231,231,1,14,24748,1
1,0,71114,196,196,1,4,69705,1
0,0,103187,323,323,0,9,101616,0
0,0,702008,181,181,0,32,700188,0
1,0,585311,228,228,1,28,582390,0
1,0,2350211,168,168,1,59,2347587,0
1,0,491613,133,133,1,41,488857,1
1,0,12191,232,232,1,14,9909,1
1,0,1182,91,91,1,115,1,1
1,0,59561,140,140,1,50,57681,1
0,0,14595,65,65,0,67,12280,1
1,0,9360,256,256,1,94,6577,0
0,0,1434052,155,155,0,52,1432280,0
1,0,29749,162,162,1,29,26915,1
1,0,430057,186,186,1,33,427406,0
1,0,14455,89,89,1,113,11690,0
0,0,30562,278,278,0,18,28739,1
0,0,4524,241,241,0,141,2574,0
0,0,4216,132,132,0,47,1460,1
0,0,19758,185,185,0,135,17038,0
0,0,47207,80,80,0,112,45534,1
0,0,36437,102,102,0,117,35517,1
1,0,5595,68,68,1,107,2761,1
1,0,912033,72,72,1,41,909235,0
1,0,2693,280,280,1,96,396,0
0,0,4036,63,63,0,67,1289,1
1,0,93761,71,71,1,65,90201,1
1,0,11733,73,73,1,82,9154,0
1,0,706189,14,14,1,29,704129,0
0,0,120500,322,322,0,9,118605,0
1,0,26060,260,260,1,2,23298,1
1,0,351197,218,218,1,62,348939,0
0,0,8589,29,29,0,42,6541,1
0,0,1385359,154,154,0,52,1383590,0
1,0,688837,87,87,1,26,685982,0
0,0,54516,93,93,0,41,53479,1
0,0,1739,12,12,0,72,3,1
0,0,201879,299,299,0,61,200095,0
1,0,1320804,151,151,1,59,1318300,0
1,0,628364,100,100,1,27,625434,0
0,0,3779,183,183,0,133,1517,0
0,0,64637,150,150,0,65,62859,1
1,0,4799,270,270,1,144,2103,0
1,0,7313,236,236,1,140,4734,0
0,0,19476,160,160,0,128,17815,1
1,0,7957,142,142,1,126,5381,0
1,0,829858,119,119,1,37,827087,0
1,0,2071578,165,165,1,58,2068987,0
1,0,411543,245,245,1,31,408877,0
1,0,848494,163,163,1,35,847454,0
1,0,8756,145,145,1,45,5919,1
0,0,169188,306,306,0,44,166855,1
1,0,16396,294,294,1,149,13598,0
1,0,492103,129,129,1,0,489575,0
1,0,14953,302,302,1,53,12005,1
0,0,427483,287,287,0,46,425420,0
1,0,570499,252,252,1,27,567725,0
1,0,3857,103,103,1,118,1095,1
1,0,68621,192,192,1,57,67503,1
1,0,245943,61,61,1,4,244298,0
1,0,556405,240,240,1,28,554000,1
0,0,9141,221,221,0,137,8410,0
1,0,873816,172,172,1,52,871123,0
1,0,14712,222,222,1,91,11650,0
1,0,2360044,13,13,1,59,2358530,0
1,0,11256,254,254,1,92,8914,1
1,0,7825,90,90,1,114,5795,0
0,0,1137976,136,136,0,57,1133828,0
1,0,96498,209,209,1,29,94816,1
1,0,83774,188,188,1,15,82602,1
0,0,1981,297,297,0,99,2,0
1,0,483389,320,320,1,5,481422,0
0,0,85945,309,309,0,16,83153,1
0,0,21702,59,59,0,104,18811,0
0,0,22871,4,4,0,25,21810,1
1,0,5339,51,51,1,101,2904,1
0,0,728090,36,36,0,30,725151,0
1,0,3210,22,22,1,73,616,1
0,0,258722,219,219,0,9,256827,0
0,0,10587,182,182,0,132,8119,1
1,0,145152,315,315,1,13,142906,1
1,0,572075,300,300,1,17,569139,0
0,0,2028848,179,179,0,56,2027736,0
1,0,33122,281,281,1,42,30594,1
