Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,347,1,22,1159709,0
1,0,18293,404,404,1,95,17649,0
0,0,7200,134,134,0,45,6637,0
0,0,55025,359,359,0,83,54438,0
0,0,1464254,88,88,0,28,1463646,0
0,0,494817,202,202,0,23,494134,1
0,0,2016292,329,329,0,27,2015537,0
0,0,9057,388,388,0,90,8128,0
0,0,4555,132,132,0,64,3962,0
0,0,683253,98,98,0,28,682675,0
1,0,844685,368,368,1,22,844098,0
1,0,112468,401,401,1,94,111971,0
0,0,4870,340,340,0,78,4217,0
0,0,2682,263,263,0,76,1954,0
0,0,163066,7,7,0,8,162521,1
0,0,1955674,332,332,0,28,1955171,0
0,0,756041,99,99,0,28,755460,1
0,0,1368555,309,309,0,28,1367977,1
0,0,1487064,92,92,0,28,1486369,1
1,0,44362,300,300,1,15,43754,1
0,0,265007,257,257,0,23,264339,0
0,0,128464,416,416,0,14,128075,0
0,0,1921473,108,108,0,28,1920904,1
0,0,458814,352,352,0,17,458125,0
0,0,316703,371,371,0,16,316059,0
0,0,548591,225,225,0,19,548190,0
0,0,1604078,116,116,0,28,1603452,0
0,0,85370,61,61,0,58,84681,0
0,0,17407,260,260,0,74,16820,0
0,0,1033564,297,297,0,18,1032920,0
1,0,1738968,27,27,1,27,1738420,0
0,0,6677,379,379,0,86,6162,1
0,0,278070,221,221,0,3,277438,1
0,0,1731530,336,336,0,28,1730895,0
0,0,477620,205,205,0,6,476973,0
0,0,567879,381,381,0,20,567310,0
0,0,10321,126,126,0,61,9749,0
0,0,1686468,112,112,0,28,1685914,0
0,0,7629,229,229,0,70,6979,0
0,0,1645,356,356,0,83,1004,0
0,0,376974,55,55,0,3,376393,1
1,0,807869,24,24,1,27,807330,1
0,0,426818,136,136,0,4,426186,1
0,0,39701,52,52,0,57,39237,1
0,0,307213,258,258,0,23,306524,0
0,0,782,46,46,0,54,129,1
0,0,1132814,317,317,0,28,1132212,1
0,0,36247,72,72,0,15,35642,1
0,0,170789,68,68,0,14,170208,1
0,0,717564,269,269,0,27,716974,1
0,0,1637787,114,114,0,28,1637185,1
0,0,487905,169,169,0,3,487330,0
1,0,628319,183,183,1,13,627354,1
0,0,1932015,107,107,0,28,1931470,0
0,0,2027,39,39,0,52,1341,0
0,0,1743790,335,335,0,28,1743146,0
0,0,515441,206,206,0,6,514617,0
0,0,1118634,319,319,0,28,1117975,1
1,0,347837,17,17,1,3,347313,0
0,0,250738,323,323,0,3,250097,0
0,0,1579,2,2,0,34,1004,1
0,0,570400,76,76,0,7,569783,0
0,0,552848,144,144,0,22,552180,1
0,0,52129,264,264,0,76,51491,0
1,0,19103,380,380,1,86,18480,1
0,0,4829,256,256,0,73,4128,0
0,0,599763,232,232,0,10,598996,1
0,0,436400,11,11,0,16,435816,0
0,0,1148872,410,410,0,27,1148204,0
0,0,339516,224,224,0,3,338926,0
0,0,1581481,214,214,0,26,1580900,1
0,0,1081012,406,406,0,27,1080440,1
0,0,15668,344,344,0,79,15015,0
0,0,6518,303,303,0,1,5874,1
0,0,33001,19,19,0,14,32291,1
1,0,504309,428,428,1,4,503911,1
0,0,668902,148,148,0,22,668282,1
0,0,1995197,216,216,0,27,1994529,0
0,0,216763,322,322,0,3,216122,0
1,0,588625,156,156,1,4,587969,1
0,0,416038,383,383,0,31,415541,0
1,0,463493,101,101,1,0,462885,1
0,0,14001,394,394,0,92,13402,1
1,0,385637,20,20,1,22,384969,0
0,0,602338,320,320,0,6,601643,1
0,0,1845,389,389,0,91,1489,1
0,0,375081,122,122,0,12,374536,1
