Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,100,7608,43,1,90,6745,5,1
1,117,326018,104,1,22,323649,5,0
1,15,476915,38,1,3,476025,5,0
0,52,346408,207,0,61,346178,4,1
1,144,216862,126,1,55,214952,5,0
1,144,80177,231,1,13,78453,5,1
1,94,8014,86,1,10,5234,5,1
1,64,557,93,1,106,3,5,1
1,75,74182,14,1,21,73355,5,1
0,87,346850,206,0,61,346512,2,1
1,101,890682,193,1,36,889150,5,0
0,95,1130987,148,0,42,1130442,1,0
1,11,2216,42,1,89,1884,5,0
1,78,56787,224,1,64,55507,5,1
0,57,45867,21,0,44,45670,2,1
1,139,929,176,1,129,3,5,0
1,121,25397,153,1,27,23602,5,1
1,121,36817,151,1,27,35931,5,1
1,35,223303,157,1,24,221369,5,0
1,89,30441,198,1,132,27628,5,1
1,77,1839347,132,1,53,1836461,5,0
0,26,71748,33,0,52,71398,0,1
1,67,122795,36,1,8,121053,5,0
1,111,1122061,146,1,42,1121249,5,0
1,133,752571,48,1,26,750136,5,0
1,129,33312,81,1,38,32212,5,1
1,7,17807,29,1,41,16818,5,1
1,7,215357,64,1,25,214062,5,1
1,107,543960,138,1,6,542011,5,0
1,90,23503,235,1,5,21764,5,1
1,59,57738,225,1,64,56893,5,1
0,30,870832,54,0,32,869711,2,0
1,35,615828,188,1,24,612868,5,0
1,23,3521,177,1,85,564,5,0
1,116,640889,124,1,14,638082,5,0
1,12,119855,183,1,7,118959,5,1
1,105,351059,66,1,58,348930,5,0
1,140,4441,71,1,51,1115,5,1
0,47,218,156,0,123,3,1,0
1,65,578507,189,1,24,577500,5,0
1,104,835,4,1,88,1,5,0
1,61,12423,128,1,25,10753,5,1
1,144,100170,26,1,13,98553,5,1
1,20,76293,27,1,59,74227,5,1
1,63,17384,125,1,115,15111,5,1
1,15,395,203,1,86,3,5,1
1,110,1444050,22,1,46,1442287,5,0
1,136,229154,239,1,7,227562,5,0
1,24,64517,123,1,59,64071,5,1
0,134,747484,169,0,30,746714,0,0
1,108,58454,115,1,45,55821,5,1
1,141,10805,108,1,112,10074,5,0
1,121,805101,144,1,27,802591,5,0
0,130,4265,68,0,100,3411,2,0
1,100,8105,61,1,97,5802,5,1
1,137,42976,229,1,39,42014,5,1
0,37,157631,186,0,50,157230,2,0
1,21,7838,217,1,135,7741,5,1
1,46,794,8,1,66,3,5,0
0,102,1231,13,0,73,899,1,1
1,75,51751,109,1,21,49106,5,0
1,93,2332647,201,1,54,2330257,5,0
1,74,114401,65,1,60,112584,5,1
1,93,41471,158,1,54,39177,5,1
0,97,1415811,19,0,46,1415230,1,0
1,61,6985,84,1,103,4031,5,1
1,30,46358,94,1,15,44298,5,1
1,8,1129891,147,1,42,1128836,5,0
1,15,535,6,1,65,1,5,0
1,124,11717,178,1,130,11061,5,0
1,110,1338938,196,1,46,1337487,5,0
0,135,36096,30,0,37,35452,1,1
1,1,56420,159,1,54,55923,5,1
1,15,20561,121,1,40,20007,5,1
1,33,2400,168,1,126,211,5,0
1,42,3058,140,1,120,647,5,0
1,77,33980,166,1,53,31590,5,1
1,56,358301,174,1,57,355485,5,0
0,112,202126,78,0,58,201683,2,0
1,59,83691,199,1,2,83233,5,1
1,18,1034156,75,1,38,1031220,5,0
1,127,393196,83,1,48,390821,5,1
1,86,368350,51,1,57,367493,5,0
1,123,66037,96,1,42,63011,5,1
1,38,877,16,1,76,2,5,0
1,40,1381,105,1,110,2,5,0
1,123,1153652,149,1,42,1152030,5,0
1,133,33975,35,1,26,32362,5,1
1,85,47107,232,1,13,46339,5,1
1,122,35665,152,1,27,33647,5,1
1,6,2035,130,1,118,1445,5,0
1,80,921959,67,1,35,919047,5,0
0,50,282,119,0,84,1,2,1
1,77,903359,162,1,53,902475,5,0
1,46,3364,172,1,128,1112,5,0
1,3,8634,62,1,98,6310,5,0
1,45,6051,112,1,83,3256,5,0
1,65,88109,221,1,24,87465,5,0
1,10,147,10,1,67,1,5,0
1,122,706956,37,1,27,704473,5,0
1,27,15156,24,1,78,14362,5,1
1,77,944659,163,1,53,941918,5,1
1,3,513917,237,1,5,513297,5,0
1,53,24472,190,1,14,23342,5,1
1,144,46075,233,1,13,44094,5,1
1,91,1050263,160,1,47,1049748,5,0
1,118,1991,180,1,131,321,5,1
1,26,7580,89,1,104,6150,5,1
1,1,317768,195,1,54,315381,5,0
0,55,581031,238,0,19,580762,2,0
1,9,10942,202,1,30,10619,5,1
1,41,929,17,1,74,492,5,0
1,143,6341,63,1,99,3546,5,0
1,138,28634,143,1,17,28311,5,1
1,125,751195,192,1,28,748829,5,0
0,60,2270,60,0,96,1968,0,1
1,110,629366,210,1,46,627348,5,0
1,74,609376,209,1,11,606950,5,0
1,14,2735,218,1,136,1362,5,1
1,32,4117,226,1,47,1346,5,1
1,36,6226,11,1,68,4295,5,0
1,82,481120,110,1,0,478592,5,0
1,39,215,5,1,117,3,5,0
1,69,2208,145,1,121,1,5,1
1,88,857583,111,1,32,854629,5,0
1,2,4959,102,1,109,2632,5,0
1,38,38673,92,1,105,38134,5,1
1,1,2184398,88,1,54,2181870,5,1
1,6,821170,101,1,30,818471,5,0
1,53,46181,185,1,14,45609,5,1
1,18,703894,116,1,22,701207,5,0
0,83,2029693,141,0,51,2028950,3,0
1,0,4564,46,1,92,2810,5,1
1,13,1582,12,1,70,692,5,1
1,66,3052,58,1,95,605,5,0
1,3,498493,236,1,5,497942,5,0
1,76,6017,222,1,138,3066,5,0
1,132,4965,127,1,116,2173,5,1
1,92,585603,191,1,12,583600,5,0
1,84,2706,90,1,82,1,5,1
1,15,89160,184,1,3,86623,5,1
1,123,475584,98,1,42,473026,5,0
1,85,101201,25,1,13,100433,5,1
1,120,6087,15,1,71,4936,5,1
1,77,1639600,200,1,53,1637255,5,0
1,131,1686,2,1,75,1,5,1
1,22,10351,179,1,131,7736,5,1
1,21,1399795,23,1,46,1397420,5,0
1,142,699100,73,1,23,696140,5,0
0,22,17833,31,0,46,17345,1,1
1,124,612,72,1,43,103,5,1
1,43,32383,204,1,133,29822,5,0
1,86,69602,85,1,4,68706,5,1
1,7,71222,129,1,25,69540,5,1
1,12,18217,120,1,114,15659,5,0
1,65,57820,34,1,24,56951,5,0
1,78,73875,213,1,17,71692,5,1
1,128,5666,171,1,127,3972,5,0
1,4,267665,227,1,53,267153,5,0
1,29,578251,165,1,16,576644,5,0
1,8,1121147,216,1,42,1120731,5,0
1,108,583,161,1,124,2,5,0
1,99,2783,39,1,80,909,5,1
1,6,67398,223,1,52,66466,5,1
1,16,453362,133,1,11,452610,5,0
1,28,11981,106,1,111,9216,5,0
1,62,935665,194,1,36,933350,5,0
1,122,9109,154,1,27,6119,5,1
1,49,228,18,1,74,1,5,0
0,34,2248,20,0,77,1520,1,1
1,30,74451,230,1,15,72187,5,1
1,129,3080,56,1,93,735,5,1
1,98,45115,205,1,134,42281,5,0
1,57,2190,100,1,108,1,5,1
1,19,922,9,1,67,412,5,0
1,128,521339,136,1,6,518895,5,0
1,138,612431,134,1,17,611934,5,0
1,58,783875,69,1,29,783721,5,0
1,81,24991,117,1,113,22313,5,0
0,76,1238,215,0,87,288,1,1
1,13,4197,150,1,122,3526,5,1
0,103,1066,0,0,69,947,1,1
1,77,1161359,95,1,53,1159086,5,0
1,138,63967,212,1,17,63425,5,1
1,15,8168,50,1,81,5343,5,0
1,71,1842055,211,1,49,1840004,5,0
1,109,40883,52,1,63,38052,5,1
1,25,9729,91,1,82,7402,5,1
1,2,17064,79,1,101,15238,5,0
1,59,521580,40,1,2,519241,5,0
1,80,207218,122,1,35,204852,5,1
1,68,34273,7,1,20,33176,5,1
1,21,957,170,1,46,103,5,1
1,29,504842,74,1,1,502038,5,0
1,73,45868,114,1,45,44981,5,1
1,106,18211,55,1,34,15392,5,1
1,146,112160,87,1,18,109194,5,0
1,133,772241,49,1,26,769332,5,0
0,119,1411,1,0,72,1097,2,0
1,85,630925,173,1,13,630173,5,0
1,1,35958,41,1,29,35374,5,1
0,73,587282,70,0,19,586959,2,0
1,5,617,57,1,94,1,5,0
1,128,478396,137,1,6,477242,5,0
1,125,392192,107,1,28,389835,5,0
1,115,28437,220,1,54,25624,5,1
1,124,4194,219,1,137,3232,5,0
1,21,16367,32,1,46,13620,5,1
1,89,13228,197,1,132,10472,5,1
1,48,1874,59,1,96,3,5,1
1,96,640440,118,1,20,637990,5,0
1,114,963,77,1,19,103,5,1
1,48,184333,76,1,56,183608,5,0
1,51,382722,103,1,62,380155,5,0
1,31,9773,228,1,139,7086,5,0
1,51,10829,82,1,62,8487,5,1
1,1,281858,155,1,54,279111,5,0
1,18,23155,187,1,22,22973,5,1
1,138,663276,135,1,17,662509,5,0
1,145,563,45,1,91,3,5,1
1,138,8610,80,1,102,7165,5,0
1,79,250640,175,1,9,247890,5,0
1,4,1020701,164,1,53,1018377,5,0
1,113,23344,167,1,125,21104,5,0
1,44,57748,53,1,63,55331,5,1
1,126,7904,99,1,107,5580,5,1
0,95,2011553,3,0,51,2010699,3,0
1,108,26773,113,1,45,26201,5,1
1,54,2033316,142,1,51,2030554,5,0
1,94,15743,208,1,31,15195,5,1
1,122,822273,214,1,27,821002,5,0
1,72,16756,28,1,79,15296,5,0
1,8,88412,97,1,42,86619,5,1
1,76,7310,234,1,140,4494,5,0
0,70,586872,181,0,8,586129,2,0
1,51,360854,47,1,62,358083,5,1
1,7,182518,44,1,25,180932,5,1
1,80,254233,182,1,35,251879,5,1
1,77,26957,139,1,119,26184,5,0
1,17,856711,131,1,33,855554,5,0
