Gene_Type,Gene_Description,Genomic_Start_Position,Chromosome_Id,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Genomic_End_Position
0,0,1711409,28,0,10,2,10,87,1713823
1,0,29866,4,1,100,1,100,117,32772
0,0,371611,5,1,31,2,31,26,373899
0,0,719244,23,1,78,2,78,34,721934
0,0,425755,20,0,91,3,91,84,428427
0,0,1322082,30,0,92,2,92,62,1324430
0,0,462814,15,0,162,2,162,113,465591
0,0,51578,56,1,34,2,34,46,54199
1,0,949273,23,1,117,1,117,39,952113
0,0,1022305,29,0,233,2,233,86,1024944
1,0,197364,19,1,38,1,38,94,199898
0,0,402206,21,0,119,2,119,93,404584
0,0,470631,23,0,202,3,202,122,473501
0,0,243767,19,0,90,2,90,4,246580
0,0,30969,42,0,29,2,29,56,33755
0,0,353552,6,0,244,2,244,117,355891
0,0,600009,30,0,47,2,47,62,602339
1,0,1098211,23,1,194,1,194,39,1100880
1,0,1120611,24,0,221,1,221,95,1123469
0,0,1144757,30,1,168,2,168,62,1147282
1,0,30248,83,1,216,1,216,115,32977
0,0,30843,53,1,28,2,28,99,33431
0,0,182293,12,0,7,2,7,96,184674
0,0,1514173,30,1,46,2,46,62,1516533
0,0,550610,1,0,173,3,173,66,553480
0,0,13502,54,0,32,2,32,46,16153
0,0,290183,6,1,245,2,245,119,292921
0,0,253732,5,0,178,2,178,121,256062
0,0,22811,59,0,53,2,53,99,25495
0,0,6085,76,1,195,2,195,29,8691
0,0,177890,11,1,213,2,213,44,180436
0,0,12538,80,1,212,2,212,6,15222
0,0,847319,23,0,205,2,205,80,849988
0,0,1916677,29,1,106,2,106,74,1919214
0,0,544250,15,0,143,2,143,106,546874
1,0,1011738,29,0,135,1,135,28,1014233
0,0,516413,7,0,251,2,251,75,519004
0,0,1158613,30,0,167,2,167,112,1161129
0,0,79808,19,1,138,3,138,42,82609
1,0,314314,24,0,120,1,120,95,316755
0,0,620053,29,0,44,2,44,8,622377
0,0,480707,24,1,99,2,99,108,483376
0,0,1173581,30,0,166,2,166,105,1176004
0,0,1013150,23,1,209,2,209,72,1015945
0,0,201761,14,1,66,2,66,45,204433
0,0,1743231,29,0,15,2,15,74,1745786
0,0,122370,4,1,84,2,84,47,125132
1,0,14982,51,0,24,1,24,65,17633
0,0,1423,67,0,122,2,122,68,4209
0,0,185287,5,0,232,2,232,37,187941
0,0,1032837,25,0,61,2,61,50,1035713
0,0,422410,16,0,136,2,136,54,425184
0,0,510834,15,0,257,3,257,83,513629
0,0,563163,30,1,86,2,86,112,565358
0,0,1112378,24,0,220,2,220,78,1115182
1,0,429818,15,0,159,1,159,62,432436
0,0,215884,17,1,58,2,58,71,218715
1,0,84020,3,1,153,1,153,69,86749
1,0,393418,19,0,73,1,73,94,396102
1,0,104540,2,0,254,1,254,73,107074
0,0,600077,29,0,45,2,45,86,602587
1,0,387120,15,0,164,1,164,126,389747
0,0,419294,17,0,200,2,200,32,422008
0,0,1063010,25,0,198,2,198,111,1065877
0,0,375975,15,0,163,2,163,88,378614
0,0,306937,5,0,111,2,111,121,309384
0,0,583331,6,1,85,2,85,119,585607
0,0,4697,49,0,22,2,22,46,7162
0,0,647633,14,1,42,3,42,38,650434
0,0,20606,48,1,218,2,218,74,23290
0,0,7462,61,0,64,2,64,99,9867
1,0,439932,23,1,201,1,201,48,442799
0,0,1692543,28,1,9,2,9,41,1695278
0,0,697620,15,0,17,2,17,107,700388
0,0,11996,58,0,50,3,50,51,14845
0,0,5759,81,0,214,2,214,43,8092
1,0,11352,78,1,197,1,197,0,13979
0,0,1042786,23,0,208,3,208,72,1045611
0,0,12438,64,0,89,2,89,46,15062
0,0,1059124,23,0,113,4,113,72,1061168
0,0,5269,47,1,172,3,172,45,8115
0,0,376740,32,1,170,2,170,52,379418
0,0,1963551,29,1,105,2,105,40,1966199
0,0,582301,23,0,204,3,204,22,585177
0,0,472298,7,0,142,2,142,114,475012
0,0,1311887,30,0,93,2,93,112,1314205
0,0,1093946,29,1,235,2,235,102,1096585
1,0,6749,77,1,196,1,196,38,9580
0,0,48174,20,1,152,2,152,52,50888
0,0,1060310,29,1,234,2,234,86,1062895
0,0,756089,21,0,48,2,48,21,758419
0,0,9967,74,0,151,2,151,46,12594
0,0,6579,83,1,217,2,217,23,9089
1,0,42286,70,0,125,1,125,25,45075
1,0,1575672,28,1,102,1,102,110,1578209
0,0,1815771,29,0,110,2,110,102,1818146
0,0,463714,24,0,176,2,176,65,466038
0,0,1848668,29,0,108,2,108,81,1851640
0,0,138117,1,0,253,2,253,91,139709
1,0,288478,21,0,118,1,118,17,290907
0,0,1169280,27,1,41,2,41,7,1171520
0,0,2044399,29,1,184,2,184,81,2047179
0,0,798375,22,0,165,2,165,3,800723
0,0,9363,41,1,13,2,13,55,12158
0,0,19363,62,0,87,2,87,46,21771
0,0,485541,23,0,203,3,203,22,488327
0,0,451748,15,0,158,2,158,107,454333
0,0,259847,6,0,243,2,243,84,262330
0,0,566233,15,0,259,2,259,106,568854
0,0,13513,72,1,145,2,145,46,16377
0,0,177754,19,1,37,2,37,42,180486
0,0,1594209,29,0,185,2,185,40,1596686
0,0,299487,29,0,242,2,242,90,301826
0,0,733583,23,0,82,3,82,72,736453
0,0,1005142,30,0,1,5,1,82,1006971
0,0,18310,44,0,60,2,60,8,20976
0,0,2932,73,0,150,2,150,99,5331
0,0,627020,13,1,114,3,114,5,629809
0,0,1814429,30,0,189,2,189,112,1816759
1,0,588504,15,0,258,1,258,62,590672
0,0,4166,66,1,121,2,121,63,6553
0,0,1149583,24,0,222,2,222,116,1152306
0,0,10931,3,1,156,2,156,15,13678
0,0,465485,6,0,71,3,71,80,468388
