Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,0,16460955,213,6,0,43,16457260,0,9
0,0,1685549,119,14,0,26,1683681,1,6
0,0,203930,66,18,0,16,200193,0,5
0,0,4553753,46,6,0,22,4549992,0,5
0,0,4840,0,26,0,1,914,1,0
0,0,9779285,176,6,0,12,9775560,0,7
0,0,334096,70,18,0,16,330365,0,5
0,0,3879497,89,6,0,29,3875733,0,6
0,0,1195742,53,1,0,14,1191876,1,5
0,0,8918600,172,6,0,12,8914875,0,7
0,0,1910663,203,18,0,43,1906803,0,9
0,0,1668281,29,18,0,21,1666599,0,5
0,0,2065035,125,18,0,27,2061388,0,6
0,0,970300,197,6,0,9,969404,1,7
0,0,209762,113,18,0,24,205917,0,6
0,0,577054,91,18,0,29,573326,1,6
0,0,10591984,181,7,0,12,10589706,0,7
0,0,4340768,36,18,0,21,4339005,0,5
0,0,83566,55,31,0,15,79856,1,5
0,0,20151480,214,19,0,43,20150096,1,9
0,0,11683010,182,7,0,12,11680997,0,7
0,0,44719,19,26,0,6,40601,1,4
0,0,27954,114,18,0,25,24217,0,6
0,0,239685,17,11,0,5,237098,0,4
0,0,4278879,154,6,0,12,4275136,1,7
0,0,2481188,85,18,0,18,2479680,0,5
0,0,12013049,184,6,0,12,12009273,1,7
0,0,12740701,186,6,0,12,12737024,0,7
0,0,338864,71,18,0,16,335124,0,5
0,0,10244238,179,6,0,12,10240936,1,7
0,0,424726,93,14,0,30,421013,0,6
0,0,628721,41,18,0,20,624993,1,5
0,0,47239,3,28,0,1,43805,1,0
0,0,4283484,155,6,0,12,4279741,1,7
0,0,5598267,158,6,0,12,5595391,0,7
0,0,154797,63,18,0,16,150979,0,5
0,0,587534,136,32,0,38,585909,0,8
0,0,4522804,37,18,0,21,4521833,0,5
0,0,9462057,173,6,0,12,9458497,1,7
0,0,123502,115,18,0,25,119669,0,6
0,0,279004,130,31,0,36,275159,0,8
0,0,1152291,108,14,0,23,1148608,1,6
0,0,7120666,164,6,0,12,7119032,0,7
0,0,1143911,105,18,0,23,1140042,1,6
0,0,5949017,159,7,0,12,5946681,1,7
0,0,1145528,106,25,0,23,1144470,1,6
0,0,583704,135,31,0,38,582196,0,8
0,0,1703058,30,18,0,21,1701376,1,5
0,0,60220,111,18,0,24,56510,1,6
0,0,4513,23,31,0,13,785,0,5
0,0,990197,101,18,0,23,986493,1,6
0,0,4293498,35,18,0,21,4292311,1,5
0,0,3105,110,23,0,24,838,1,6
0,0,3622347,92,18,0,30,3618703,0,6
0,0,2264107,200,6,0,11,2260442,1,7
0,0,77533,20,28,0,6,73331,1,4
0,0,1288224,112,18,0,24,1284493,0,6
0,0,4527437,94,5,0,30,4523676,0,6
0,0,5971756,161,6,0,12,5968445,0,7
0,0,15794397,194,7,0,12,15790722,0,7
0,0,2626786,34,18,0,21,2624759,0,5
0,0,1705473,120,18,0,26,1701874,1,6
0,0,129819,62,18,0,16,126013,1,5
0,0,16013824,195,6,0,12,16010084,1,7
0,0,10462169,180,6,0,12,10459962,1,7
0,0,278985,137,31,0,37,276142,0,8
0,0,629638,196,6,0,7,626021,1,7
0,0,39991,2,32,0,1,37926,1,0
0,0,78806,14,28,0,4,75012,1,3
0,0,422887,109,18,0,24,419138,1,6
0,0,2452752,86,12,0,19,2449024,0,5
0,0,2259949,199,7,0,11,2258465,1,7
0,0,6072691,162,6,0,12,6068918,1,7
0,0,1313993,28,33,0,21,1312530,0,5
0,0,2416530,148,6,0,12,2412853,0,7
0,0,3663817,42,10,0,22,3660173,0,5
0,0,5954817,160,6,0,12,5951374,1,7
0,0,1171908,49,1,0,14,1168174,1,5
0,0,324588,68,18,0,16,320857,0,5
0,0,89469,61,18,0,16,85705,0,5
0,0,95167,134,31,0,31,91325,0,8
0,0,3840387,88,18,0,29,3836677,0,6
0,0,2318413,81,18,0,18,2314616,0,5
0,0,72448,18,26,0,6,68270,1,4
0,0,15575977,189,6,0,12,15572300,0,7
0,0,7376461,166,7,0,12,7374150,0,7
0,0,1643702,74,18,0,17,1639890,1,5
0,0,1066754,216,21,0,40,1065571,1,9
0,0,7007346,163,6,0,12,7005166,1,7
0,0,2103880,129,6,0,28,2100152,0,6
0,0,45538,59,18,0,16,41732,0,5
0,0,62173,9,28,0,3,61124,1,2
0,0,3894168,90,4,0,29,3890362,1,6
0,0,3998549,219,8,0,42,3996303,0,9
0,0,47179,21,18,0,0,43448,0,5
0,0,651422,202,18,0,43,647718,1,9
0,0,970358,98,14,0,23,968556,1,6
0,0,15188591,188,7,0,12,15186471,1,7
0,0,95588,131,31,0,32,91746,0,8
0,0,933349,96,18,0,23,929525,0,6
0,0,329342,69,18,0,16,325611,0,5
0,0,333473,24,0,0,21,329763,1,5
0,0,3332,142,6,0,8,2571,1,7
0,0,9582610,175,6,0,12,9579467,1,7
0,0,3501676,150,6,0,12,3498395,0,7
0,0,1021293,48,18,0,14,1017589,1,5
0,0,50499,8,31,0,3,46531,1,2
0,0,660379,138,31,0,35,656534,1,8
0,0,75831,60,18,0,16,72196,1,5
0,0,7124284,165,7,0,12,7121353,0,7
0,0,64291,12,31,0,4,60047,1,3
0,0,132277,117,18,0,25,129494,0,6
0,0,166154,65,18,0,16,162348,0,5
0,0,3620418,152,6,0,12,3616747,1,7
0,0,1908029,146,7,0,12,1905427,0,7
0,0,4935371,157,6,0,12,4931952,1,7
0,0,36414,5,27,0,2,33385,1,1
0,0,3058427,87,18,0,29,3054798,0,6
0,0,388457,25,18,0,21,386850,1,5
0,0,2216609,128,18,0,27,2212887,0,6
0,0,2191719,121,14,0,26,2188102,1,6
0,0,53020,4,28,0,1,48803,1,0
