Entity_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,2,100,43,1168695,0
0,7476,0,1,2,102,60,127,0
0,609988,155,155,1,123,10,605538,1
1,1168419,160,160,3,35,50,1158055,1
0,1169344,40,40,1,26,44,1158920,0
1,18759,149,149,3,74,106,8548,1
0,52109,58,58,1,58,5,41772,1
0,18044,36,36,1,11,30,13358,1
0,424181,139,139,1,61,10,413739,0
0,225503,222,222,1,115,8,215040,0
0,940675,89,89,1,34,50,930293,1
0,330111,108,108,1,71,15,322282,0
0,458221,52,52,1,110,10,447770,1
0,328819,66,66,1,66,30,318764,0
0,18045,173,173,1,62,109,7588,0
0,83617,101,101,1,89,27,73238,1
1,743366,12,12,3,92,28,733188,0
1,723117,130,130,3,8,33,714922,0
1,796435,42,42,3,134,32,786038,0
1,296067,109,109,3,73,33,288610,0
0,5595,7,7,2,136,63,1,1
0,818767,119,119,1,121,29,810066,0
0,573981,156,156,1,123,10,563530,0
0,390898,218,218,1,71,34,380639,1
0,6832,25,25,2,103,75,2,1
0,46065,190,190,1,70,38,35644,1
0,842551,211,211,1,7,35,832124,0
0,63253,174,174,1,76,110,52823,1
0,78813,196,196,1,139,52,72588,1
0,149649,114,114,2,26,23,143326,0
0,816094,68,68,1,91,33,805796,0
1,11516,31,31,3,64,78,2172,0
0,26884,63,63,1,51,16,16478,1
0,22907,1,2,2,22,51,17262,1
0,5929,148,148,1,14,70,3,0
0,193120,183,183,2,96,23,183374,0
0,9732,191,191,1,19,115,1,0
0,970184,184,184,1,83,46,959784,1
0,213628,100,100,1,128,53,203258,0
1,647211,115,115,3,135,46,636820,0
0,138304,215,215,1,49,13,127910,1
0,13701,150,150,1,79,107,3220,1
0,328850,46,46,1,16,29,318795,0
0,6482,4,4,2,63,62,3,0
0,2345195,165,165,1,139,52,2334792,0
1,13525,107,107,3,97,97,3143,0
0,459416,64,64,1,138,34,449073,1
0,13412,85,85,1,76,94,3015,1
0,252973,112,112,1,138,34,245186,1
0,62951,94,94,1,85,54,52593,1
0,347060,219,219,2,138,34,339083,1
0,45907,205,205,2,17,51,38978,1
0,141214,131,131,1,39,27,130814,1
1,789447,212,212,3,113,35,779023,0
0,475972,78,78,2,82,2,470489,0
0,409474,179,179,1,24,33,399029,1
0,47512,123,123,1,16,29,39092,1
0,802151,13,13,1,114,51,791817,1
0,33876,199,199,1,67,120,23431,0
0,1717944,170,170,2,81,49,1709332,1
0,745319,39,39,1,133,32,734937,0
0,891588,19,19,1,23,37,881293,0
1,934030,201,201,3,27,49,926063,1
0,127475,171,171,1,88,55,117093,1
0,6144,65,65,1,42,86,3,0
0,31191,120,120,1,53,35,20812,1
0,7954,192,192,2,63,116,2,0
0,229560,213,213,1,93,28,219184,1
0,571102,14,14,1,105,39,563645,0
0,69531,217,217,1,49,13,59128,1
0,13163,67,67,1,48,87,2601,0
0,5956,21,21,1,133,74,733,0
1,12287,133,133,3,7,101,1776,1
0,7614,2,0,0,3,61,1030,1
0,54831,125,125,1,97,52,44338,1
0,2370774,163,163,1,94,51,2360422,0
0,40663,197,197,1,124,119,30197,1
0,24830,102,102,1,39,27,14646,1
1,79790,207,207,3,5,51,69342,1
0,64484,127,127,2,97,30,55971,1
1,127990,147,147,3,122,54,117557,1
0,32850,186,186,1,100,9,28143,1
0,207695,54,54,1,111,15,204667,0
0,36235,216,216,1,50,13,25871,1
0,11492,32,32,1,55,79,5925,1
1,1233807,177,177,3,135,46,1224493,1
0,30892,75,75,1,123,22,20468,0
0,54812,6,6,1,106,32,50482,1
0,311779,49,49,1,68,52,306168,0
0,53674,203,203,1,139,59,43286,1
0,21015,77,77,1,59,18,14486,1
0,5481,153,153,2,37,108,1,0
1,9243,23,23,3,12,66,3028,1
0,89016,117,117,1,15,42,78604,1
1,574518,142,142,3,98,12,565420,0
1,27113,193,193,3,137,117,16665,1
0,71128,82,82,1,18,45,60752,1
0,347622,84,84,1,110,51,337195,0
0,65194,22,22,1,41,0,54806,0
1,15047,121,121,3,41,99,4680,1
0,243214,167,167,1,52,33,232769,0
0,42086,37,37,1,115,82,31758,0
0,11147,33,33,2,116,80,4143,0
0,22103,169,169,1,52,33,14689,1
0,239506,159,159,2,66,15,231410,0
1,217558,3,3,3,72,25,208664,0
0,1049310,61,61,1,43,48,1038856,0
0,8611,116,116,1,47,69,3,0
0,62219,38,38,1,132,82,51870,0
0,11755,17,17,1,65,73,1460,0
0,586972,45,45,1,13,8,576509,0
0,88568,198,198,1,54,119,78117,1
1,11231,99,99,3,118,96,2115,1
0,623676,90,90,1,22,12,613279,0
0,11537,175,175,1,84,111,1098,1
0,505288,11,11,1,129,4,494840,0
0,780586,126,126,1,10,36,770171,0
0,158064,214,214,1,99,13,147781,1
0,12312,195,195,2,9,52,7990,1
0,1352921,106,106,1,46,50,1342479,0
0,353296,97,97,2,9,52,348857,1
0,13465,34,34,1,82,81,4539,0
0,1147531,122,122,1,1,43,1137248,0
1,595061,50,50,3,88,25,584655,0
0,1048694,138,138,1,36,41,1038261,0
1,214744,9,9,3,38,38,206012,1
0,3341,189,189,2,90,114,3,0
0,7213,73,73,1,29,90,1,1
0,225073,35,35,1,39,27,217409,1
0,5392,79,79,1,108,92,2,0
0,610602,141,141,1,125,26,600223,0
0,548110,151,151,1,78,18,541838,0
1,47046,60,60,3,65,68,36631,0
0,2017022,5,5,2,101,49,2011656,0
1,566844,202,202,3,78,17,556376,0
0,39653,24,24,1,58,37,33702,1
0,5905,55,55,1,53,84,1,1
1,1020605,200,200,3,20,49,1014285,0
0,17336,69,69,1,77,12,6891,1
0,18048,70,70,1,62,88,7666,0
0,19647,57,57,1,108,85,9304,1
0,796416,187,187,1,6,29,789632,0
0,252780,210,210,1,112,16,242332,0
0,18102,16,16,1,119,72,7759,0
1,8750,10,10,3,107,65,352,0
0,230403,209,209,1,61,10,222871,0
0,638425,172,172,1,45,18,628055,0
0,34341,15,15,2,106,32,26002,1
0,5467,74,74,2,75,91,2,0
1,14711,135,135,3,136,103,4479,1
0,5231,26,26,1,132,67,1,1
0,1301475,104,104,1,54,50,1291027,1
0,536745,47,47,1,104,18,531839,0
1,1351353,152,152,3,135,46,1340908,0
0,107347,18,18,1,120,57,100946,1
0,5029,28,28,2,69,77,2,1
0,82139,162,162,1,21,3,71676,1
0,534898,113,113,2,102,33,529028,1
0,97751,81,81,2,81,23,91272,1
0,1028641,20,20,1,100,40,1018586,0
0,64329,98,98,1,130,1,53935,0
0,6046,80,80,2,41,93,2,1
0,364064,59,59,1,24,33,353619,1
0,501262,103,103,1,24,20,494255,0
0,1392969,105,105,1,0,50,1382515,1
1,736142,224,224,3,123,29,726108,0
0,13390,158,158,1,124,71,2987,0
0,635740,96,96,1,31,14,625292,0
0,6239,136,136,2,58,104,3,1
0,510863,220,220,1,11,6,500484,0
0,288082,208,208,1,94,51,277652,0
0,12200,8,8,1,49,64,1905,1
0,7785,140,140,2,44,105,1726,0
0,775910,132,132,1,91,33,765552,0
0,424985,124,124,1,44,31,418893,0
1,11317,87,87,3,40,30,5433,1
0,487135,86,86,1,109,38,478468,1
0,656937,154,154,1,1,22,646543,0
0,400877,72,72,2,9,31,396354,0
0,490459,110,110,1,47,7,480062,0
0,188433,129,129,1,123,10,178087,1
0,34480,144,144,1,14,24,24017,1
0,76316,29,29,2,76,31,71757,1
0,22220,223,223,1,105,39,11901,1
0,508446,157,157,1,61,10,497998,0
0,1684949,56,56,1,46,50,1674489,1
0,72152,146,146,1,57,28,61794,1
0,7036,194,194,1,125,118,1,1
1,40882,92,92,3,95,41,30431,1
1,12411,134,134,3,4,102,1858,1
0,6131,48,48,1,126,83,890,0
1,8139,178,178,3,56,112,1,1
0,3514,111,111,1,29,98,3,0
0,563694,143,143,1,87,26,556752,1
0,3034,91,91,2,86,95,2,0
0,138943,51,51,2,62,23,131411,0
0,600090,181,181,1,102,33,589645,1
0,656716,88,88,1,6,21,646334,0
0,56068,176,176,1,24,111,45617,0
0,2345983,164,164,1,22,51,2335691,0
0,19621,53,53,1,120,57,13649,1
1,25728,93,93,3,39,56,21774,1
0,60872,206,206,1,22,51,50520,1
0,698669,83,83,1,62,23,688299,0
0,545365,221,221,1,80,19,535076,0
1,6309,71,71,3,22,89,1,1
1,7511,128,128,3,33,100,3,0
0,572820,182,182,1,127,11,566630,0
