Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,0,12909,140,111,10807
0,0,6110,98,99,3849
0,0,457048,87,9,454787
0,0,478833,231,6,476677
0,0,16869,149,114,14662
0,0,552888,219,15,550654
0,0,835809,94,28,833647
1,0,3770,49,87,732
0,0,1069200,209,45,1067095
0,0,2907,36,71,667
0,0,2776,152,115,509
1,0,76342,177,33,73994
0,0,1167843,142,41,1165567
1,0,1026,4,69,22
0,1,692573,68,19,690150
1,0,27924,7,17,26149
0,0,754574,173,26,752403
0,0,1157625,115,42,1155433
1,0,12933,111,39,10912
1,0,96434,222,5,94266
1,0,45480,195,120,43330
0,0,604953,79,20,602554
0,0,2152,10,59,38
0,0,763015,82,37,760970
1,0,4215,70,19,1969
0,0,480713,38,4,478230
1,0,114439,9,3,112868
1,0,3201,58,73,2560
1,0,61722,221,51,61057
0,0,45278,99,18,42840
1,0,50723,119,104,48507
0,0,562476,171,10,560179
1,0,56175,83,5,53914
1,0,1621,64,93,2
0,0,1009290,45,38,1006993
1,0,11646,122,105,9286
0,0,487264,92,17,485114
1,0,47037,175,118,44773
0,0,371476,170,18,369323
0,0,477337,11,9,476408
0,0,1835184,66,46,1832923
1,0,53359,113,39,52601
0,0,1287,19,68,1
1,0,441740,90,29,439797
1,0,81519,12,5,79698
1,0,71686,213,49,69566
0,0,707127,47,23,704929
1,0,65232,218,50,62692
0,0,777368,224,31,775140
1,0,3230,126,22,921
1,0,2056,48,86,2
1,0,5540,44,84,3963
1,0,372955,230,29,370655
1,0,2191081,86,52,2188577
1,0,11060,139,31,8994
1,0,4184,235,35,1923
1,0,43304,155,55,40902
1,0,113111,165,15,111105
1,0,59089,41,55,56687
0,0,1189025,188,50,1186812
0,0,805063,178,38,803291
0,0,1835456,204,47,1833030
1,0,4516,52,89,3179
0,0,611448,109,10,610807
1,0,5046,157,116,2860
0,0,1204656,196,44,1202680
1,0,4025,163,16,1761
1,0,2650,24,34,386
1,0,560447,97,52,558669
1,0,335828,153,29,333633
0,0,480279,203,44,478171
1,0,7012,6,31,5501
1,0,2096,143,112,747
0,0,1138,5,106,2
0,0,1116077,150,40,1113876
1,0,76316,29,50,74154
0,0,496899,100,1,495853
1,0,15153,205,30,12949
0,0,1027491,75,37,1024990
1,0,170211,121,48,168412
0,0,799420,225,31,796943
0,0,377705,95,57,375522
0,0,3932,160,117,1401
0,0,914046,62,33,913312
0,0,244454,156,19,243822
0,0,394758,20,9,393970
0,0,574603,168,21,572120
0,0,5117,217,81,2943
0,0,252998,129,28,250869
0,0,1108,159,75,1
1,0,92964,91,41,90784
1,0,7454,51,88,5259
0,0,470842,187,51,468923
0,0,4059,30,70,1852
1,0,4593,1,17,2230
0,0,689616,81,52,687517
0,0,598394,167,21,596190
0,0,185005,117,58,182789
0,0,507624,191,3,505363
0,0,459000,172,10,456733
0,0,123424,232,8,121439
1,0,53099,223,38,50910
1,0,4883,42,82,2628
0,0,7548,53,90,5362
0,0,11573,107,102,9210
1,0,81116,3,13,80040
0,0,703891,71,23,701787
1,0,79561,116,55,77369
1,0,3704,22,66,1446
1,0,299939,227,11,297915
1,0,115059,158,22,112891
0,0,827,13,61,3
1,0,28523,80,37,26538
0,0,547726,132,7,545198
0,0,19404,198,121,17227
0,0,1039862,76,37,1037046
0,0,1937904,25,52,1935421
0,0,52834,182,0,50840
1,0,13918,120,104,11750
1,0,18062,131,107,16122
1,0,62927,147,24,60651
1,0,34512,88,96,32440
0,0,5683,55,91,3845
1,0,828692,193,47,827244
0,0,711734,32,23,710958
0,0,482055,110,10,479794
1,0,89110,206,16,86993
1,0,71096,136,40,68619
1,0,798,164,77,1
0,0,2326647,17,52,2325364
1,0,9859,208,80,7598
1,0,120751,185,3,119534
0,0,9642,211,123,7252
0,0,28514,108,103,26043
1,0,1699,84,8,101
0,0,1333,16,63,3
0,0,468090,40,2,465892
0,0,811009,210,32,808763
0,0,619207,202,9,617003
0,0,194620,123,53,192110
1,0,52112,102,43,49749
0,0,14957,63,74,12933
0,0,3468,69,94,1171
0,0,813661,180,37,811541
0,0,560608,179,16,558551
0,0,961848,151,36,959689
0,0,915393,61,33,914149
1,0,6868,183,119,4559
1,0,50074,189,3,47909
0,0,487691,31,18,485538
1,0,17178,105,101,14941
0,0,669010,130,16,666635
1,0,2335,169,12,101
0,0,2976,162,76,781
0,0,1159648,141,41,1157084
1,0,140815,228,11,140096
1,0,3637,161,33,1680
1,0,5471,135,110,3207
0,0,3774,18,64,1570
1,0,8253,101,41,6340
0,0,477141,197,7,476586
0,0,5583,96,98,3223
1,0,20192,201,29,18165
0,0,636865,78,20,634829
1,0,391932,8,57,389746
0,0,1152,14,60,1
1,0,122003,229,11,119982
1,0,6765,192,79,4204
1,0,35613,194,120,33460
0,0,16106,72,95,14127
0,0,2352753,128,52,2351474
1,0,85349,65,4,84366
1,0,303473,216,12,301437
1,0,49973,26,23,48072
0,0,7225,104,100,4853
1,0,9061,54,72,6806
1,0,17152,134,109,14774
0,0,369971,59,54,367785
1,0,19107,103,43,16912
1,0,316113,226,11,313945
1,0,5333,21,65,3093
1,0,4679,112,39,2307
0,0,2152465,190,51,2150273
0,0,1347,23,67,4
1,0,3133,50,88,824
0,0,23314,236,2,21104
0,0,763294,174,26,761027
0,0,411395,37,13,410220
1,0,51771,234,35,49540
0,0,469090,34,1,466913
0,0,909502,73,34,907241
1,0,68193,145,25,66007
1,0,315631,215,12,313523
1,0,10067,28,44,8418
0,0,609383,77,20,607077
1,0,351915,199,56,350539
0,0,400277,27,10,398004
0,0,702444,212,22,701878
1,0,369509,60,13,367296
1,0,3147,43,83,535
0,0,526037,39,3,525222
1,0,57522,124,22,55348
0,0,1375691,118,44,1373202
1,0,3258,207,122,754
1,0,66424,233,35,64094
1,0,16197,176,118,13717
0,0,4947,46,85,2638
0,0,399311,89,14,397290
0,0,646569,181,12,644707
1,0,20107,67,49,17801
0,0,2123600,85,51,2121408
0,0,5726,0,124,3723
1,0,654471,74,51,652312
1,0,828777,106,46,827212
1,0,27070,138,16,24536
1,0,311650,214,12,309482
1,0,16283,184,78,15441
1,2,1518,57,92,1
0,0,477984,148,5,475453
0,0,1178466,114,42,1176085
1,0,2336,146,113,3
1,0,60946,144,52,58898
1,0,4334,93,97,1968
0,0,1028709,166,39,1026565
1,0,224206,200,34,222371
1,0,92121,137,40,90979
0,0,731499,33,23,729406
1,0,7491,125,22,5182
1,0,1036,15,62,2
1,0,14203,56,32,11819
0,0,1475,2,125,3
0,0,471716,220,5,470270
1,0,1909430,127,51,1907460
0,0,669243,186,18,667156
1,0,18709,35,27,16532
1,0,6479,133,108,5838
0,0,668634,154,24,666520
