Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,0,1037760,369,22,1037092
0,0,18293,404,95,17649
0,0,7200,136,45,6637
0,0,55025,359,83,54438
0,0,1457890,91,28,1457246
1,0,487260,204,23,486679
0,0,1995197,221,27,1994529
0,0,9057,388,90,8128
0,0,4555,133,64,3962
0,0,622513,27,28,621803
1,0,807166,154,22,806492
0,0,112468,401,94,111971
0,0,4870,341,78,4217
0,0,2682,268,76,1954
1,0,163066,8,8,162521
0,0,1955674,333,28,1955171
0,0,735451,97,28,734867
1,0,1357417,312,28,1356881
1,0,1481322,94,28,1480762
1,0,36247,73,15,35642
0,0,1187163,347,22,1186465
0,0,120884,35,14,120498
1,0,1921473,109,28,1920904
0,0,438865,352,17,438233
0,0,308712,370,16,308044
0,0,1033564,301,18,1032920
0,0,1578872,120,28,1578312
0,0,85370,62,58,84681
0,0,17407,265,74,16820
0,0,497483,126,17,496893
1,0,1707996,29,27,1707370
1,0,6677,379,86,6162
1,0,278070,226,3,277438
0,0,1731530,337,28,1730895
0,0,477620,209,6,476973
0,0,565167,382,20,564760
0,0,10321,127,61,9749
0,0,1686468,113,28,1685914
0,0,7629,234,70,6979
0,0,1645,356,83,1004
1,0,376974,56,3,376393
0,0,767988,275,27,767290
1,0,426818,139,4,426186
1,0,39701,53,57,39237
0,0,265007,263,23,264339
1,0,782,47,54,129
1,0,1118634,321,28,1117975
1,0,30799,74,15,30158
1,0,159847,68,14,159101
0,0,694973,309,27,694383
0,0,1610144,115,28,1609563
0,0,487905,171,3,487330
1,0,356421,430,13,355831
0,0,1932015,108,28,1931470
0,0,2027,40,52,1341
0,0,1743790,336,28,1743146
0,0,515441,210,6,514617
1,0,1109679,318,28,1109041
0,0,347837,18,3,347313
0,0,250738,325,3,250097
1,0,1579,3,34,1004
0,0,570400,77,7,569783
0,0,544317,148,22,543658
0,0,52129,269,76,51491
1,0,19103,380,86,18480
0,0,4829,262,73,4128
1,0,599763,237,10,598996
0,0,430625,12,16,430509
1,0,1142859,409,27,1142287
0,0,339516,229,3,338926
1,0,1413348,213,26,1412725
1,0,1066542,405,27,1065931
0,0,15668,345,79,15015
1,0,6518,306,1,5874
1,0,26110,308,14,25487
1,0,504309,428,4,503911
