Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1169344,40,40,44,1,0,25,1158920,0
0,7614,2,0,60,0,0,2,1030,1
0,609988,156,156,10,1,0,124,605538,1
0,1211309,161,161,49,1,0,132,1200861,0
0,71128,80,80,45,1,0,17,60752,1
1,18759,150,150,107,3,1,74,8548,1
0,52109,55,55,5,1,0,60,41772,1
0,18044,36,36,30,1,0,9,13358,1
0,424181,137,137,10,1,0,64,413739,0
0,225503,222,222,8,1,0,116,215040,0
1,1026196,140,140,49,3,1,35,1015775,0
0,330111,108,108,15,1,0,71,322282,0
0,458221,50,50,10,1,0,110,447770,1
0,328819,64,64,30,1,0,68,318764,0
0,18045,172,172,110,1,0,65,7588,0
0,83617,100,100,27,1,0,89,73238,1
1,743366,13,13,28,3,1,92,733188,0
0,775910,130,130,33,1,0,91,765552,0
0,22103,169,169,33,1,0,52,14689,1
0,332104,166,166,33,1,0,52,321641,0
0,7780,9,9,63,2,0,123,2,1
0,818767,119,119,29,1,0,121,810066,0
0,573981,157,157,10,1,0,124,563530,0
0,459416,61,61,34,1,0,139,449073,1
1,5380,25,25,75,3,1,26,2,1
1,214744,10,10,38,3,1,38,206012,1
0,31572,74,74,36,1,0,24,21127,1
0,63253,173,173,111,1,0,76,52823,1
0,286931,190,190,51,1,0,97,283691,0
0,149649,114,114,23,2,0,25,143326,0
0,14171,178,178,34,2,0,59,4392,1
0,11492,31,31,78,1,0,56,5925,1
0,26884,60,60,16,1,0,51,16478,1
0,45907,205,205,50,2,0,16,38978,1
0,13390,159,159,70,1,0,125,2987,0
0,193120,183,183,23,2,0,96,183374,0
0,9732,191,191,116,1,0,18,1,0
1,1233807,176,176,46,3,1,136,1224493,1
0,62951,93,93,53,1,0,85,52593,1
0,970184,184,184,46,1,0,83,959784,1
0,138304,215,215,13,1,0,49,127910,1
0,13701,151,151,108,1,0,79,3220,1
0,328850,46,46,29,1,0,14,318795,0
0,5595,7,7,62,2,0,137,1,1
0,213628,99,99,52,1,0,129,203258,0
1,24168,111,111,98,3,1,22,13795,0
0,31191,120,120,35,1,0,53,20812,1
0,3034,90,90,95,2,0,86,2,0
0,347060,219,219,34,2,0,139,339083,1
1,127990,148,148,53,3,1,122,117557,1
0,390898,218,218,34,1,0,71,380639,1
0,60872,206,206,50,1,0,21,50520,1
0,141214,129,129,27,1,0,39,130814,1
0,842551,211,211,35,1,0,6,832124,0
0,475972,76,76,2,2,0,82,470489,0
0,534898,112,112,33,2,0,103,529028,1
0,47512,123,123,29,1,0,14,39092,1
0,2345983,164,164,50,1,0,21,2335691,0
0,33876,199,199,121,1,0,69,23431,0
0,2017022,5,5,48,2,0,101,2011656,0
1,796435,41,41,32,3,1,135,786038,0
0,908777,37,37,37,1,0,102,898398,0
1,1020605,200,200,48,3,1,19,1014285,0
1,25728,92,92,55,3,1,39,21774,1
0,13163,65,65,87,1,0,48,2601,0
1,789447,212,212,35,3,1,113,779023,0
0,7954,192,192,117,2,0,66,2,0
0,229560,213,213,28,1,0,93,219184,1
0,1028641,19,19,40,1,0,100,1018586,0
0,69531,217,217,13,1,0,49,59128,1
0,5243,68,68,88,1,0,45,2,0
0,9826,22,22,74,2,0,114,2831,0
1,12411,132,132,102,3,1,3,1858,1
0,6482,4,4,61,2,0,66,3,0
0,78813,196,196,51,1,0,140,72588,1
0,12312,195,195,51,2,0,7,7990,1
0,40663,197,197,120,1,0,125,30197,1
0,24830,101,101,27,1,0,39,14646,1
0,288082,208,208,50,1,0,94,277652,0
0,64484,127,127,30,2,0,97,55971,1
0,127475,170,170,54,1,0,88,117093,1
0,32850,186,186,9,1,0,100,28143,1
0,207695,52,52,15,1,0,111,204667,0
