Chromosome_Location,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Subclass,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,13580138,100,100,0,2,7,13578653,1
1,10815148,84,84,0,2,7,10814110,1
1,6955492,54,54,0,1,2,6953756,0
1,8380600,65,65,0,2,7,8379902,1
1,9240256,75,75,0,5,2,9238329,1
1,9377132,78,78,0,5,7,9376461,0
1,3221626,27,27,0,5,7,3220494,0
1,2102690,15,15,0,11,7,2100093,1
1,20867515,143,143,0,1,1,20866022,0
1,12246771,92,92,0,2,7,12245099,0
1,2680808,19,19,0,16,2,2679423,0
1,1401408,10,10,0,1,7,1400647,0
1,20915947,144,144,0,1,1,20914958,1
1,9200825,74,74,0,5,7,9199485,1
1,6638754,53,53,1,4,8,6637225,0
1,6441604,52,52,0,2,7,6440312,0
1,15741,0,0,0,18,7,14537,1
1,18735986,133,133,0,15,1,18734498,0
1,5430215,43,43,0,23,7,5429553,0
1,9310089,76,76,0,2,7,9309220,0
1,17401205,123,123,1,13,8,17399302,1
1,23649517,155,155,0,2,1,23648664,1
1,6362947,51,51,0,5,2,6361372,1
1,12849258,96,96,0,2,7,12848426,1
1,20479303,141,141,1,6,9,20477665,0
1,2737107,20,20,0,5,2,2736457,1
1,981427,6,6,0,5,7,980799,0
1,3054496,24,24,1,4,6,3053067,0
1,2642795,18,18,0,16,7,2641014,0
1,3511059,31,31,0,5,7,3509868,0
1,14451589,108,108,0,1,2,14449142,0
1,23514561,154,154,0,1,1,23513521,1
1,15398283,113,113,0,1,7,15396637,1
1,4838125,39,39,0,9,7,4836803,0
1,12488986,93,93,0,2,7,12486822,1
1,18766836,134,134,0,2,3,18765534,1
1,7567593,59,59,0,1,2,7566580,1
1,3453161,30,30,0,1,7,3451287,0
1,18932862,135,135,0,2,1,18931125,0
1,7857029,61,61,0,1,7,7856016,1
1,13391838,99,99,0,5,2,13390600,1
1,2579015,16,16,0,11,7,2576673,0
1,14931220,111,111,0,1,7,14928527,0
1,11412405,86,86,0,2,7,11411355,0
