Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,691121,77,1,0,26,690219,0
0,13686177,101,1,0,59,13681198,0
1,243279,50,3,1,20,239581,1
0,68272,3,1,0,3,58754,0
1,429433,59,3,1,11,427442,0
1,350186,26,3,1,19,346785,1
0,66842,1,1,0,1,57327,0
1,335949,41,3,1,13,332707,0
0,691157,94,1,0,25,690288,0
1,12430,55,3,1,49,10808,0
1,788786,11,3,1,31,784983,1
1,515535,65,3,1,11,511714,0
1,1065895,85,3,1,28,1062773,0
1,213136,66,3,1,13,209912,0
1,523896,83,3,1,19,520486,1
0,682558,13,1,0,25,680154,0
1,11747,62,3,1,36,8811,1
0,13341943,99,2,0,4,13338355,0
1,75404,52,3,1,24,71586,1
1,142018,88,3,1,55,138758,0
0,5300473,98,1,0,4,5299394,0
0,15212101,100,2,0,4,15211018,0
0,683957,10,2,0,25,682659,0
1,259348,93,3,1,14,255518,0
1,49886,74,3,1,52,46212,1
1,605221,45,3,1,15,603080,0
1,4154,15,3,1,37,495,1
0,66669,0,1,0,0,58960,0
1,608315,33,3,1,20,604602,1
0,1167562,7,1,0,7,1158722,0
0,681513,78,2,0,26,680680,0
1,1109524,76,3,1,27,1105571,1
1,300213,43,3,1,19,298375,0
1,337613,96,3,1,20,336009,1
1,45188,12,3,1,18,41949,1
1,581064,64,3,1,11,577246,0
1,44223,89,3,1,56,37483,0
1,602157,20,3,1,17,598276,0
1,1379419,39,3,1,30,1376159,1
1,469174,17,3,1,9,465341,0
1,458499,82,3,1,19,454699,1
1,506172,35,3,1,28,503089,1
1,5940,31,3,1,42,2119,1
1,11129,47,3,1,46,7485,1
1,469188,90,3,1,10,465982,0
1,430849,58,3,1,11,429539,0
1,1515,27,3,1,35,1,1
0,3249490,5,1,0,6,3247895,1
1,605437,63,3,1,11,602729,1
1,250445,44,3,1,19,248646,0
1,956510,84,3,1,27,952710,1
1,22025,18,3,1,39,18780,1
1,89728,25,3,1,8,86798,1
1,1287934,38,3,1,30,1284098,1
1,2438,53,3,1,48,6,1
1,1560,56,3,1,50,1,0
1,1219117,102,3,1,58,1216267,0
1,377243,97,3,1,20,373542,1
1,8619,79,3,1,54,6454,1
1,24589,81,3,1,20,20873,1
1,7843,42,3,1,44,4586,1
1,1054897,57,3,1,23,1051832,0
0,8248,8,1,0,57,38,1
1,1056376,80,3,1,29,1052489,0
1,26933,86,3,1,55,23172,1
1,3051,9,3,1,33,1,0
1,337509,70,3,1,19,335044,0
1,233680,60,3,1,21,230456,1
1,65270,54,3,1,32,61929,1
1,296568,95,3,1,20,292768,1
1,66045,92,3,1,31,62704,1
1,37473,48,3,1,47,33883,1
1,80768,61,3,1,21,77490,1
1,31420,91,3,1,28,29030,1
1,507690,37,3,1,16,504439,0
1,74860,87,3,1,55,71606,1
1,280505,29,3,1,21,278556,1
1,81642,30,3,1,25,72760,1
1,22348,46,3,1,45,18539,1
1,248545,71,3,1,19,245762,0
1,643039,72,3,1,15,641519,0
1,2692,73,3,1,51,2,0
0,1413533,6,1,0,5,1404693,0
1,587652,32,3,1,20,583996,1
1,43248,36,3,1,12,39526,1
0,3247776,4,1,0,6,3246661,1
1,247107,67,3,1,13,243913,0
1,7274,21,3,1,41,4287,1
1,4357,16,3,1,38,527,1
1,1671383,24,3,1,30,1667499,1
1,10865,75,3,1,53,9594,1
1,1372594,34,3,1,27,1368890,0
1,1529406,69,3,1,30,1525576,1
1,1217402,68,3,1,30,1214406,0
0,68055,2,1,0,2,58540,0
0,6687,14,0,0,12,6370,1
1,250771,49,3,1,22,246869,1
1,654188,51,3,1,27,650496,0
1,19296,40,3,1,43,16819,0
1,444498,23,3,1,11,440737,1
1,1690,22,3,1,34,2,0
1,446032,28,3,1,20,442286,1
1,8539,19,3,1,40,4712,0
