Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,1097,13,7,0,51,1
1,0,30308,54,6,0,2,27168
1,0,81368,21,2,1,22,80808
0,0,763,10,1,0,52,5
0,0,703218,19,8,0,36,701626
1,0,5286,83,2,1,75,4336
1,0,93861,101,2,1,32,92599
0,0,716461,50,6,0,38,713525
0,0,581462,112,5,0,4,578019
0,0,212280,148,8,0,10,211864
0,0,38881,133,2,1,86,36347
0,0,297517,82,6,0,14,294389
1,0,83014,122,8,0,22,81473
1,0,720,141,8,0,92,1
0,0,666404,22,8,0,24,665952
1,0,30302,0,2,1,31,29316
1,0,5807,131,2,1,26,3882
1,0,118859,99,2,1,9,115842
0,0,9728,43,6,0,67,6585
0,0,12029,48,8,0,69,11478
0,0,315827,126,6,0,15,312663
1,0,4234,79,2,1,73,3116
0,0,99546,110,2,1,12,97369
1,0,32123,60,2,1,10,29739
0,0,929052,124,2,1,31,925927
1,0,4123,91,5,0,76,1628
0,0,116617,57,6,0,13,113450
0,0,8113,66,2,1,70,5945
1,0,4229,138,6,0,89,1371
1,0,33235,7,8,0,9,30782
0,0,1206,16,8,0,53,1
0,0,789292,98,2,1,29,788021
1,0,53098,127,2,1,34,49949
1,0,99066,113,2,1,1,97825
0,0,318588,153,6,0,14,315535
0,0,1289,11,8,0,49,3
1,0,546,143,8,0,94,1
1,0,383983,5,2,1,46,383429
0,0,213521,149,2,1,10,212382
1,0,57661,45,2,1,41,55166
1,0,74545,151,2,1,8,72053
0,0,8781,28,2,1,59,5653
0,0,599,1,7,0,58,3
1,0,81855,146,6,0,10,78709
1,0,341238,29,2,1,4,338959
0,0,227216,80,8,0,43,225387
0,0,5181,105,2,1,79,4192
1,0,99079,55,2,1,2,97820
1,0,35758,6,7,0,9,35156
1,0,46653,89,2,1,38,44743
0,0,521345,25,6,0,1,518232
1,1,54155,59,6,0,10,50976
1,0,96937,121,2,1,30,96035
0,0,1771,20,8,0,55,5
0,0,9252,128,8,0,85,7177
1,0,1005,18,8,0,54,1
