Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,13,55,7,0,51,1,0
0,0,30308,54,54,11,6,0,2,27168,1
1,0,81368,21,21,85,2,1,22,80808,1
0,0,763,10,10,25,1,0,52,5,0
0,0,703218,19,19,27,8,0,36,701626,0
1,0,5286,81,81,30,2,1,75,4336,1
1,0,93861,100,100,50,2,1,32,92599,1
0,0,716461,50,50,51,6,0,38,713525,0
0,0,581462,112,112,24,5,0,4,578019,0
1,0,213521,149,149,51,2,1,10,212382,0
1,0,38881,133,133,59,2,1,86,36347,0
0,0,302755,62,62,43,8,0,14,301802,0
0,0,83014,122,122,92,8,0,22,81473,1
0,0,720,141,141,28,8,0,92,1,1
0,0,666404,22,22,26,8,0,24,665952,0
1,0,30302,0,0,88,2,1,31,29316,1
1,0,5807,131,131,34,2,1,26,3882,1
0,0,140526,98,98,80,7,0,9,137425,1
0,0,9728,43,43,41,6,0,67,6585,0
0,0,12029,48,48,90,8,0,69,11478,0
1,0,6579,69,69,9,2,1,16,5257,1
1,0,4234,77,77,45,2,1,73,3116,1
0,0,100844,35,35,73,7,0,12,99663,0
0,1,54155,60,60,39,6,0,10,50976,1
1,0,929052,124,124,88,2,1,31,925927,0
0,0,4123,89,89,1,5,0,76,1628,1
0,0,297517,80,80,89,6,0,14,294389,0
1,0,8113,66,66,93,2,1,70,5945,0
0,0,4229,138,138,52,6,0,89,1371,1
0,0,35758,6,6,80,7,0,9,35156,1
0,0,1206,16,16,89,8,0,53,1,0
1,0,789292,96,96,11,2,1,29,788021,0
1,0,53098,127,127,24,2,1,34,49949,1
1,0,99066,113,113,84,2,1,1,97825,1
0,0,506906,101,101,89,0,0,14,503742,0
0,0,1289,11,11,94,8,0,49,3,0
0,0,546,143,143,64,8,0,94,1,1
1,0,383983,5,5,61,2,1,46,383429,1
0,0,37772,136,136,62,6,0,11,34755,1
1,0,57661,45,45,57,2,1,41,55166,1
0,0,642289,108,108,49,6,0,8,639173,0
1,0,8781,28,28,49,2,1,59,5653,0
0,0,599,1,1,32,7,0,58,3,0
1,0,201983,147,147,51,2,1,10,197949,0
1,0,341238,29,29,75,2,1,4,338959,1
0,0,227216,78,78,71,8,0,43,225387,0
1,0,5181,105,105,90,2,1,79,4192,0
1,0,99079,55,55,3,2,1,2,97820,1
0,0,43791,73,73,80,6,0,9,40663,1
1,0,46653,87,87,18,2,1,38,44743,1
0,0,521345,25,25,56,6,0,1,518232,0
0,0,81855,146,146,15,6,0,10,78709,1
1,0,96937,121,121,63,2,1,30,96035,1
0,0,1771,20,20,18,8,0,55,5,0
0,0,9252,128,128,82,8,0,85,7177,0
0,0,1005,18,18,65,8,0,54,1,1
1,0,573456,49,49,31,2,1,3,572590,0
1,0,552643,118,118,29,2,1,20,550361,1
1,0,1017672,51,51,12,2,1,34,1015075,0
0,0,1291,14,14,95,8,0,56,11,1
0,0,55385,130,130,54,6,0,0,52233,1
1,0,6751,106,106,93,2,1,79,5450,0
1,0,3425,119,119,69,2,1,84,855,1
0,0,68231,99,99,76,6,0,23,65097,1
0,0,750258,9,9,72,7,0,38,748432,0
1,0,201286,39,39,3,2,1,21,199007,1
0,0,313484,153,153,37,6,0,14,310344,0
0,0,13944,64,64,0,5,0,44,11467,1
1,0,118859,97,97,35,2,1,9,115842,1
0,0,116617,57,57,44,6,0,13,113450,0
0,0,1126783,132,132,14,5,0,39,1124243,1
0,0,4790,125,125,20,6,0,63,1644,1
0,0,304,129,129,83,7,0,64,2,0
0,0,33235,7,7,80,8,0,9,30782,1
0,0,19635,115,115,60,6,0,9,16504,1
0,0,40231,111,111,16,7,0,82,38468,1
0,0,704,15,15,17,3,0,57,18,1
1,0,701522,72,72,34,2,1,26,698580,0
0,0,33620,86,86,70,6,0,38,30504,1
1,0,673825,83,83,75,2,1,26,670661,0
1,0,782421,65,65,75,2,1,26,781378,0
1,0,100486,56,56,46,2,1,13,98009,0
0,0,632799,52,52,71,6,0,19,629461,0
0,0,559272,82,82,54,6,0,40,556483,0
