Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,6912,14,36,4054
0,152656,70,6,149750
1,3512,41,45,570
0,2374,43,46,2
1,595601,36,12,591036
1,478366,55,14,476669
0,623307,62,4,621664
1,26175,28,20,23011
0,2321637,26,21,2320534
1,613086,37,12,611617
1,5459,16,37,369
1,85207,71,4,81746
1,6009,72,56,1594
0,241168,60,2,239609
0,10189,67,55,8723
1,12357,18,39,7624
1,48747,74,16,45235
0,166284,42,6,162214
0,2470,35,43,2
1,39716,25,15,38265
0,585395,46,3,582072
1,1879,4,24,2
0,685088,9,11,683411
1,187784,12,8,184617
1,3165,38,44,1
1,467386,68,11,461438
0,2326,17,38,2
0,463665,40,5,460870
0,769652,7,10,767703
0,576641,69,1,572922
0,219070,21,7,217661
1,1119042,65,19,1112740
1,14382,54,4,9970
1,31870,56,50,22712
0,574606,47,3,573398
0,2053,50,32,2
1,13981,8,17,12296
1,6974,53,49,1995
1,1537,1,26,2
1,1556,2,59,3
0,1997,6,25,1
1,17159,15,20,14314
0,375450,20,22,373273
1,11280,11,34,2713
1,34118,45,21,31484
0,3322,13,35,2
0,2309,34,31,3
1,5982,0,58,4234
0,4784,30,42,3
0,1419959,5,19,1418007
1,2868,29,28,1600
1,348754,59,21,344585
1,4686,64,53,1
1,24031,27,27,21731
1,513352,32,13,509741
0,4676,66,54,3
0,1271,31,29,3
0,8695,51,33,5075
0,2498,44,47,3
1,13747,23,18,12191
1,304737,75,12,299488
1,78154,48,0,73799
1,37338,39,23,35617
1,35785,3,9,34078
1,89064,49,0,84641
1,50380,10,10,48473
1,5803,63,52,896
0,4720,24,41,2
1,4039,61,51,1
0,2312,52,48,2
1,22057,57,9,19652
1,5221,33,30,2141
0,4653,19,40,1
1,72456,22,6,65872
0,2190,73,57,1
1,21673,58,23,20189
