Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,373963,27,8,372953
1,257891,50,8,256881
1,235050,56,9,234100
0,213667,38,13,212129
1,587198,71,3,585768
0,2607,104,23,1612
0,1290307,45,18,1289624
1,318674,67,9,317781
0,340298,29,8,339360
1,3259,102,34,2075
1,714,42,22,1
1,441837,113,2,440959
0,426250,88,8,425120
1,575815,95,8,574721
1,14514,80,31,13402
0,705562,22,18,704282
0,217615,120,6,216422
0,553985,24,3,552546
1,381686,70,19,380409
1,669822,44,17,668569
0,220225,39,13,218687
1,86161,14,26,85631
1,539819,18,11,538632
0,762518,23,18,761364
0,633557,4,18,632190
1,272650,51,8,271751
0,117411,119,0,116032
0,283947,40,13,282400
0,319749,111,17,318496
1,368482,28,8,367493
1,502004,91,8,500910
1,549818,100,8,548385
1,523271,17,11,522144
0,626457,20,17,625132
0,307709,76,8,306750
1,267266,52,8,266289
1,747400,64,17,746270
1,496221,90,8,495283
0,29669,79,31,28731
1,20974,81,32,19538
1,617521,98,8,616619
1,1080003,106,17,1078741
0,1505678,21,18,1504257
0,427442,60,12,425919
0,431585,89,8,430644
0,2899,109,36,1952
1,1905561,49,17,1904098
1,64367,68,11,62844
0,263994,8,14,262717
0,924009,58,14,922486
1,288343,117,9,287549
0,514203,114,2,514066
1,722553,63,17,721447
1,1706820,5,17,1705558
1,212824,57,9,211883
1,444750,87,8,443839
0,493306,84,13,491759
0,245389,41,13,244757
0,437122,86,8,436220
0,1798125,75,18,1796725
0,518865,115,2,517981
1,544003,97,8,543026
0,286679,59,12,285567
1,28060,82,32,27086
1,16755,13,21,15559
1,456889,101,14,455630
1,14110,53,29,13145
0,21643,54,30,20600
1,1556126,74,16,1554660
0,622717,37,2,621833
1,496985,116,4,495984
0,2612,2,20,1824
0,17420,33,28,16842
0,284733,112,2,283762
0,218013,32,7,216889
1,489099,94,8,488107
0,400752,61,12,399232
1,1562,19,27,393
0,514924,66,2,514307
1,19265,77,31,18156
1,1056372,105,17,1055425
0,67859,15,1,66546
1,514925,16,11,513729
1,315559,118,9,315128
0,1977944,47,17,1976967
1,229688,55,9,228501
1,1855873,26,18,1854422
1,604409,96,8,603339
1,1862763,25,18,1861267
1,541977,108,10,540886
0,25674,103,35,24613
0,449733,1,13,448939
1,579257,43,9,578298
0,1593162,46,16,1591861
1,507159,92,8,506107
1,437723,35,9,436782
1,1564652,0,16,1564452
1,625575,99,8,624448
0,1263503,73,16,1262121
1,220328,30,8,219990
0,418436,34,9,417618
0,3154,83,33,2129
1,48657,11,24,47974
1,481887,93,8,480445
0,24337,78,31,23213
1,546194,72,0,544968
1,273888,85,9,272725
0,9331,12,25,7841
0,1679690,6,17,1678407
0,976612,65,17,975470
0,1497988,69,18,1497068
0,190441,10,15,189542
0,463276,62,12,461756
1,2058209,7,18,2056686
0,8433,110,36,7429
1,212508,31,8,211570
0,347997,36,12,346477
1,1973004,48,17,1972075
1,197165,9,5,196203
1,1698039,3,16,1696570
1,1127958,107,17,1127086
