Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1713823,10,10,28,2,86,1711409,0
1,32772,101,101,4,1,116,29866,1
0,373899,32,32,5,2,27,371611,1
0,721934,79,79,23,2,34,719244,1
0,428427,92,92,20,3,83,425755,0
0,1324430,93,93,30,2,61,1322082,0
0,465591,162,162,15,2,112,462814,0
0,54199,35,35,55,2,45,51578,1
1,952113,118,118,23,1,38,949273,1
0,1024944,233,233,29,2,85,1022305,0
1,199898,39,39,19,1,93,197364,1
0,404584,120,120,21,2,92,402206,0
0,473501,202,202,23,3,121,470631,0
0,246580,91,91,19,2,5,243767,0
0,33755,30,30,41,2,55,30969,0
0,355891,244,244,6,2,116,353552,0
0,602339,48,48,30,2,61,600009,0
1,1100880,194,194,23,1,38,1098211,1
1,1123469,221,221,24,1,94,1120611,0
0,1147282,168,168,30,2,61,1144757,1
1,32977,216,216,82,1,114,30248,1
0,33431,29,29,52,2,98,30843,1
0,184674,7,7,12,2,95,182293,0
0,1516533,47,47,30,2,61,1514173,1
0,553480,173,173,1,3,65,550610,0
0,16153,33,33,53,2,45,13502,0
0,292921,245,245,6,2,118,290183,1
0,256062,178,178,5,2,120,253732,0
0,25495,54,54,58,2,98,22811,0
0,8691,195,195,75,2,30,6085,1
0,180436,213,213,11,2,43,177890,1
0,15222,212,212,79,2,7,12538,1
0,849988,205,205,23,2,79,847319,0
0,1919214,107,107,29,2,73,1916677,1
0,546874,143,143,15,2,105,544250,0
1,1014233,136,136,29,1,29,1011738,0
0,519004,251,251,7,2,74,516413,0
0,1161129,167,167,30,2,111,1158613,0
0,82609,139,139,19,3,41,79808,1
1,316755,121,121,24,1,94,314314,0
0,622377,45,45,29,2,9,620053,0
0,483376,100,100,24,2,107,480707,1
0,1176004,166,166,30,2,104,1173581,0
0,1015945,209,209,23,2,71,1013150,1
0,204433,67,67,14,2,44,201761,1
0,1745786,15,15,29,2,73,1743231,0
0,125132,85,85,4,2,46,122370,1
1,17633,25,25,50,1,64,14982,0
0,4209,123,123,66,2,67,1423,0
0,187941,232,232,5,2,36,185287,0
0,1035713,62,62,25,2,49,1032837,0
0,425184,137,137,16,2,53,422410,0
0,513629,257,257,15,3,82,510834,0
0,565358,87,87,30,2,111,563163,1
0,1115182,220,220,24,2,77,1112378,0
1,432436,159,159,15,1,61,429818,0
0,218715,59,59,17,2,70,215884,1
1,86749,153,153,3,1,68,84020,1
1,396102,74,74,19,1,93,393418,0
1,107074,254,254,2,1,72,104540,0
0,602587,46,46,29,2,85,600077,0
1,389747,164,164,15,1,125,387120,0
0,422008,200,200,17,2,32,419294,0
0,1065877,198,198,25,2,110,1063010,0
0,378614,163,163,15,2,87,375975,0
0,309384,112,112,5,2,120,306937,0
0,585607,86,86,6,2,118,583331,1
0,7162,23,23,48,2,45,4697,0
0,650434,43,43,14,3,37,647633,1
