Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,243,2,0,31,299487,0
1,0,32772,98,1,1,4,29866,1
0,0,373899,28,2,0,5,371611,1
0,0,736453,78,3,0,23,733583,0
0,1,190552,80,2,0,21,188093,1
0,0,1516533,42,2,0,32,1514173,1
0,0,465591,162,2,0,15,462814,0
0,0,54199,31,2,0,58,51578,1
0,0,988200,207,2,0,23,985546,1
0,0,1062895,234,2,0,31,1060310,1
0,0,246580,87,2,0,19,243767,0
0,0,758419,44,2,0,22,756089,0
0,0,488327,203,3,0,23,485541,0
1,0,322020,237,1,1,19,319249,0
0,0,33755,26,2,0,44,30969,0
0,0,355891,245,2,0,6,353552,0
0,0,993191,43,2,0,32,990858,1
1,0,1150558,193,1,1,23,1147775,1
0,0,1152306,222,2,0,24,1149583,0
0,0,1161129,166,2,0,32,1158613,0
1,0,32977,216,1,1,85,30248,1
0,0,33431,25,2,0,55,30843,1
0,0,184674,5,2,0,12,182293,0
0,0,1757922,189,2,0,32,1755496,1
0,0,553480,174,3,0,1,550610,0
0,0,16153,29,2,0,56,13502,0
0,0,292921,246,2,0,6,290183,1
0,0,256062,179,2,0,5,253732,0
0,0,25495,49,2,0,61,22811,0
0,0,8691,196,2,0,78,6085,1
0,0,180436,213,2,0,11,177890,1
0,0,15222,212,2,0,82,12538,1
0,0,867065,117,2,0,23,864531,0
0,0,1966199,104,2,0,31,1963551,1
0,0,546874,143,2,0,15,544250,0
0,0,1024944,233,2,0,31,1022305,0
0,0,519004,251,2,0,7,516413,0
0,0,1176004,165,2,0,32,1173581,0
0,0,156435,33,3,0,19,153649,1
0,0,447956,177,2,0,24,445458,1
0,0,735391,129,2,0,31,733043,0
0,0,1102343,226,2,0,24,1099539,0
0,0,1314205,90,2,0,32,1311887,0
0,0,1034195,209,2,0,23,1031508,1
0,0,204433,61,2,0,14,201761,1
