Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1097,12,7,0,51,1,0
0,0,30308,50,6,0,2,27168,1
1,0,56857,120,2,1,22,54575,1
0,0,763,9,1,0,52,5,0
1,0,5564,39,2,1,36,2433,1
1,0,5286,78,2,1,75,4336,1
1,0,929052,122,2,1,31,925927,0
0,0,52289,82,6,0,38,48939,1
0,0,581462,110,5,0,4,578019,0
0,0,212280,147,8,0,10,211864,0
1,0,38881,131,2,1,86,36347,0
0,0,297517,77,6,0,14,294389,0
1,0,81368,20,2,1,22,80808,1
0,0,720,140,8,0,92,1,1
1,0,742903,100,2,1,23,741965,0
1,0,28960,1,2,1,31,27503,1
0,0,429068,81,6,0,25,425925,0
1,0,118859,95,2,1,9,115842,1
0,0,9728,40,6,0,67,6585,0
0,0,12029,45,8,0,69,11478,0
0,0,315827,124,6,0,15,312663,0
1,0,4234,74,2,1,73,3116,1
1,0,99546,108,2,1,12,97369,0
1,0,32123,56,2,1,10,29739,1
0,0,48514,137,6,0,31,47612,1
0,0,4123,87,5,0,76,1628,1
0,0,116617,53,6,0,13,113450,0
1,0,8113,62,2,1,70,5945,0
0,0,4229,136,6,0,89,1371,1
0,0,33235,6,8,0,9,30782,1
0,0,1206,15,8,0,53,1,0
1,0,767496,93,2,1,29,766105,0
0,0,567659,25,1,0,33,567123,0
1,0,99066,111,2,1,1,97825,1
0,0,318588,152,6,0,14,315535,0
0,0,1289,10,8,0,49,3,0
0,0,546,142,8,0,94,1,1
1,0,383983,4,2,1,46,383429,1
1,0,213521,148,2,1,10,212382,0
1,0,57661,42,2,1,41,55166,1
1,0,74545,150,2,1,8,72053,1
1,0,8781,26,2,1,59,5653,0
0,0,599,0,7,0,58,3,0
0,0,81855,145,6,0,10,78709,1
1,0,341238,27,2,1,4,338959,1
0,0,227216,75,8,0,43,225387,0
1,0,5181,103,2,1,79,4192,0
1,0,99079,51,2,1,2,97820,1
0,0,35758,5,7,0,9,35156,1
0,0,33620,83,6,0,38,30504,1
0,0,521345,23,6,0,1,518232,0
0,1,54155,55,6,0,10,50976,1
0,0,48145,2,4,0,30,47690,1
0,0,1771,19,8,0,55,5,0
0,0,9252,126,8,0,85,7177,0
0,0,1005,17,8,0,54,1,1
1,0,573456,46,2,1,3,572590,0
0,0,632799,48,6,0,19,629461,0
1,0,53098,125,2,1,34,49949,1
0,0,1291,13,8,0,56,11,1
0,0,55385,128,6,0,0,52233,1
1,0,6751,104,2,1,79,5450,0
1,0,3425,117,2,1,84,855,1
0,0,765509,36,6,0,22,762384,0
0,0,750258,8,7,0,38,748432,0
0,0,153763,101,5,0,21,151067,1
0,0,307836,151,8,0,14,304756,0
0,0,13944,60,5,0,44,11467,1
0,0,43791,68,6,0,9,40663,1
1,0,100486,52,2,1,13,98009,0
0,0,1126783,130,5,0,39,1124243,1
