Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,65081,87,87,0,24,62292
0,0,4679,184,184,1,134,1893
0,0,308397,304,304,1,58,305485
0,0,847503,312,312,1,39,845194
0,0,502030,131,131,0,0,499289
1,0,79193,80,80,1,3,76656
0,0,2449,0,0,1,152,11
1,0,7010,292,292,0,148,4233
1,0,491613,134,134,1,40,488857
1,0,21822,317,317,1,13,18838
1,0,3014,97,97,1,66,228
0,0,639965,258,258,1,23,637563
0,0,570499,252,252,1,26,567725
1,0,7457,214,214,1,40,4911
0,0,6673,233,233,1,139,3815
0,0,716265,36,36,0,29,713932
1,0,29749,162,162,1,28,26915
1,0,1133115,272,272,1,52,1130755
1,0,60671,176,176,1,46,58218
1,0,2940,212,212,1,136,73
0,0,8383,219,219,0,137,7271
1,0,17724,294,294,0,59,14986
0,0,13435,274,274,1,144,10745
1,0,86361,189,189,0,15,83876
1,0,510295,141,141,1,26,507728
0,0,628364,102,102,1,26,625434
0,0,504140,269,269,1,2,500865
0,0,636457,213,213,1,13,635763
0,0,848494,163,163,1,34,847454
0,0,492362,28,28,1,1,490971
0,0,236472,223,223,1,3,233641
0,0,782600,206,206,0,30,781197
0,0,7188,125,125,1,121,4384
1,0,8831,111,111,1,119,6234
0,0,654938,253,253,1,26,652152
0,0,984,306,306,1,151,31
1,0,1094,24,24,1,75,159
0,0,24358,275,275,0,144,21590
1,0,1225,54,54,0,79,1
0,0,628999,143,143,1,12,626735
1,0,13990,116,116,1,16,11384
1,0,28068,66,66,1,67,25282
1,0,3158,255,255,1,93,408
0,0,2351295,266,266,1,58,2348338
0,0,9939,58,58,0,102,8926
1,0,10214,242,242,1,25,7875
1,0,9052,247,247,1,142,7148
0,0,811998,313,313,0,39,810235
1,0,4342,85,85,1,31,1385
0,0,3790,210,210,1,89,806
1,0,1721524,41,41,1,58,1718519
0,0,2010044,11,11,0,56,2009265
1,0,4119,43,43,0,33,967
0,0,1008775,190,190,1,58,1006142
1,0,66235,248,248,0,40,64469
1,0,556405,240,240,1,27,554000
1,0,8756,145,145,1,45,5919
1,0,4216,133,133,0,47,1460
0,0,430057,186,186,1,32,427406
0,0,1137976,137,137,0,57,1133828
0,0,1204,127,127,0,87,2
1,0,8397,16,16,0,9,5578
0,0,779582,205,205,0,30,776703
1,0,976,21,21,1,74,2
0,0,690828,276,276,1,36,688522
0,0,3258,40,40,1,77,436
1,0,6116,59,59,1,103,4224
0,0,606712,238,238,0,12,603989
0,0,688837,90,90,1,25,685982
1,0,9121,289,289,1,38,6152
1,0,33240,56,56,1,40,30436
0,0,490870,47,47,0,1,489493
1,0,4777,19,19,1,70,2027
1,0,26225,207,207,0,65,24447
0,0,783456,83,83,1,33,780772
1,0,15107,264,264,1,2,12237
1,0,169188,308,308,0,44,166855
0,0,683526,259,259,1,23,681076
1,0,58458,115,115,0,16,55432
0,0,1185502,71,71,0,47,1183688
1,0,644271,100,100,1,58,641242
1,0,16574,222,222,1,138,14088
0,0,3713,285,285,0,97,2106
1,0,59561,140,140,1,50,57681
0,0,3597,235,235,0,140,1834
0,0,5794,136,136,1,123,3014
0,1,655728,168,168,0,18,653962
1,0,41742,309,309,1,44,39727
0,0,829858,120,120,1,36,827087
0,0,794113,243,243,0,32,793295
0,0,169312,68,68,0,55,166550
0,0,471708,199,199,1,20,469507
1,0,122539,191,191,1,14,120197
0,0,625252,229,229,1,27,622190
0,0,582823,22,22,1,20,581135
0,0,702008,180,180,0,31,700188
0,0,9553,114,114,1,85,7784
