Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,1097,12,12,0,51,1
1,0,30308,50,50,0,2,27168
1,0,56857,120,120,1,22,54575
0,0,763,9,9,0,52,5
1,0,5564,39,39,1,36,2433
1,0,5286,78,78,1,75,4336
0,0,929052,122,122,1,31,925927
1,0,52289,82,82,0,38,48939
0,0,581462,110,110,0,4,578019
0,0,212280,147,147,0,10,211864
0,0,38881,131,131,1,86,36347
0,0,297517,77,77,0,14,294389
1,0,81368,20,20,1,22,80808
1,0,720,140,140,0,92,1
0,0,742903,100,100,1,23,741965
1,0,28960,1,1,1,31,27503
0,0,429068,81,81,0,25,425925
1,0,118859,95,95,1,9,115842
0,0,9728,40,40,0,67,6585
0,0,12029,45,45,0,69,11478
0,0,315827,124,124,0,15,312663
1,0,4234,74,74,1,73,3116
0,0,99546,108,108,1,12,97369
1,0,32123,56,56,1,10,29739
1,0,48514,137,137,0,31,47612
1,0,4123,87,87,0,76,1628
0,0,116617,53,53,0,13,113450
0,0,8113,62,62,1,70,5945
1,0,4229,136,136,0,89,1371
1,0,33235,6,6,0,9,30782
0,0,1206,15,15,0,53,1
0,0,767496,93,93,1,29,766105
0,0,567659,25,25,0,33,567123
1,0,99066,111,111,1,1,97825
0,0,318588,152,152,0,14,315535
0,0,1289,10,10,0,49,3
1,0,546,142,142,0,94,1
1,0,383983,4,4,1,46,383429
0,0,213521,148,148,1,10,212382
1,0,57661,42,42,1,41,55166
1,0,74545,150,150,1,8,72053
0,0,8781,26,26,1,59,5653
0,0,599,0,0,0,58,3
1,0,81855,145,145,0,10,78709
1,0,341238,27,27,1,4,338959
0,0,227216,75,75,0,43,225387
0,0,5181,103,103,1,79,4192
1,0,99079,51,51,1,2,97820
1,0,35758,5,5,0,9,35156
1,0,33620,83,83,0,38,30504
0,0,521345,23,23,0,1,518232
1,1,54155,55,55,0,10,50976
1,0,48145,2,2,0,30,47690
0,0,1771,19,19,0,55,5
0,0,9252,126,126,0,85,7177
1,0,1005,17,17,0,54,1
0,0,573456,46,46,1,3,572590
0,0,632799,48,48,0,19,629461
1,0,53098,125,125,1,34,49949
1,0,1291,13,13,0,56,11
1,0,55385,128,128,0,0,52233
0,0,6751,104,104,1,79,5450
1,0,3425,117,117,1,84,855
0,0,765509,36,36,0,22,762384
0,0,750258,8,8,0,38,748432
1,0,153763,101,101,0,21,151067
0,0,307836,151,151,0,14,304756
1,0,13944,60,60,0,44,11467
1,0,43791,68,68,0,9,40663
0,0,100486,52,52,1,13,98009
1,0,1126783,130,130,0,39,1124243
1,0,4790,123,123,0,63,1644
0,0,304,127,127,0,64,2
1,0,30678,113,113,0,9,29548
0,0,642289,106,106,0,8,639173
1,0,40231,109,109,0,82,38468
1,0,704,14,14,0,57,18
0,0,694715,133,133,1,26,691713
1,0,5115,54,54,0,38,2545
1,0,5807,129,129,1,26,3882
0,0,762911,102,102,1,26,760413
0,0,100844,32,32,0,12,99663
1,0,506465,69,69,1,19,504186
0,0,559272,79,79,0,40,556483
1,0,4270,35,35,0,42,1799
0,0,824374,61,61,1,26,822413
0,0,672501,85,85,1,24,670264
1,0,484,139,139,0,91,2
1,0,7065,66,66,1,72,6076
0,0,506906,98,98,0,14,503742
1,0,96937,119,119,1,30,96035
1,0,1651,92,92,1,62,830
0,0,302755,58,58,0,14,301802
0,0,1330,11,11,0,50,2
0,0,492209,22,22,1,1,489726
0,0,703218,18,18,0,36,701626
1,0,7840,65,65,1,16,6842
1,0,24175,37,37,0,47,21059
0,0,1482,105,105,1,80,1
0,0,3560,30,30,1,65,861
1,0,40333,118,118,0,84,37199
1,0,6322,44,44,0,15,3197
0,0,673825,80,80,1,26,670661
0,0,201983,146,146,1,10,197949
0,0,232598,154,154,1,3,230508
1,0,46653,84,84,1,38,44743
0,0,789292,94,94,1,29,788021
0,0,714709,99,99,1,26,711560
0,0,1815,91,91,1,78,1
1,0,11460,143,143,0,95,9091
0,0,772874,149,149,0,28,769737
1,0,341160,155,155,1,3,338881
0,0,135805,156,156,0,5,132644
0,0,326955,31,31,0,18,323962
1,0,2735,76,76,1,74,246
1,0,4884,49,49,1,46,1753
0,0,562767,57,57,0,6,559651
0,0,676357,28,28,1,23,675068
1,0,11360,89,89,0,77,8184
0,0,1011,7,7,0,48,1
0,0,7732,63,63,0,71,4595
0,0,696,114,114,0,83,1
1,0,552643,116,116,1,20,550361
0,0,225838,90,90,0,17,222980
1,0,46094,73,73,0,37,43491
0,0,296392,24,24,0,15,293633
1,0,36371,141,141,1,93,34218
0,0,220362,115,115,0,18,217744
0,0,532553,153,153,1,14,531252
1,0,34862,86,86,0,28,34431
0,0,638513,70,70,1,7,636579
0,0,685611,67,67,1,17,683131
1,0,40751,41,41,1,68,38379
1,0,5438,138,138,0,90,3198
1,0,8449,121,121,0,45,5315
1,0,37772,134,134,0,11,34755
0,0,11809,38,38,1,66,9641
0,0,8362,132,132,1,87,5834
1,0,96112,112,112,0,1,92984
1,0,6579,64,64,1,16,5257
1,0,16287,34,34,1,60,13156
1,0,371763,3,3,1,45,371065
1,0,3141,88,88,0,61,982
0,0,1015710,33,33,0,35,1014604
1,0,93861,97,97,1,32,92599
0,0,634208,29,29,0,39,633441
0,0,673601,72,72,1,27,670680
0,0,741862,157,157,1,23,740972
1,0,11203,43,43,1,41,8075
0,0,12199,144,144,1,96,10430
0,0,631461,71,71,1,7,630235
1,0,2165,135,135,0,88,1
1,0,68231,96,96,0,23,65097
0,0,704396,16,16,0,36,703461
1,0,301337,21,21,1,5,298548
0,0,796646,59,59,1,29,794730
1,0,11508,107,107,0,81,8902
0,0,1017672,47,47,1,34,1015075
