Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,242,2,0,91,31,299487,0
1,0,32772,97,97,1,1,119,4,29866,1
0,0,373899,29,29,2,0,28,5,371611,1
0,0,721934,74,74,2,0,36,23,719244,1
0,0,428427,87,87,3,0,85,20,425755,0
0,0,1516533,43,43,2,0,63,32,1514173,1
0,0,465591,162,162,2,0,115,15,462814,0
0,0,54199,32,32,2,0,48,58,51578,1
1,0,952113,116,116,1,1,41,23,949273,1
0,0,1062895,234,234,2,0,87,31,1060310,1
1,0,199898,36,36,1,1,95,19,197364,1
0,0,404584,119,119,2,0,94,21,402206,0
0,0,473501,203,203,3,0,125,23,470631,0
0,0,246580,86,86,2,0,6,19,243767,0
0,0,33755,27,27,2,0,57,44,30969,0
0,0,355891,244,244,2,0,119,6,353552,0
0,0,993191,44,44,2,0,63,32,990858,1
1,0,1150558,193,193,1,1,90,23,1147775,1
0,0,1152306,222,222,2,0,118,24,1149583,0
0,0,1161129,167,167,2,0,114,32,1158613,0
1,0,32977,216,216,1,1,117,85,30248,1
0,0,33431,26,26,2,0,100,55,30843,1
0,0,184674,6,6,2,0,97,12,182293,0
0,0,1757922,189,189,2,0,35,32,1755496,1
0,0,553480,174,174,3,0,67,1,550610,0
0,0,16153,30,30,2,0,48,56,13502,0
0,0,292921,245,245,2,0,122,6,290183,1
0,0,256062,179,179,2,0,124,5,253732,0
0,0,25495,50,50,2,0,100,61,22811,0
0,0,8691,196,196,2,0,31,78,6085,1
0,0,180436,213,213,2,0,46,11,177890,1
0,0,15222,212,212,2,0,8,82,12538,1
0,0,849988,206,206,2,0,81,23,847319,0
0,0,1966199,103,103,2,0,42,31,1963551,1
0,0,546874,143,143,2,0,108,15,544250,0
0,0,1024944,233,233,2,0,87,31,1022305,0
0,0,519004,251,251,2,0,76,7,516413,0
0,0,1176004,166,166,2,0,107,32,1173581,0
0,0,82609,138,138,3,0,44,19,79808,1
0,0,447956,177,177,2,0,66,24,445458,1
0,0,735391,129,129,2,0,75,31,733043,0
0,0,1102343,226,226,2,0,79,24,1099539,0
0,0,1314205,89,89,2,0,114,32,1311887,0
0,0,1034195,209,209,2,0,5,23,1031508,1
0,0,204433,62,62,2,0,47,14,201761,1
0,0,1800605,108,108,2,0,75,31,1797939,1
0,0,125132,80,80,2,0,49,4,122370,1
1,0,17633,22,22,1,1,66,53,14982,0
0,0,4209,122,122,2,0,69,69,1423,0
0,0,187941,232,232,2,0,39,5,185287,0
0,0,1065877,199,199,2,0,113,26,1063010,0
0,0,425184,136,136,2,0,55,16,422410,0
0,0,513629,257,257,3,0,84,15,510834,0
0,0,568671,173,173,2,0,2,32,566338,1
1,0,1123469,221,221,1,1,96,24,1120611,0
1,0,432436,159,159,1,1,63,15,429818,0
0,0,218715,55,55,2,0,72,17,215884,1
1,0,86749,153,153,1,1,70,3,84020,1
1,0,396102,69,69,1,1,95,19,393418,0
1,0,107074,254,254,1,1,74,2,104540,0
0,0,622377,41,41,2,0,10,31,620053,0
1,0,389747,164,164,1,1,130,15,387120,0
0,0,422008,201,201,2,0,34,17,419294,0
0,0,185153,24,24,2,0,132,27,182502,0
0,0,378614,163,163,2,0,89,15,375975,0
0,0,309384,110,110,2,0,124,5,306937,0
0,0,585607,81,81,2,0,122,6,583331,1
0,0,7162,20,20,2,0,48,51,4697,0
0,0,650434,39,39,3,0,40,14,647633,1
0,0,23290,218,218,2,0,75,50,20606,1
0,0,9867,60,60,2,0,100,63,7462,0
1,0,442799,202,202,1,1,50,23,439932,1
0,0,1713823,8,8,2,0,88,30,1711409,0
0,0,700388,15,15,2,0,109,15,697620,0
0,0,14845,47,47,3,0,52,60,11996,0
0,0,8092,214,214,2,0,45,83,5759,0
1,0,13979,198,198,1,1,0,80,11352,1
0,0,1053239,112,112,2,0,3,23,1050549,0
0,0,15062,85,85,2,0,48,66,12438,0
1,0,1100880,195,195,1,1,41,23,1098211,1
0,0,8115,172,172,3,0,47,49,5269,1
0,0,379418,170,170,2,0,53,34,376740,1
0,0,2047179,185,185,2,0,82,31,2044399,1
0,0,585177,205,205,3,0,24,23,582301,0
0,0,475012,142,142,2,0,116,7,472298,0
0,0,1324430,88,88,2,0,63,32,1322082,0
0,0,1156973,236,236,2,0,32,31,1154469,0
1,0,9580,197,197,1,1,40,79,6749,1
0,0,50888,152,152,2,0,53,20,48174,1
0,0,1096585,235,235,2,0,103,31,1093946,1
0,0,758419,45,45,2,0,23,21,756089,0
0,0,12594,151,151,2,0,48,76,9967,0
0,0,9089,217,217,2,0,25,85,6579,1
1,0,45075,125,125,1,1,27,72,42286,0
1,0,1611964,100,100,1,1,83,30,1609262,1
0,0,1828534,107,107,2,0,87,31,1825916,0
0,0,483376,96,96,2,0,110,24,480707,1
0,0,1865809,105,105,2,0,75,31,1862957,0
0,0,139709,253,253,2,0,92,1,138117,0
1,0,290907,118,118,1,1,19,21,288478,0
0,0,1731005,191,191,3,0,9,29,1728183,0
0,0,2060220,184,184,2,0,103,31,2057611,1
0,0,800723,165,165,2,0,4,22,798375,0
0,0,12158,11,11,2,0,56,43,9363,1
0,0,21771,83,83,2,0,48,64,19363,0
0,0,488327,204,204,3,0,24,23,485541,0
0,0,454333,158,158,2,0,109,15,451748,0
0,0,262330,243,243,2,0,85,6,259847,0
0,0,568854,259,259,2,0,108,15,566233,0
0,0,16377,145,145,2,0,48,74,13513,1
0,0,180486,35,35,2,0,44,19,177754,1
1,0,1633076,187,187,1,1,30,31,1630521,0
0,0,602587,42,42,2,0,87,31,600077,0
0,0,736453,78,78,3,0,73,23,733583,0
0,0,1129346,169,169,2,0,63,32,1126764,1
0,0,20976,57,57,2,0,10,46,18310,0
0,0,5331,150,150,2,0,100,75,2932,0
0,0,629809,113,113,3,0,7,13,627020,1
0,0,1825289,188,188,2,0,63,32,1822929,0
1,0,590672,258,258,1,1,63,15,588504,0
0,0,6553,121,121,2,0,64,68,4166,1
0,0,1169591,223,223,3,0,110,24,1166769,0
0,0,13678,156,156,2,0,17,3,10931,1
0,0,468388,67,67,3,0,81,6,465485,0
1,0,476059,149,149,1,1,106,5,473501,0
0,0,1251196,181,181,2,0,123,30,1248512,0
0,0,1015945,208,208,2,0,73,23,1013150,1
0,0,1147282,168,168,2,0,63,32,1144757,1
0,0,696919,72,72,2,0,24,23,694046,0
1,0,1582479,186,186,1,1,98,31,1579936,0
0,0,221070,141,141,2,0,87,9,218443,1
0,0,463778,79,79,2,0,37,16,460986,0
0,0,11062,5,5,2,0,38,39,8450,0
0,0,1570228,99,99,5,0,43,30,1568267,1
0,0,280853,63,63,2,0,131,23,278046,0
0,0,546370,46,46,2,0,97,8,543824,0
0,0,399549,238,238,2,0,55,16,396772,0
0,0,57145,56,56,3,0,93,46,54284,0
0,0,817323,77,77,2,0,73,23,814468,0
1,0,408107,17,17,1,1,25,5,405750,0
