Chromosome_Location,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Entity_Type,Genomic_Start_Position,Strand_Orientation
1,13580138,100,100,7,2,0,13578653,1
1,10821920,84,84,2,2,0,10820229,0
1,6956172,54,54,2,2,0,6955569,0
1,8422594,65,65,9,3,1,8420066,0
1,9310089,75,75,7,2,0,9309220,0
1,10429864,78,78,7,5,0,10428729,1
1,3235158,27,27,7,2,0,3233849,1
1,2141514,15,15,2,11,0,2139061,0
1,20867515,143,143,1,1,0,20866022,0
1,12246771,92,92,7,2,0,12245099,0
1,2728681,19,19,7,23,0,2727125,1
1,1471242,10,10,7,2,0,1469688,1
1,20915947,144,144,1,1,0,20914958,1
1,9221896,74,74,7,5,0,9220525,1
1,6842720,53,53,7,5,0,6840311,1
1,6638754,52,52,8,4,1,6637225,0
1,15741,0,0,7,19,0,14537,1
1,18735986,133,133,1,15,0,18734498,0
1,5596435,43,43,7,2,0,5595701,0
1,9311660,76,76,7,1,0,9310200,0
1,17401205,123,123,8,13,1,17399302,1
1,23649517,155,155,1,2,0,23648664,1
1,6441604,51,51,7,2,0,6440312,0
1,12849258,96,96,7,2,0,12848426,1
1,20479303,141,141,9,6,1,20477665,0
1,2862968,20,20,7,5,0,2861630,1
1,1005104,6,6,2,2,0,1003707,1
1,3097194,24,24,2,1,0,3096508,0
1,2680808,18,18,2,16,0,2679423,0
1,3802426,31,31,8,13,1,3800009,0
1,14451589,108,108,2,1,0,14449142,0
1,23514561,154,154,1,1,0,23513521,1
1,15398283,113,113,7,1,0,15396637,1
1,4910787,39,39,7,5,0,4909550,1
1,12488986,93,93,7,2,0,12486822,1
1,18766836,134,134,3,2,0,18765534,1
1,7776355,59,59,7,1,0,7775540,1
1,3511059,30,30,7,5,0,3509868,0
1,18932862,135,135,1,2,0,18931125,0
1,8066513,61,61,2,5,0,8065765,0
1,13391838,99,99,2,5,0,13390600,1
1,2597044,16,16,7,14,0,2596686,1
1,14931220,111,111,7,1,0,14928527,0
1,11473094,86,86,2,1,0,11472201,1
1,13980614,105,105,7,2,0,13979644,1
0,34835,165,165,0,20,0,33567,1
1,7857029,60,60,7,1,0,7856016,1
1,4365383,34,34,7,24,0,4363173,1
1,13813861,101,101,2,1,0,13812362,0
1,11600931,88,88,7,2,0,11599714,1
1,8836279,70,70,9,7,1,8834339,1
1,8643477,66,66,7,5,0,8642485,1
1,14939089,112,112,7,5,0,14937890,0
1,3098509,25,25,7,1,0,3097631,0
1,12567288,94,94,7,2,0,12566661,1
1,6088421,47,47,7,1,0,6085950,0
1,2003214,13,13,2,5,0,2002366,0
1,14766244,110,110,2,21,0,14765282,0
1,11497432,87,87,7,2,0,11496159,0
1,3049161,22,22,7,25,0,3048399,0
1,981427,5,5,7,5,0,980799,0
1,24218799,160,160,1,1,0,24217882,0
1,18449802,131,131,3,2,0,18448896,0
1,421354,1,1,7,11,0,418907,0
1,2642795,17,17,7,16,0,2641014,0
1,22586503,151,151,1,8,0,22583996,1
1,23902858,158,158,1,2,0,23901544,1
1,15431493,114,114,7,10,0,15429022,1
0,42748,167,167,5,14,0,41047,1
1,2912105,21,21,7,1,0,2911437,1
1,12160930,91,91,2,8,0,12160046,1
1,16835079,119,119,1,23,0,16833925,1
1,23866829,157,157,1,2,0,23865703,1
1,16416071,118,118,2,22,0,16413631,1
1,11654127,89,89,2,8,0,11653435,1
1,563875,4,4,9,6,1,561461,0
1,6170322,48,48,7,2,0,6168823,1
1,13282465,98,98,7,26,0,13280789,0
1,16920482,120,120,1,19,0,16919435,1
1,19133424,137,137,3,1,0,19132048,1
0,6835,163,163,0,14,0,4667,1
1,21703774,148,148,1,2,0,21701900,0
1,17627223,126,126,3,2,0,17625592,1
1,7009171,55,55,7,2,0,7008393,1
1,18038313,128,128,3,2,0,18037247,1
1,6362947,50,50,2,5,0,6361372,1
1,4253831,33,33,7,8,0,4252749,1
1,14479105,109,109,7,2,0,14478302,0
1,3453161,29,29,7,1,0,3451287,0
1,13013122,97,97,2,1,0,13011857,0
1,2102690,14,14,7,11,0,2100093,1
1,17542792,124,124,1,2,0,17541345,0
1,17122877,121,121,3,5,0,17120601,1
1,8306625,63,63,7,5,0,8305246,1
1,3312359,28,28,2,1,0,3311109,1
1,20286216,139,139,1,5,0,20285100,1
1,4431456,35,35,7,27,0,4430512,1
1,9200825,73,73,7,5,0,9199485,1
1,17643761,127,127,3,2,0,17642746,0
1,4102721,32,32,7,12,0,4101290,1
1,15463044,115,115,9,0,1,15461240,1
0,40361,166,166,4,18,1,37650,1
1,10634319,81,81,7,1,0,10632709,1
1,5212347,41,41,7,1,0,5211163,1
1,14201412,106,106,2,23,0,14200354,1
1,21840929,149,149,3,1,0,21839502,1
1,18150907,129,129,1,5,0,18149782,1
1,23311866,153,153,1,2,0,23310921,0
1,4756236,37,37,7,5,0,4754812,0
1,8297673,62,62,7,2,0,8296462,1
1,3054496,23,23,6,4,1,3053067,0
1,424362,2,2,7,23,0,423166,0
1,11412405,85,85,7,2,0,11411355,0
1,8987276,71,71,8,4,1,8985246,0
1,8380600,64,64,7,2,0,8379902,1
1,21107478,146,146,1,2,0,21106076,0
1,22342311,150,150,1,1,0,22341328,1
1,8750931,69,69,2,1,0,8750116,0
1,448516,3,3,7,16,0,445739,0
1,1005618,7,7,7,2,0,1005001,1
1,5776202,46,46,7,1,0,5773752,1
1,20600592,142,142,1,1,0,20599396,0
1,13967339,104,104,7,16,0,13965975,0
1,1139526,9,9,2,2,0,1138537,1
1,18233087,130,130,3,1,0,18230676,0
1,7252202,57,57,7,5,0,7251567,0
1,21033305,145,145,1,1,0,21032577,1
1,14264630,107,107,7,5,0,14263463,0
1,19361160,138,138,1,2,0,19359904,0
1,22800650,152,152,3,1,0,22799643,0
1,6283351,49,49,7,2,0,6282458,0
1,5252907,42,42,2,17,0,5251626,1
