Chromosome_Location,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Entity_Type,Genomic_Start_Position,Strand_Orientation
1,13580138,100,100,7,2,0,13578653,1
1,10821920,84,84,2,2,0,10820229,0
1,6955492,54,54,2,1,0,6953756,0
1,8380600,65,65,7,2,0,8379902,1
1,9240256,75,75,2,5,0,9238329,1
1,10429864,78,78,7,5,0,10428729,1
1,3221626,27,27,7,5,0,3220494,0
1,2102690,15,15,7,11,0,2100093,1
1,20867515,143,143,1,1,0,20866022,0
1,12246771,92,92,7,2,0,12245099,0
1,2680808,19,19,2,16,0,2679423,0
1,1401408,10,10,7,1,0,1400647,0
1,20915947,144,144,1,1,0,20914958,1
1,9200825,74,74,7,5,0,9199485,1
1,6638754,53,53,8,4,1,6637225,0
1,6441604,52,52,7,2,0,6440312,0
1,15741,0,0,7,18,0,14537,1
1,18735986,133,133,1,15,0,18734498,0
1,5430215,43,43,7,23,0,5429553,0
1,9310089,76,76,7,2,0,9309220,0
1,17401205,123,123,8,13,1,17399302,1
1,23649517,155,155,1,2,0,23648664,1
1,6362947,51,51,2,5,0,6361372,1
1,12849258,96,96,7,2,0,12848426,1
1,20479303,141,141,9,6,1,20477665,0
1,2737107,20,20,2,5,0,2736457,1
1,981427,6,6,7,5,0,980799,0
1,3054496,24,24,6,4,1,3053067,0
1,2642795,18,18,7,16,0,2641014,0
1,3511059,31,31,7,5,0,3509868,0
1,14451589,108,108,2,1,0,14449142,0
1,23514561,154,154,1,1,0,23513521,1
1,15398283,113,113,7,1,0,15396637,1
1,4838125,39,39,7,9,0,4836803,0
1,12488986,93,93,7,2,0,12486822,1
1,18766836,134,134,3,2,0,18765534,1
1,7567593,59,59,2,1,0,7566580,1
1,3453161,30,30,7,1,0,3451287,0
1,18932862,135,135,1,2,0,18931125,0
1,7857029,61,61,7,1,0,7856016,1
1,13391838,99,99,2,5,0,13390600,1
1,2579015,16,16,7,11,0,2576673,0
1,14931220,111,111,7,1,0,14928527,0
1,11473094,86,86,2,1,0,11472201,1
1,13980614,105,105,7,2,0,13979644,1
0,34835,165,165,0,19,0,33567,1
1,7776355,60,60,7,1,0,7775540,1
1,4299137,34,34,9,4,1,4297472,1
1,13813861,101,101,2,1,0,13812362,0
1,11600931,88,88,7,2,0,11599714,1
1,8750931,70,70,2,1,0,8750116,0
1,8422594,66,66,9,3,1,8420066,0
1,14939089,112,112,7,5,0,14937890,0
1,3097194,25,25,2,1,0,3096508,0
1,12567288,94,94,7,2,0,12566661,1
1,6016720,47,47,7,2,0,6015477,1
1,1662089,13,13,7,5,0,1659698,1
1,14766244,110,110,2,20,0,14765282,0
1,11497432,87,87,7,2,0,11496159,0
1,2912105,22,22,7,1,0,2911437,1
1,938369,5,5,7,2,0,937674,0
1,24218799,160,160,1,1,0,24217882,0
1,18449802,131,131,3,2,0,18448896,0
1,421354,1,1,7,11,0,418907,0
1,2597044,17,17,7,14,0,2596686,1
1,22586503,151,151,1,8,0,22583996,1
1,23902858,158,158,1,2,0,23901544,1
1,15431493,114,114,7,10,0,15429022,1
0,42748,167,167,5,14,0,41047,1
1,2862968,21,21,7,5,0,2861630,1
1,12160930,91,91,2,8,0,12160046,1
1,16835079,119,119,1,22,0,16833925,1
1,23866829,157,157,1,2,0,23865703,1
1,16416071,118,118,2,21,0,16413631,1
1,11654127,89,89,2,8,0,11653435,1
1,563875,4,4,9,6,1,561461,0
1,6088421,48,48,7,1,0,6085950,0
1,13282465,98,98,7,25,0,13280789,0
1,16920482,120,120,1,18,0,16919435,1
1,19133424,137,137,3,1,0,19132048,1
0,6835,163,163,0,14,0,4667,1
1,21703774,148,148,1,2,0,21701900,0
1,17627223,126,126,3,2,0,17625592,1
1,6956172,55,55,2,2,0,6955569,0
1,18038313,128,128,3,2,0,18037247,1
1,6283351,50,50,7,2,0,6282458,0
1,4102721,33,33,7,12,0,4101290,1
1,14479105,109,109,7,2,0,14478302,0
1,3312359,29,29,2,1,0,3311109,1
1,13013122,97,97,2,1,0,13011857,0
1,2003214,14,14,2,5,0,2002366,0
1,17542792,124,124,1,2,0,17541345,0
1,17122877,121,121,3,5,0,17120601,1
1,8297673,63,63,7,2,0,8296462,1
1,3235158,28,28,7,2,0,3233849,1
1,20286216,139,139,1,5,0,20285100,1
1,4365383,35,35,7,23,0,4363173,1
1,9136441,73,73,9,13,1,9134295,0
1,17643761,127,127,3,2,0,17642746,0
1,3802426,32,32,8,13,1,3800009,0
1,15463044,115,115,9,0,1,15461240,1
0,40361,166,166,4,17,1,37650,1
1,10634319,81,81,7,1,0,10632709,1
1,5210452,41,41,2,24,0,5209340,1
1,14201412,106,106,2,22,0,14200354,1
1,21840929,149,149,3,1,0,21839502,1
1,18150907,129,129,1,5,0,18149782,1
1,23311866,153,153,1,2,0,23310921,0
1,4622430,37,37,7,23,0,4620634,1
1,8068432,62,62,2,2,0,8066724,0
1,3049161,23,23,7,24,0,3048399,0
1,424362,2,2,7,22,0,423166,0
1,11412405,85,85,7,2,0,11411355,0
1,8836279,71,71,9,7,1,8834339,1
1,8377941,64,64,7,2,0,8377093,1
1,21107478,146,146,1,2,0,21106076,0
1,22342311,150,150,1,1,0,22341328,1
1,8706530,69,69,8,3,1,8704372,0
1,448516,3,3,7,16,0,445739,0
1,1005104,7,7,2,2,0,1003707,1
1,5764705,46,46,7,2,0,5763288,1
1,20600592,142,142,1,1,0,20599396,0
1,13967339,104,104,7,16,0,13965975,0
1,1044324,9,9,2,5,0,1043726,0
1,18233087,130,130,3,1,0,18230676,0
1,7207112,57,57,2,1,0,7205454,1
1,21033305,145,145,1,1,0,21032577,1
1,14264630,107,107,7,5,0,14263463,0
1,19361160,138,138,1,2,0,19359904,0
1,22800650,152,152,3,1,0,22799643,0
1,6170322,49,49,7,2,0,6168823,1
1,5212347,42,42,7,1,0,5211163,1
