Entity_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,6912,13,37,4054,1
0,152656,69,6,149750,0
0,3512,39,46,570,1
1,2374,41,47,2,0
0,595601,34,12,591036,1
0,478366,53,14,476669,1
0,623307,61,4,621664,0
0,2321780,59,21,2320431,0
1,2321637,24,22,2320534,0
0,613086,35,12,611617,1
1,5459,14,38,369,1
1,85207,70,4,81746,1
1,6009,71,57,1594,1
0,241168,58,2,239609,0
0,10189,66,56,8723,0
0,12357,16,40,7624,1
1,48747,74,16,45235,1
1,166284,40,6,162214,0
0,2470,33,44,2,0
0,39716,23,15,38265,1
0,585395,44,3,582072,0
0,1879,4,25,2,1
0,685088,8,11,683411,0
0,187784,11,8,184617,1
0,3165,36,45,1,1
1,467386,67,11,461438,1
1,2326,15,39,2,0
0,463665,38,5,460870,0
0,769652,6,10,767703,0
1,576641,68,1,572922,0
0,219070,19,7,217661,0
1,1119042,64,19,1112740,1
0,14382,52,4,9970,1
1,31870,54,51,22712,1
0,574606,45,3,573398,0
0,2053,48,33,2,0
1,13981,7,17,12296,1
1,6974,51,50,1995,1
0,1537,1,27,2,1
0,1556,2,60,3,1
0,1997,5,26,1,0
0,26175,26,21,23011,1
1,375450,18,23,373273,0
1,11280,10,35,2713,1
0,72487,43,22,68564,1
0,3322,12,36,2,0
0,2309,32,32,3,0
0,5982,0,59,4234,1
0,4784,28,43,3,0
0,1059473,73,20,1058121,0
0,2868,27,29,1600,1
0,348754,57,22,344585,1
0,4686,63,54,1,1
0,24031,25,28,21731,1
1,513352,30,13,509741,1
0,4676,65,55,3,0
0,1271,29,30,3,0
1,8695,49,34,5075,0
0,2498,42,48,3,0
1,13747,21,18,12191,1
1,304737,75,12,299488,1
0,78154,46,0,73799,1
0,37338,37,24,35617,1
0,35785,3,9,34078,1
0,89064,47,0,84641,1
0,50380,9,10,48473,1
0,5803,62,53,896,1
0,4720,22,42,2,0
0,4039,60,52,1,1
0,2312,50,49,2,0
0,22057,55,9,19652,1
0,5221,31,31,2141,1
1,4653,17,41,1,0
1,72456,20,6,65872,1
0,2190,72,58,1,0
0,21673,56,24,20189,1
