Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,301826,244,244,2,88,31,299487
1,0,32772,97,97,1,116,4,29866
1,0,373899,28,28,2,27,5,371611
0,0,736453,78,78,3,71,23,733583
1,1,190552,79,79,2,51,21,188093
1,0,1516533,42,42,2,61,32,1514173
0,0,476728,160,160,2,106,15,474101
1,0,54199,31,31,2,46,58,51578
1,0,988200,208,208,2,35,23,985546
1,0,1062895,235,235,2,84,31,1060310
0,0,246580,86,86,2,6,19,243767
0,0,758419,44,44,2,22,22,756089
0,0,488327,204,204,3,23,23,485541
0,0,322020,238,238,1,92,19,319249
0,0,33755,26,26,2,55,44,30969
0,0,355891,246,246,2,116,6,353552
1,0,993191,43,43,2,61,32,990858
1,0,1150558,194,194,1,87,23,1147775
0,0,1152306,223,223,2,115,24,1149583
0,0,1161129,167,167,2,111,32,1158613
1,0,32977,217,217,1,114,85,30248
1,0,33431,25,25,2,97,55,30843
0,0,184674,5,5,2,94,12,182293
1,0,1757922,190,190,2,34,32,1755496
0,0,553480,175,175,3,65,1,550610
0,0,16153,29,29,2,46,56,13502
1,0,292921,247,247,2,119,6,290183
0,0,256062,180,180,2,121,5,253732
0,0,25495,49,49,2,97,61,22811
1,0,8691,197,197,2,30,78,6085
1,0,180436,214,214,2,44,11,177890
1,0,15222,213,213,2,8,82,12538
0,0,867065,116,116,2,71,23,864531
1,0,1966199,103,103,2,40,31,1963551
0,0,557682,144,144,2,106,15,555076
0,0,1024944,234,234,2,84,31,1022305
0,0,519004,253,253,2,74,7,516413
0,0,1176004,166,166,2,104,32,1173581
1,0,156435,33,33,3,84,19,153649
1,0,447956,178,178,2,64,24,445458
0,0,735391,128,128,2,73,31,733043
0,0,1102343,227,227,2,77,24,1099539
0,0,1314205,89,89,2,111,32,1311887
1,0,1034195,210,210,2,5,23,1031508
1,0,204433,61,61,2,45,14,201761
1,0,1800605,108,108,2,73,31,1797939
1,0,125132,80,80,2,47,4,122370
0,0,17633,21,21,1,64,53,14982
0,0,4209,121,121,2,67,69,1423
0,0,187941,233,233,2,37,5,185287
0,0,1065877,200,200,2,110,26,1063010
0,0,432191,135,135,2,18,16,429708
0,0,536061,258,258,2,86,15,533287
1,0,568671,174,174,2,2,32,566338
0,0,1123469,222,222,1,93,24,1120611
0,0,432436,159,159,1,61,15,429818
0,0,422008,202,202,2,33,17,419294
1,0,86749,154,154,1,68,3,84020
1,0,50888,153,153,2,52,20,48174
0,0,107074,256,256,1,72,2,104540
0,0,622377,40,40,2,10,31,620053
0,0,389747,165,165,1,128,15,387120
1,0,352788,251,251,2,110,18,350182
0,0,185153,23,23,2,130,27,182502
0,0,378614,164,164,2,86,15,375975
0,0,309384,110,110,2,121,5,306937
1,0,585607,81,81,2,119,6,583331
0,0,7162,19,19,2,46,51,4697
1,0,650434,38,38,3,38,14,647633
1,0,23290,219,219,2,73,50,20606
0,0,9867,59,59,2,97,63,7462
0,0,473501,203,203,3,122,23,470631
0,0,1713823,7,7,2,85,30,1711409
0,0,381075,239,239,2,18,16,378301
0,0,14845,46,46,3,51,60,11996
0,0,8092,215,215,2,43,83,5759
1,0,13979,199,199,1,0,80,11352
0,0,1053239,112,112,2,3,23,1050549
0,0,15062,85,85,2,46,66,12438
1,0,1100880,196,196,1,39,23,1098211
1,0,8115,173,173,3,45,49,5269
1,0,379418,171,171,2,52,34,376740
1,0,2047179,186,186,2,80,31,2044399
1,0,665447,73,73,3,23,23,662586
0,0,475012,142,142,2,113,7,472298
0,0,1324430,88,88,2,61,32,1322082
0,0,1156973,237,237,2,31,31,1154469
1,0,9580,198,198,1,38,79,6749
0,0,428427,87,87,3,82,20,425755
1,0,1096585,236,236,2,100,31,1093946
0,0,810651,170,170,2,124,22,808318
0,0,12594,152,152,2,46,76,9967
1,0,9089,218,218,2,24,85,6579
0,0,45075,124,124,1,26,72,42286
1,0,1611964,100,100,1,81,30,1609262
0,0,1828534,107,107,2,84,31,1825916
1,0,483376,96,96,2,107,24,480707
0,0,1865809,105,105,2,73,31,1862957
0,0,139709,255,255,2,89,1,138117
0,0,404584,118,118,2,91,22,402206
0,0,1731005,192,192,3,9,29,1728183
1,0,2060220,185,185,2,100,31,2057611
0,0,255561,17,17,1,39,23,253126
1,0,12158,10,10,2,54,43,9363
0,0,21771,83,83,2,46,64,19363
0,0,506933,18,18,3,71,23,504105
0,0,465591,163,163,2,112,15,462814
0,0,262330,245,245,2,82,6,259847
0,0,579976,259,259,2,86,15,577358
1,0,16377,146,146,2,46,74,13513
1,0,199898,35,35,1,92,19,197364
0,0,1633076,188,188,1,29,31,1630521
0,0,602587,41,41,2,84,31,600077
0,0,768058,75,75,2,71,23,765323
1,0,1129346,169,169,2,61,32,1126764
0,0,20976,56,56,2,10,46,18310
0,0,5331,151,151,2,97,75,2932
1,0,629809,113,113,3,7,13,627020
0,0,1825289,189,189,2,61,32,1822929
0,0,700388,14,14,2,106,15,697620
1,0,6553,120,120,2,62,68,4166
0,0,1169591,224,224,3,107,24,1166769
1,0,13678,157,157,2,17,3,10931
0,0,468388,67,67,3,79,6,465485
0,0,476059,150,150,1,103,5,473501
0,0,1251196,182,182,2,120,30,1248512
1,0,1015945,209,209,2,71,23,1013150
1,0,1147282,168,168,2,61,32,1144757
1,0,721934,74,74,2,35,23,719244
0,0,1582479,187,187,1,95,31,1579936
1,0,221070,141,141,2,84,9,218443
1,0,218715,54,54,2,70,17,215884
0,0,11062,4,4,2,36,39,8450
1,0,1570228,99,99,5,41,30,1568267
0,0,308185,64,64,1,87,23,306188
0,0,546370,45,45,2,94,8,543824
0,0,410579,136,136,2,18,16,407808
0,0,57145,55,55,3,90,46,54284
0,0,849988,206,206,2,79,23,847319
0,0,408107,16,16,1,24,5,405750
1,0,60414,228,228,2,14,87,57859
1,0,1007699,207,207,2,71,23,1005114
1,0,7898,9,9,2,63,42,5274
0,0,245264,47,47,2,2,0,242583
0,0,4732,123,123,2,97,71,2051
0,0,21506,57,57,2,97,62,18858
1,0,23129,126,126,3,97,73,20358
0,0,472189,69,69,2,49,18,469499
0,0,1014233,134,134,1,29,31,1011738
0,0,34218,58,58,2,97,62,31414
1,0,2102129,102,102,2,100,31,2099463
1,0,82609,138,138,3,42,19,79808
