Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,347,3,56,22,1159709,0
1,0,18293,404,404,3,155,95,17649,0
0,0,7200,135,135,4,24,45,6637,0
0,0,55025,359,359,4,99,83,54438,0
0,0,1464254,89,89,4,95,28,1463646,0
0,0,494817,203,203,4,14,23,494134,1
0,0,2016292,329,329,4,62,27,2015537,0
0,0,9057,388,388,4,89,90,8128,0
0,0,4555,133,133,4,129,64,3962,0
0,0,683253,99,99,4,58,28,682675,0
1,0,844685,368,368,3,111,22,844098,0
1,0,112468,401,401,1,37,94,111971,0
0,0,4870,340,340,4,138,78,4217,0
0,0,2682,264,264,4,129,76,1954,0
0,0,163066,8,8,4,141,8,162521,1
0,0,1955674,332,332,4,159,28,1955171,0
0,0,756041,100,100,4,95,28,755460,1
0,0,1368555,309,309,4,75,28,1367977,1
0,0,1487064,93,93,4,28,28,1486369,1
0,0,36247,73,73,4,63,15,35642,1
0,0,265007,258,258,4,5,23,264339,0
0,0,120884,35,35,2,105,14,120498,0
0,0,1921473,109,109,4,58,28,1920904,1
0,0,458814,352,352,4,98,17,458125,0
0,0,316703,371,371,4,46,16,316059,0
0,0,548591,226,226,2,41,19,548190,0
0,0,1604078,117,117,4,75,28,1603452,0
0,0,85370,62,62,4,76,58,84681,0
0,0,17407,261,261,4,42,74,16820,0
0,0,1033564,299,299,4,166,18,1032920,0
1,0,1738968,28,28,3,41,27,1738420,0
0,0,6677,379,379,4,88,86,6162,1
0,0,278070,222,222,4,156,3,277438,1
0,0,1731530,336,336,4,58,28,1730895,0
0,0,477620,206,206,4,111,6,476973,0
0,0,567879,381,381,2,87,20,567310,0
0,0,10321,127,127,4,42,61,9749,0
0,0,1686468,113,113,4,95,28,1685914,0
0,0,7629,230,230,4,42,70,6979,0
0,0,1645,356,356,4,103,83,1004,0
