Gene_Type,Genomic_End_Position,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,12909,146,0,112,10807,1
0,6110,102,0,100,3849,0
1,457048,92,1,9,454787,0
0,478833,231,0,6,476677,0
0,16869,155,0,115,14662,0
1,552888,219,1,15,550654,0
0,835809,99,0,28,833647,0
0,3770,52,0,88,732,1
1,828777,111,1,47,827212,1
1,9061,57,1,73,6806,1
0,2776,158,0,116,509,0
1,211189,120,1,33,209180,1
1,7765,30,1,42,5519,1
0,3747,24,0,71,1363,1
0,692573,71,0,19,690150,0
0,27924,7,0,17,26149,1
0,754574,178,0,26,752403,0
0,1178466,119,0,43,1176085,0
1,53359,118,1,39,52601,1
1,96434,222,1,5,94266,1
1,45480,199,1,121,43330,1
0,604953,82,0,20,602554,0
1,5633,13,1,61,4134,0
1,813661,184,1,37,811541,0
0,4215,73,0,19,1969,1
0,480713,39,0,4,478230,0
1,114439,9,1,3,112868,1
0,14957,65,0,75,12933,0
1,356577,109,1,52,354673,0
0,45278,103,0,18,42840,0
1,50723,124,1,105,48507,1
1,562476,176,1,10,560179,0
0,56175,87,0,5,53914,1
1,1621,66,1,94,2,1
0,4679,117,0,39,2307,1
0,11646,127,0,106,9286,1
0,487264,97,0,17,485114,0
0,47037,180,0,119,44773,1
0,371476,175,0,18,369323,0
0,477337,11,0,9,476408,0
0,828692,197,0,48,827244,1
1,909033,34,1,39,906619,0
0,1062,3,0,70,1,0
1,441740,95,1,29,439797,1
1,81519,12,1,5,79698,1
0,65232,218,0,51,62692,1
0,707127,50,0,23,704929,0
0,76316,29,0,51,74154,1
1,777368,224,1,31,775140,0
0,3230,131,0,22,921,1
0,2056,51,0,87,2,1
0,4947,47,0,85,2638,0
1,372955,230,1,29,370655,1
0,2326647,17,0,53,2325364,0
1,11060,145,1,31,8994,1
1,51771,234,1,35,49540,1
0,59089,42,0,56,56687,1
1,113111,171,1,15,111105,1
0,79561,121,0,56,77369,1
1,1451239,132,1,51,1449053,0
0,1009290,46,0,38,1006993,0
1,170211,126,1,49,168412,1
0,4516,55,0,90,3179,1
0,611448,114,0,10,610807,0
0,5046,163,0,117,2860,1
1,1375691,123,1,45,1373202,0
0,4025,169,0,16,1761,1
1,224206,204,1,34,222371,1
1,689616,84,1,53,687517,0
1,335828,159,1,29,333633,1
1,1204656,200,1,45,1202680,0
1,7012,6,1,31,5501,1
1,2096,149,1,113,747,1
0,1138,5,0,107,2,0
1,8253,105,1,41,6340,1
1,1189025,191,1,51,1186812,0
1,496899,104,1,1,495853,0
0,15153,209,0,30,12949,1
0,1039862,78,0,37,1037046,0
0,20107,70,0,50,17801,1
1,799420,225,1,31,796943,0
0,391932,8,0,58,389746,1
0,3932,166,0,118,1401,0
0,915393,64,0,33,914149,0
0,244454,162,0,19,243822,0
0,394758,20,0,9,393970,0
0,574603,173,0,21,572120,0
1,4883,43,1,82,2628,1
1,252998,135,1,28,250869,0
0,2976,168,0,77,781,0
0,1159648,147,0,41,1157084,0
0,7454,54,0,89,5259,1
1,654471,77,1,52,652312,1
0,2907,37,0,72,667,0
0,4593,1,0,17,2230,1
0,1705791,91,0,53,1703299,1
1,598394,172,1,21,596190,0
0,2152,10,0,60,38,0
0,507624,194,0,3,505363,0
1,459000,177,1,10,456733,0
1,123424,232,1,8,121439,0
1,805063,182,1,38,803291,0
0,3147,44,0,83,535,1
0,7548,56,0,91,5362,0
0,11573,112,0,103,9210,0
0,81116,4,0,13,80040,1
0,703891,74,0,23,701787,0
0,351915,203,0,57,350539,1
0,6111,23,0,68,4843,1
1,299939,227,1,11,297915,1
0,115059,164,0,22,112891,1
0,1036,15,0,63,2,1
1,763015,85,1,37,760970,0
1,547726,138,1,7,545198,0
0,19404,202,0,122,17227,0
0,53099,223,0,38,50910,1
0,2191081,90,0,53,2188577,1
1,52834,186,1,0,50840,0
1,13918,125,1,105,11750,1
1,18062,137,1,108,16122,1
1,62927,153,1,24,60651,1
1,34512,93,1,97,32440,1
0,5683,58,0,92,3845,0
1,1835456,208,1,48,1833030,0
0,711734,32,0,23,710958,0
0,482055,115,0,10,479794,0
1,89110,210,1,16,86993,1
0,92121,143,0,40,90979,1
0,7735,188,0,79,5258,1
0,2352753,134,0,53,2351474,0
1,5117,217,1,81,2943,0
0,120751,189,0,3,119534,1
0,9642,212,0,124,7252,0
0,28514,113,0,104,26043,0
0,1699,88,0,8,101,1
1,3774,18,1,65,1570,0
1,468090,41,1,2,465892,0
0,3637,167,0,33,1680,1
1,619207,206,1,9,617003,0
0,369971,62,0,55,367785,0
1,10067,28,1,45,8418,1
1,1108,165,1,76,1,0
0,3468,72,0,95,1171,0
0,1009265,79,0,37,1006986,0
0,560608,183,0,16,558551,0
0,28523,83,0,37,26538,1
0,2650,25,0,34,386,1
0,6868,187,0,120,4559,1
0,50074,192,0,3,47909,1
0,487691,31,0,18,485538,0
1,17178,110,1,102,14941,1
0,669010,136,0,16,666635,0
0,2335,174,0,12,101,1
0,798,170,0,78,1,1
1,1167843,148,1,41,1165567,0
0,140815,228,0,11,140096,1
1,18493,48,1,33,16673,1
0,5471,141,0,111,3207,1
0,5333,21,0,66,3093,1
0,59387,96,0,41,57738,1
0,477141,201,0,7,476586,0
0,5583,101,0,99,3223,0
1,20192,205,1,29,18165,1
1,636865,81,1,20,634829,0
0,180595,122,0,59,178343,0
0,827,14,0,62,3,0
1,122003,229,1,11,119982,1
0,16433,196,0,80,14709,1
1,35613,198,1,121,33460,1
1,16106,75,1,96,14127,0
0,194620,128,0,54,192110,0
0,85349,67,0,4,84366,1
0,303473,216,0,12,301437,1
0,49973,26,0,23,48072,1
0,7225,108,0,101,4853,0
0,3201,61,0,74,2560,1
0,17152,140,0,110,14774,1
0,43304,161,0,56,40902,1
0,52112,106,0,44,49749,1
0,316113,226,0,11,313945,1
0,3704,22,0,67,1446,1
1,12933,116,1,39,10912,1
1,60946,150,1,53,58898,1
1,1287,19,1,69,1,0
0,3133,53,0,89,824,1
0,23314,236,0,2,21104,0
0,763294,179,0,26,761027,0
1,411395,38,1,13,410220,0
0,66424,233,0,35,64094,1
1,469090,35,1,1,466913,0
0,4184,235,0,35,1923,1
0,68193,151,0,25,66007,1
0,315631,215,0,12,313523,1
1,480279,207,1,45,478171,0
1,609383,80,1,20,607077,0
0,377705,100,0,58,375522,0
0,400277,27,0,10,398004,0
0,702444,213,0,22,701878,0
1,369509,63,1,13,367296,1
0,5540,45,0,84,3963,1
0,526037,40,0,3,525222,0
0,57522,129,0,22,55348,1
1,28472,221,1,46,26358,1
1,3258,211,1,123,754,1
1,961848,157,1,36,959689,0
1,16197,181,1,119,13717,1
0,1669,49,0,86,2,1
1,399311,94,1,14,397290,0
0,646569,185,0,12,644707,0
1,27218,69,1,50,24993,1
0,2152465,193,0,52,2150273,0
1,5726,0,1,125,3723,0
1,1909430,133,1,52,1907460,1
0,1835184,68,0,47,1832923,0
0,27070,144,0,16,24536,1
0,311650,214,0,12,309482,1
0,6765,195,0,80,4204,1
0,1518,60,0,93,1,1
1,477984,154,1,5,475453,0
1,19107,107,1,44,16912,1
1,2336,152,1,114,3,1
1,468765,86,1,53,466540,0
0,4334,98,0,98,1968,1
0,71096,142,0,40,68619,1
0,909502,76,0,34,907241,0
1,1116077,156,1,40,1113876,0
1,731499,33,1,23,729406,0
0,7491,130,0,22,5182,1
0,1333,16,0,64,3,0
0,14203,59,0,32,11819,1
0,1475,2,0,126,3,0
0,471716,220,0,5,470270,0
0,2123600,89,0,52,2121408,0
1,669243,190,1,18,667156,0
0,18709,36,0,27,16532,1
0,6479,139,0,109,5838,1
0,668634,160,0,24,666520,0
