Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1474,51,9,1,41,24,0
1,34744,158,9,1,12,33178,0
0,4728447,71,8,0,15,4728247,1
0,673514,117,7,0,14,671973,1
1,192280,162,9,1,12,190928,0
1,2991723,155,9,1,12,2990299,1
0,98113,62,11,0,15,96665,1
0,234927,106,7,0,14,233464,1
0,3074,32,7,0,31,1527,1
1,117932,3,9,1,17,116413,1
1,194108,16,9,1,19,192547,1
1,45373,137,9,1,11,43850,0
0,1673892,129,0,0,8,1672390,1
1,56811,1,9,1,17,55260,1
1,34085,100,11,1,14,32568,0
1,13747,45,10,1,36,12274,0
1,4722977,92,9,1,16,4721453,1
1,55488,42,9,1,34,53963,1
1,6514,24,9,1,25,4976,1
1,1176353,119,9,1,5,1175359,1
1,397,21,9,1,22,120,0
1,268059,141,9,1,12,266604,0
0,1338858,64,8,0,15,1337821,0
0,140801,161,7,0,12,139203,0
0,3300734,68,7,0,15,3299619,0
1,147206,102,9,1,14,145692,1
0,4811681,75,7,0,15,4810350,1
1,1190683,121,9,1,5,1189121,1
1,1134,49,9,1,40,394,1
1,5469370,56,9,1,15,5468462,0
0,4592637,88,7,0,16,4591225,0
1,189308,104,9,1,14,187760,0
1,147872,14,9,1,19,146312,1
0,4790735,74,8,0,15,4789134,1
1,43444,101,12,1,14,41978,0
1,4055896,84,9,1,13,4054376,0
0,26455,58,11,0,15,24893,1
1,87159,61,11,1,15,85747,1
1,2653794,144,9,1,12,2652725,1
1,3085393,156,9,1,12,3083824,1
0,96632,122,7,0,6,95058,0
1,1583995,123,9,1,7,1582390,1
0,4918348,78,8,0,15,4916846,1
1,4097911,87,9,1,13,4096637,0
1,4785610,93,6,1,16,4785032,1
1,1554901,133,9,1,9,1553302,1
1,926246,63,13,1,15,924816,1
0,4109268,69,7,0,15,4108888,0
1,2900714,152,9,1,12,2899262,1
0,28198,38,7,0,33,26588,0
0,593688,114,7,0,14,592108,1
1,135030,13,9,1,19,133507,0
1,13271,47,9,1,38,11830,0
0,2161844,66,7,0,15,2161053,0
0,138222,160,8,0,12,136702,0
1,32771,50,9,1,40,31464,0
1,120397,12,9,1,19,118489,0
0,1783574,130,0,0,8,1782018,0
0,47692,59,11,0,15,46340,1
1,12451,46,9,1,37,11360,1
0,1629760,127,7,0,8,1628255,1
0,1799779,65,0,0,15,1798304,1
1,2790703,147,9,1,12,2789186,1
1,4871690,96,1,1,16,4870365,1
1,167770,15,9,1,19,166233,1
1,4866989,95,1,1,16,4866255,1
0,126989,140,8,0,11,125412,0
0,31216,39,8,0,34,29741,1
1,3088628,157,9,1,12,3087307,1
1,18623,36,9,1,32,18300,1
1,10546,20,9,1,21,9201,1
0,40024,6,7,0,0,38597,1
1,5571,33,9,1,32,4160,1
1,121323,4,9,1,17,119770,1
1,24394,7,9,1,1,23117,0
1,364495,110,9,1,14,363050,1
0,10563,52,7,0,42,9100,1
0,4877715,77,8,0,15,4876315,1
1,4696555,91,4,1,16,4695357,0
0,76678,60,11,0,15,74915,1
0,4782124,73,8,0,15,4781585,1
1,2842847,151,9,1,12,2842087,1
1,335414,109,9,1,14,333937,1
1,11536,9,9,1,18,10562,0
1,208752,105,9,1,14,207286,1
1,56392,10,9,1,18,54844,0
0,682801,118,8,0,14,681272,1
0,616961,115,7,0,14,615417,1
1,106612,2,9,1,17,106202,1
1,4907622,98,3,1,16,4906250,1
1,1565816,125,9,1,8,1564291,1
0,4776857,72,8,0,15,4776225,1
1,4912,19,9,1,21,4080,1
0,4967327,79,7,0,15,4966602,1
1,93783,159,9,1,12,92470,0
1,21634,30,10,1,29,20639,0
0,4874210,76,7,0,15,4872705,1
1,4685459,90,1,1,16,4683882,1
0,1579460,126,8,0,8,1577859,1
1,2794118,148,9,1,12,2793789,0
0,4803585,94,8,0,16,4802227,1
1,660088,116,9,1,14,658460,1
1,13354,34,9,1,32,11827,1
1,13439,25,9,1,26,11985,0
1,41821,41,9,1,34,40324,1
0,5282553,81,7,0,15,5281459,0
1,1518492,124,9,1,8,1516971,1
0,2882434,67,8,0,15,2880989,0
0,1789201,131,0,0,8,1788008,0
1,2963001,153,9,1,12,2961642,0
1,70716,138,9,1,11,69197,0
1,1639048,128,9,1,8,1637475,1
1,12732,29,10,1,28,11219,1
1,16779,35,9,1,32,15187,1
1,38437,136,9,1,11,36916,0
0,1792811,132,0,0,8,1791306,0
0,2586486,143,8,0,12,2584942,0
0,23403,31,7,0,30,22009,1
1,4496,23,9,1,24,3127,1
1,546312,113,9,1,14,544894,1
0,4064628,85,0,0,13,4063192,0
1,6249,27,9,1,3,4591,0
1,15374,54,9,1,44,14245,0
1,1622,57,11,1,15,585,1
1,2436,18,9,1,21,1291,1
1,56650,37,9,1,32,55175,1
0,47277,43,8,0,35,45691,0
0,19432,0,8,0,17,17837,1
1,2810144,150,9,1,12,2809842,1
0,5380636,82,7,0,15,5379008,0
1,9494,53,9,1,43,7965,1
1,29574,17,9,1,20,28997,0
0,8343,28,7,0,27,6676,1
0,4971029,80,7,0,15,4969470,1
1,35078,135,9,1,11,33526,0
0,309925,108,8,0,14,308399,0
0,22070,22,7,0,23,20550,0
1,69439,11,9,1,18,67885,0
1,19005,48,9,1,39,17968,1
1,501101,111,9,1,14,499566,1
0,4542881,70,7,0,15,4541535,0
1,138167,5,9,1,17,137305,1
1,63306,44,9,1,35,61772,0
0,1057855,83,8,0,4,1056242,1
0,4658068,89,7,0,16,4656557,0
1,4875012,97,5,1,16,4874521,1
1,511211,112,3,1,14,509571,1
1,4930611,99,2,1,16,4929155,0
1,2775177,146,9,1,12,2774642,1
1,286908,142,9,1,12,285556,0
1,4070879,86,9,1,13,4070196,0
1,9188,134,9,1,10,7638,0
1,1182456,120,9,1,5,1180816,1
1,158094,103,9,1,14,156706,1
1,16687,55,9,1,45,14902,1
0,237565,107,7,0,14,236150,1
1,34585,40,9,1,34,33074,1
1,10341,8,9,1,2,9201,0
1,2797682,149,9,1,12,2796528,0
0,2972153,154,7,0,12,2970543,0
1,107750,139,9,1,11,106153,0
1,16196,26,9,1,26,14732,0
1,2769881,145,9,1,12,2769468,1
